member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
2474,Дорр,Снежок,, , ,,,,,,1999-10-13T10:42:04,2000-10-12T10:42:04,7,,0.0,0.0,
3685,СТЕЙН,ГТПНСКРКВК,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,8,,0.0,0.0,
4155,ЮНАКЛЕТ,KSYSZJUMHVTQJ,, , ,,,,,,1999-10-13T10:42:25,2000-10-12T10:42:25,4,,0.0,0.0,
4282,РЬЯН,HVDSDKUXOSXKK,, , ,,,,,,1999-10-13T10:42:26,2000-10-12T10:42:26,6,,0.0,0.0,
4289,ДОЛЖНА,VHDVLBMEDMFCNY,, , ,,,,,,1999-10-13T10:42:26,2000-10-12T10:42:26,5,,0.0,0.0,
4506,HAHN,ПОЛЛЬБГБГБВХЗИУ,, , ,,,,,,1999-10-13T10:42:29,2000-10-12T10:42:29,4,,0.0,0.0,
4741,ИНФАНТЕ,MXEBQCCXRMC,, , ,,,,,,1999-10-13T10:42:32,2000-10-12T10:42:32,8,106.0,0.0,0.0,
5527,ПОЛИТИЧЕСКИЙ,БФБЦУСУСУ,, , ,,,,,,1999-10-13T10:42:41,2000-10-12T10:42:41,4,,0.0,0.0,
6594,ПЛАНИРОВАНИЕ,Ультрафиолетовый,, , ,,,,,,1999-10-13T10:42:54,2000-10-12T10:42:54,8,,0.0,0.0,
7258,Дорр,QFFGT,, , ,,,,,,1999-10-13T10:43:03,2000-10-12T10:43:03,6,,0.0,0.0,
7933,ЧЭН,RKVLNWI,, , ,,,,,,1999-10-13T10:43:11,2000-10-12T10:43:11,2,,0.0,0.0,
8110,ХАВЬЕР,PFBYOGVTOUM,, , ,,,,,,1999-10-13T10:43:13,2000-10-12T10:43:13,6,,0.0,0.0,
8452,БАРР,BCZFEIFKAZQ,, , ,,,,,,1999-10-13T10:43:18,2000-10-12T10:43:18,5,,0.0,0.0,
8672,НЕЛСОН,CGWDXNFHOQJXGV,, , ,,,,,,1999-10-13T10:43:20,2000-10-12T10:43:20,5,,0.0,0.0,
8715,ЭФЛИН,JBWVPYMMMMTXI,, , ,,,,,,1999-10-13T10:43:21,2000-10-12T10:43:21,4,,0.0,0.0,
8837,ВОЛФФУЛ,WYYZBTRNVGZP,, , ,,,,,,1999-10-13T10:43:22,2000-10-12T10:43:22,2,,0.0,0.0,
9500,ДЖОНЫ,QPRUYCLZUHS,, , ,,,,,,1999-10-13T10:43:31,2000-10-12T10:43:31,6,,0.0,0.0,
9780,Дорр,СЕАГППРРК ХРУ,, , ,,,,,,1999-10-13T10:43:34,2000-10-12T10:43:34,2,,0.0,0.0,
9890,ДЖОНЫ,УРБНОЯ,, , ,,,,,,1999-10-13T10:43:36,2000-10-12T10:43:36,4,,0.0,0.0,
9927,ЮНАКЛЕТ,MRSLKYI,, , ,,,,,,1999-10-13T10:43:36,2000-10-12T10:43:36,6,,0.0,0.0,
9997,МАКАИ,EAFVSSXJCOIREH,, , ,,,,,,1999-10-13T10:43:37,2000-10-12T10:43:37,3,,0.0,0.0,
