customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
OCEAN,Окано Атлинтико Лтда.,Ивонн Монкада,Агент по продаже,Инг. Густаво Монкада 8585 Писо 20-А,Буэнос-Айрес,,1010,Аргентина,1) 135-5333,1) 135-5535
FOLKO,Народная оха f HB,Мария Ларсон,Владелец,Kergatan 24,Брчек,,S-844 72,Франция,0695-34 67 21,
THEBI,Большой сыр,Лиз Никсон,Управляющий маркетингом,89 Jefferson Way Suite 2,Портленд,ИЛИ,97201,США,(503) 555-3612,
MEREP,Мр Пайард,Жан Фресниер,Помощник по маркетингу,43 руэ Сент-Лоран,Монреаль,Qubec,H1J 1C3,Канада,(514) 555-8054,(514) 555-8055
REGGC,Реджиани Касифици,Маурицио Морони,Ассоциированный сотрудник по продажам,Провинция Страда 124,Реджио Эмилия,,42100,Италия,0522-556721,0522-556722
NORTS,Север/Юг,Саймон Кроутер,Ассоциированный сотрудник по продажам,Южный дом 300 Квинсбридж,Лондон,,SW7 1RZ,Соединенное Королевство,(171) 555-7733,(171) 555-2530
GOURL,Гурмет Ланчонеты,Андр Фонсека,Ассоциированный сотрудник по продажам,"Ав. Бразил, 442",Кампинас,СП,04876-786,Бразилия,11) 555-9482,
AROUT,Вокруг Рога,Томас Харди,Представитель по продажам,120 Ganover Sq.,Лондон,,WA1 1DP,Соединенное Королевство,(171) 555-7788,(171) 555-6750
MAISD,Мэйсон Дьюи,Кэтрин Дьюи,Агент по продаже,Ру Джозеф-Бенс 532,Брюсель,,B-1180,Бельгия,(02) 201 24 67,(02) 201 24 68
DUMON,Дю Монд энтье,Джанин Лабрун,Владелец,"67, rue des Cinquante Otages",Нант,,44000,Франция,40.67.88.88,40.67.89.89
HUNGO,Голодная сова Всепросветные разбойники,Патриция МакКенна,Ассоциированный сотрудник по продажам,8 &lt; &lt; Джонстаун роуд &gt; &gt;,Корк,Ко. Корк,,Италия,2967 542,2967 3333
EASTC,Восточная связь,Энн Девон,Агент по продаже,35 Король Георг,Лондон,,WX3 6FW,Соединенное Королевство,(171) 555-0297,(171) 555-3373
RICAR,Рикардо Адокадо,Джанет Лимейра,Помощник агента по продаже,"Ав. Копакабана, 267",Рио-де-Жанейро,RJ,02389-890,Бразилия,(21) 555-3412,
LILAS,ЛИЛА-Супермеркадо,Карлос Гонсалес,Бухгалтер,Каррера 52 con Ave. Bolvar #65-98 Llano Largo,Баркисимето,Лара,3508,Венесуэла,9) 331-6954,9) 331 - 7256
GODOS,Годос Коцина Типа,Джос Педро Фрейре,Менеджер по продажам,"С/ Ромеро, 33",Севилья,,41101,Испания,(95) 555 82 82,
GROSR,ГРОСЕЛЛА-РЕСТУРЕНТ,Мануэль Перейра,Владелец,Лос-Палос Грандес,Каракас,DF,1081,Венесуэла,2) 283-2951,(2) 283-3397
CACTU,Кактус Comidas para lelvar,Патрисио Симпсон,Агент по продаже,Серрито 333,Буэнос-Айрес,,1010,Аргентина,1) 135-5555,1) 135-4892
OTTIK,Оттилисы Кселаден,Генриетта Пфальцхайм,Владелец,Mehrheimerstr. 369,Клн,,50739,Германия,0221-0644327,0221-0765721
BSBEV,Напитки B's Weverages,Виктория Эшворт,Представитель по продажам,Циркуляция Fauntleroy,Лондон,,EC2 5NT,Соединенное Королевство,(171) 555-1212,
LONEP,Одинокий сосновый ресторан,Фрэн Уилсон,Менеджер по продажам,89 Chiaroscuro Rd.,Портленд,ИЛИ,97219,США,(503) 555-9573,(503) 555-9646
SPLIR,Разделить железнодорожное пиво & Ale,Искусство Брауншвейгер,Менеджер по продажам,P.O. Вставка 555,Посадка,WY,82520,США,(307) 555-4680,(307) 555-6525
TRADH,Tradio Hipermercados,Анабела Домингс,Представитель по продажам,"Av. Ins de Casto, 414",Сан-Паулу,СП,05634-030,Бразилия,11) 555-2167,11) 555-2168
ISLAT,&quot; Островная торговля &quot;,Хелен Беннетт,Управляющий маркетингом,Сад-Хаус - дорога для бродяг,Коусы,Остров Уайт,PO31 7PJ,Соединенное Королевство,(198) 555-8888,
SANTG,Сант Гурмет,Джонас Бергульфсен,Владелец,Ворота Эрлинг Скэккс 78,Ставерн,,4110,Норвегия,07-98 92 35,07-98 92 47
LAMAI,Мейсон д'Аси,Аннет Руле,Менеджер по продажам,1 ру-эль-эс-Лоррейн,Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
WHITC,Рынки белого кловера,Карл Яблонски,Владелец,305 - 14-е авеню S. Suite 3B,Сиэтл,WA,98128,США,(206) 555-4112,(206) 555 - 4115
BLONP,Blondeddsl pre et fils,Frdrique Citeaux,Управляющий маркетингом,"24, место Клбер",Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
QUICK,Стоп-стоп,Хорст Клосс,Бухгалтер,Таучерстра 10,Кновальде,,01307,Германия,0372-035188,
THECR,Коробка для крекеров,Лю Вонг,Помощник по маркетингу,55 Grizzly Peak Rd.,Бутылка,МТ,59801,США,(406) 555-5834,(406) 555-8083
ROMEY,Ромеро и Томильо,Алехандра Камино,Бухгалтер,"Бабушка Va, 1",Мадрид,,28001,Испания,(91) 745 6200,(91) 745 6210
GALED,Галара дель Гастрномо,Эдуардо Сааведра,Управляющий маркетингом,"Рамбла-де-Каталуа, 23",Барселона,,08022,Испания,(93) 203 4560,(93) 203 4561
PARIS,Парижские спциалиты,Мария Бертран,Владелец,"265, бульвар Шаронн",Париж,,75012,Франция,1) 42.34.22.66,1) 42.34.22.77
BOTTM,Рынки дотла,Элизабет Линкольн,Бухгалтер,23 Цавассен Блвд.,Цавассен,БК,T2F 8M4,Канада,(604) 555-4729,(604) 555-3745
LACOR,Ла-Роман д'Энденс,Дэниел Тонини,Представитель по продажам,"67, канал &quot; Европа &quot;",Версаль,,78000,Франция,30.59.84.10,30.59.85.11
QUEDE,Que Delcia,Бернардо Батиста,Бухгалтер,"&lt; &lt; Руа да панификадора &gt; &gt; , 12",Рио-де-Жанейро,RJ,02389-673,Бразилия,(21) 555 - 4252,(21) 555-4545
PRINI,Принцесса Изабель Виньос,Изабель де Кастро,Представитель по продажам,"&quot; Эстрада да сад &quot; , No 58",Лисбоа,,1756,Португалия,1) 356-5634,
ANATR,Ана Трухильо Эмпаредадос y helados,Ана Трухильо,Владелец,Avda. de la Constitucin 2222,Mxico D.F.,,05021,Мексика,5) 555-4729,5) 555-3745
COMMI,Комрсио Минейро,Педро Афонсо,Ассоциированный сотрудник по продажам,"Av. dos Lusadas, 23",Сан-Паулу,СП,05432-043,Бразилия,11) 555-7647,
HANAR,Ханари Карнс,Марио Понтес,Бухгалтер,"Руа-ду-Пао, 67",Рио-де-Жанейро,RJ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
CONSH,Консолидированные запасы,Элизабет Браун,Представитель по продажам,Беркли Гарденс 12 пивоварня,Лондон,,WX1 6LT,Соединенное Королевство,(171) 555-2282,(171) 555-9199
HILAA,ГИЛАРИОН-Абастос,Карлос Эрндес,Представитель по продажам,Каррера 22 ав. Карлос Сублетт #8-35,Сан-Кристбал,Чира,5022,Венесуэла,5) 555-1340,5) 555-1948
LAZYK,Ленивый магазин K Kountry,Джон Стил,Управляющий маркетингом,12 Оркестра Терраса,Уолла Уолла,WA,99362,США,(509) 555-7969,(509) 555-6221
