franchid,franchname,active,naassoc
TOL,Toledo Blue Stockings,N,
SDP,San Diego Padres,Y,
SYR,Syracuse Stars,N,
NYY,New York Yankees,Y,
WSN,Washington Nationals,Y,
ANA,Los Angeles Angels of Anaheim,Y,
WNL,Washington Nationals,N,
BLU,Baltimore Monumentals,N,
PIT,Pittsburgh Pirates,Y,
CLI,Cleveland Infants,N,
KCC,Kansas City Cowboys,N,
SLM,St. Louis Maroons,N,
FLA,Florida Marlins,Y,
CHP,Chicago Pirates,N,
BRD,Boston Reds,N,
CHC,Chicago Cubs,Y,CNA
CKK,Cincinnati Kelly's Killers,N,
STP,St. Paul Apostles,N,
MLA,Milwaukee Brewers,N,
PHA,Philadelphia Athletics,N,
PWS,Philadelphia White Stockings,NA,
BNA,Boston Red Stockings,NA,ATL
BWW,Brooklyn Ward's Wonders,N,
SFG,San Francisco Giants,Y,
MAN,Middletown Mansfields,NA,
NYP,New York Metropolitans,N,
WST,Washington Statesmen,N,
MAR,Baltimore Marylands,NA,
DET,Detroit Tigers,Y,
BFB,Buffalo Bisons,N,
WNA,Washington Nationals,N,
DTN,Detroit Wolverines,N,
LOU,Louisville Colonels,N,
CBK,Columbus Buckeyes,N,
BLO,Baltimore Orioles,N,
BRS,Boston Reds,N,
WOR,Worcester Ruby Legs,N,
CLS,Columbus Solons,N,
WNT,Washington Nationals,NA,
BLT,Baltimore Terrapins,N,
MLG,Milwaukee Grays,N,
LAD,Los Angeles Dodgers,Y,
ECK,Brooklyn Eckfords,NA,
CNA,Chicago White Stockings,NA,CHC
IND,Indianapolis Hoosiers,N,
KCN,Kansas City Cowboys,N,
RES,Elizabeth Resolutes,NA,
ATL,Atlanta Braves,Y,BNA
ATH,Philadelphia Athletics,N,PNA
BRA,Brooklyn Atlantics,NA,
SBS,St. Louis Brown Stockings,N,SNA
TOR,Toronto Blue Jays,Y,
IHO,Indianapolis Hoosiers,N,
TRO,Troy Haymakers,NA,
BAL,Baltimore Orioles,Y,
COR,Cincinnati Outlaw Reds,N,
KCR,Kansas City Royals,Y,
CIN,Cincinnati Reds,Y,
HNA,Hartford Dark Blues,NA,HAR
HOU,Houston Astros,Y,
PBS,Pittsburgh Rebels,N,
NYM,New York Mets,Y,
NYU,New York Mutuals,N,NNA
MIN,Minnesota Twins,Y,
PRO,Providence Grays,N,
COL,Colorado Rockies,Y,
WIL,Wilmington Quicksteps,N,
SLR,St. Louis Red Stockings,NA,
BRG,Brooklyn Gladiators,N,
PNA,Philadelphia Athletics,NA,ATH
NAT,Washington Nationals,NA,
KCU,Kansas City Cowboys,N,
NYI,New York Giants,N,
SLI,St. Louis Terriers,N,
SYS,Syracuse Stars,N,
SEA,Seattle Mariners,Y,
KEK,Fort Wayne Kekiongas,NA,
TRT,Troy Trojans,N,
CLV,Cleveland Spiders,N,
PHK,Philadelphia Keystones,N,
MLU,Milwaukee Brewers,N,
ALT,Altoona Mountain City,N,
PHI,Philadelphia Phillies,Y,
MIL,Milwaukee Brewers,Y,
CEN,Philadelphia Centennials,NA,
BLC,Baltimore Canaries,NA,
IBL,Indianapolis Blues,N,
STL,St. Louis Cardinals,Y,
NNA,New York Mutuals,NA,NYU
TEX,Texas Rangers,Y,
NEW,Newark Pepper,N,
CBL,Cleveland Blues,N,
RIC,Richmond Virginians,N,
WBL,Washington Blue Legs,NA,
BFL,Buffalo Bisons,N,
HAR,Hartford Dark Blues,N,HNA
TBD,Tampa Bay Rays,Y,
BUF,Buffalo Bisons,N,
WES,Keokuk Westerns,NA,
CNR,Cincinnati Reds,N,
CHH,Chicago Whales,N,
ARI,Arizona Diamondbacks,Y,
OLY,Washington Olympics,NA,
SNA,St. Louis Brown Stockings,NA,SBS
ROC,Rochester Broncos,N,
TLM,Toledo Maumees,N,
LGR,Louisville Grays,N,
PBB,Pittsburgh Burghers,N,
CFC,Cleveland Forest Citys,NA,
CLE,Cleveland Indians,Y,
OAK,Oakland Athletics,Y,
CHW,Chicago White Sox,Y,
NHV,New Haven Elm Citys,NA,
KCP,Kansas City Packers,N,
PHQ,Philadelphia Athletics,N,
