au_id,au_lname,au_fname,phone,address,city,state,zip,contract
846-92-7186,Хантер,Шерил,415 836-7128,3410 Блонд-страт,Пало-Альто,Калифорния,94301,1
724-80-9391,МакФеттер,Стернз,415 354-7128,44 Упланд Хайтс,Оакленд,Калифорния,94612,1
527-72-3246,Грин,Утро́свет,615 297-2723,22 Грейбар Хаус Роуд.,Нэшвилл,ТН,37215,0
267-41-2394,О'Лири,Майкл,408 286-2428,"22 Cleveland-авеню, номер 14",Сан-Хосе,Калифорния,95128,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956 год",Роквилл,MD,20853,1
672-71-3249,Yokomото,Акико,415 935-4228,3 Сераебро Ct.,Ореховый ручей,Калифорния,94595,1
899-46-2035,Коллаж,Анна,801 826-0752,67 Семьмой авеню,Солт-Лейк-Сити,УТ,84152,1
472-27-2349,Гринглзби,Берт,707 938-6445,ПО-бокс 792,Ковело,Калифорния,95428,1
409-56-7008,Беннет,Аврам,415 658-9932,"улица Батемана, 6223",Беркли,Калифорния,94705,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграф-авеню,Оакленд,Калифорния,94609,0
213-46-8915,Зелёный,Марджори,415 986-7020,309 63-я улица #411,Оакленд,Калифорния,94618,1
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-лейн.,Беркли,Калифорния,94705,1
341-22-1782,Смит,меандерить,913 843-0462,Улица Десятого Миссисипи,Лоренс,КС,66044,0
756-30-7391,Карсен,Ливия,415 534-9219,5720 Мак-Оуэйл-стрит.,Оакленд,Калифорния,94609,1
648-92-1872,Блотчет-Холлс,Реджинальд,503 745-6402,55 Хиллсдейл-бльвар,Корваллис,О,97330,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Бигг Роуд.,Менло-Парк,Калифорния,94025,1
998-72-3567,Коллаж,Альберт,801 826-0752,67 Семьмой авеню,Солт-Лейк-Сити,УТ,84152,1
274-80-9391,Прямо,Дэн,415 834-2919,5420 колледж-авеню,Оакленд,Калифорния,94609,1
893-72-1158,Макбедден,Хейер,707 448-4982,301 Путнам,Вакавилл,Калифорния,95688,0
427-17-2319,Унылый,Анна,415 836-7128,3410 Блонд-страт,Пало-Альто,Калифорния,94301,1
722-51-5454,Дефранс,Мишель,219 547-9982,3 Балдинг Плейс,Гэри,В,46403,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,"2286 Крам-плейс, №86",Анн-Арбор,МИ,48105,1
486-29-1786,Локсли,Шарлен,415 585-4620,18 Бродвей-авеню,Сан-Франциско,Калифорния,94130,1
