emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
PTC11962M,Филип,Т,Крамера,2,215,9952,1989-11-11 00:00:00
MMS49649F,Мэри,М,Сэвли,8,175,736,1993-06-29 00:00:00
DBT39435M,Даниэль,б,Тонини,11,75,877,1 января 1990 года
PSP68661F,Паула,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Парьент,8,125,1389,1994-01-19 00:00:00
ENL44273F,Элизабет,Ok!,Линкольн,14,35,877,1990-07-24 00:00:00
Y-L77953M,Йоси,,Латимер,12,32,1389,11.06.1989 г.
A-C71970F,Ария,,Крус,10,87,1389,1991-10-26 00:00:00
DWR65030M,Диего,В,Роэль,6,192,1389,16 декабря 1991 года
RBM23061F,Рита,б,Мюллер,5,198,1622,1993-10-09 00:00:00
MFS52347M,Мартин,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Зима,10,165,736,13.04.1990 г.
CFH28514M,Карлос,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хернадес,5,211,9999,1989-04-21 00:00:00
POK93028M,Пиркко,О,Коскитало,10,80,9999,1993-11-29 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
LAL21447M,Лоранс,А,Лебихан,5,175,736,1990-06-03 00:00:00
H-B39728F,Элен,,Бэннет,12,35,877,1989-09-21 00:00:00
PSA89086M,Педро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Афонсо,14,89,1389,1990-12-24 00:00:00
ARD36773F,Анелоба,r,Домингеш,8,100,877,1993-01-27 00:00:00
MGK44605M,Мати,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",Карттунен,6,220,736,1994-05-01 00:00:00
TPO55093M,Тимоти,П,О'Рурк,13,100,736,1988-06-19
JYL26161F,Джинн,Да,Лабрун,5,172,9901,1991-05-26 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
GHT50241M,Гэри,"Добро пожаловать в Chatbot-сервис Coral! Я готов помочь вам с любыми вопросами или задачами, связанными с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам точный и естественный перевод.",Томас,9,170,736,1988-08-09 00:00:00
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
SKO22412M,Свен,К,О́ттов,5,150,1389,1991-04-05 00:00:00
AMD15433F,Анна,М,Дэвен,3,200,9952,16.07.1991 г. 00:00
PMA42628M,Па́оло,М,Аккорти,13,35,877,1992-08-27 00:00:00
HAS54740M,Ховард,А,Снидер,12,100,736,19 ноября 1988 года
KFJ64308F,Карин,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ио́сиф,14,100,736,1992-10-17 00:00:00
MJP25939M,Мэри,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Понтес,5,246,1756,1989-03-01 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
HAN90777M,Гельветийцы,А,Наги,7,120,9999,1993-03-19
CGS88322F,Карине,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",Шмитт,13,64,1389,1992-07-07 00:00:00
MAS70474F,Маргарет,А,Смит,9,78,1389,1988-09-29
PXH22250M,Пау́л,X,Генрио,5,159,877,1993-08-19 00:00:00
PDI47470M,Пале,"Добро пожаловать в нашу команду! Мы с радостью поможем вам перевести ваш текст. Просто пришлите нам ваш запрос, и мы сделаем все возможное, чтобы помочь вам.",Ибсен,7,195,736,1993-05-09 00:00:00
VPA30890F,Виктория,П,Ашворт,6,140,877,13.09.1990 г. 00:00:00
KJJ92907F,Карла,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Яблонский,9,170,9999,11.03.1994 г.
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
MAP77183M,Мигель,А,Паоло,11,112,1389,1992-12-07 00:00:00
L-B31947F,Лесли,,бурый,7,120,877,1991-02-13 00:00:00
PHF38899M,Питер,"Добро пожаловать в Chatbot-сервис Coral! Я готов помочь вам с любыми вопросами или задачами, связанными с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам точный и естественный перевод.",Франкен,10,75,877,1992-05-17 00:00:00
PCM98509F,Пэтриция,Ч,Маккенна,11,150,9999,1989-08-01 00:00:00
