customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
GREAL,Продовольственный рынок Великих озер,Говард Снайдер,Управляющий маркетингом,2732 Бейкер Блвд.,Юджин,ИЛИ,97403,США,(503) 555-7555,
HUNGC,Магазин импорта голодного койота,Йоши Латимер,Представитель по продажам,Городской центр Плаза 516 Main St.,Элгин,ИЛИ,97827,США,(503) 555-6874,(503) 555-2376
LAZYK,Ленивый магазин K Kountry,Джон Стил,Управляющий маркетингом,12 Оркестра Терраса,Уолла Уолла,WA,99362,США,(509) 555-7969,(509) 555-6221
LETSS,Остановим N-шоп.,Джейме Йоррес,Владелец,87 Polk St. Suite 5,Сан-Франциско,КА,94117,США,(415) 555-5938,
LONEP,Одинокий сосновый ресторан,Фрэн Уилсон,Менеджер по продажам,89 Chiaroscuro Rd.,Портленд,ИЛИ,97219,США,(503) 555-9573,(503) 555-9646
OLDWO,Старый мир Деликатссен,Рене Филлипс,Представитель по продажам,2743 Bering St.,Крепление,АК,99508,США,(907) 555-7584,(907) 555-2880
RATTC,Рэттлеснайк Каньон Гроучери,Паула Уилсон,Помощник представителя по продажам,2817 Milton Dr.,Альбукерке,НМ,87110,США,(505) 555-5939,(505) 555-3620
SAVEA,Рынки &quot; сберегать &quot;,Хосе Паваротти,Представитель по продажам,187 Suffolk Ln.,Бойз,Идентификационный номер,83720,США,(208) 555-8097,
SPLIR,Разделить железнодорожное пиво & Ale,Искусство Брауншвейгер,Менеджер по продажам,P.O. Вставка 555,Посадка,WY,82520,США,(307) 555-4680,(307) 555-6525
WHITC,Рынки белого кловера,Карл Яблонски,Владелец,305 - 14-е авеню S. Suite 3B,Сиэтл,WA,98128,США,(206) 555-4112,(206) 555 - 4115
BLAUS,Блейер См. Delikatessen,Ханна Мус,Представитель по продажам,Форстерстр. 57,Мангейм,,68306,Германия,0621-08460,0621-08924
