customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
PICCO,Пикколо и др.,Георг Пиппс,Менеджер по продажам,Geislweg 14,Зальцбург,,5020,Австрия,6562-9722,6562-9723
FOLIG,Фоли-гурманда,Мартин Рэнк,Помощник по продажам,"184, улице Шассе-де-Тойн",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
REGGC,Реггиани Кейсифики,Муарцио Морони,Продавец-консультант,επαρχная дорога №124,Реггионо-Эмилия,,42100,Италия,0522-556721,0522-556722
OLDWO,Старый мир деликатесов,Рене Филиппс,Продавец,"Улица Беринга, 2743",Анкоридж,АК,99508,США,(907) 555-7584,(907) 555-2880
TORTU,Тортуга Ресторанте,Miguel Ангел Паолино,Владелец,"Улица Авда Азтека, дом 123","Мексико, ДФ",,05033,Мексика,(5) 555-2933,
SEVES,Семь морей Импорт,Хари Кумар,Менеджер по продажам,90 Уадхерст-роуд.,Лондон,,"Оксфорд, Оксфордшир",Великобритания,(171) 555-1717,(171) 555-5646
KOENE,Книгей Эссен,Филип Крамер,Продавец-консультант,"Улица Маубель, дом 90",Бранденбург,,14776,Германия,0555-09876,
MAGAA,Магазины продовольственных товаров,Джованни Ровелли,Менеджер по маркетингу,ВиаLudovico илМора22,Бергамо,,24100,Италия,035-640230,035-640231
GODOS,Годос cocina типика,Жос Педру Фрейре,Менеджер по продажам,"C/ Ромеро, 33",Севилья,,41101,Испания,(95) 555-82-82,
COMMI,Комтрио Минейро,Педру Афонсу,Продавец-консультант,"Авеню Дус Лусада, 23",Сан-Паулу,Спасибо!,05432-043,Бразилия,(11) 555-7647,
ROMEY,Ромеро и томил,Алехандра Камио,Менеджер по бухгалтерскому учету,"Гран-Ва, 1",Мадрид,,28001,Испания,(91) 7-456-200,(91) 745-62-10
GOURL,Гурман-ланшонетес,Андре Фонсека,Продавец-консультант,"Авеню Бразилии, 442",Кампинас,Спасибо!,04876-786,Бразилия,(11) 555-9482,
VAFFE,Вафельджёрнет,Пале Ибсен,Менеджер по продажам,Смагслогет 45,РХУС,,8200,Дания,86 21 32 43,86 22 33 44
ISLAT,Островные торги,Хелен Беннетт,Менеджер по маркетингу,"Домик в саду, Crowther Way",Коус,Остров Уайт,Po-01-7ПЙ,Великобритания,(198) 555-8888,
WARTH,Вариан Герку,Пиркко Коскитало,Менеджер по бухгалтерскому учету,"Торикаату, дом 38",Уулу,,90110,Финляндия,981-443655,981-443655
GROSR,Гроселла-Ресторан,Мануэл Перейра,Владелец,Пять авеню Лос-Палос-Грандес,Каракас,ДФ,1081,Венесуэла,(2) 283-2951,(2) 283-3397
MORGK,Морганстерн Здоровое Питание,Александр Фейер,Маркетинговый ассистент,Улица Герра 22,Лейпциг,,04179,Германия,0342-023176,
VICTE,Пища на складе,Мэри Савли,Продавец,"2, улица Коммерции",Лион,,69004,Франция,78.32.54.86,78.32.54.87
LETSS,Давайте остановимся в НШOP,Джейми Йоррес,Владелец,"87 Polk-стр., оф. 5",Сан-Франциско,Кальфорния,94117,США,(415) 555-5938,
SIMOB,Бистро Симонс,Джитте Петерсен,Владелец,Винблет 34,Копенгаген,,1734,Дания,31 12 34 56,31 13 35 57
BLAUS,Блауер Зее Деликатесен,Анна Мусс,Продавец,"Форстерштрассе, 57",Манхайм,,68306,Германия,0621-08460,0621-08924
DUMON,Весь мир,Джинайн Лабрюн,Владелец,улица Пяти Крепостных Держался,Нант,,44000,Франция,40.67.88.88,40.67.89.89
THECR,Крапка,Лью Вонг,Маркетинговый ассистент,55 Гризли Пик Род,Бут,МТ,59801,США,(406) 555-5834,(406) 555-8083
WILMK,Уильям Кала,Мати Карттунен,Владелец/ассистент по маркетингу,Кескускат у-45,Гельсинки,,21240,Финляндия,90-224 8858,90-224 8858
AROUT,Вокруг бугры,Томас Харди,Продавец,120 Хановер-сквер,Лондон,,WA1 1ДП,Великобритания,(171) 555-7788,(171) 555-6750
WOLZA,Вольский Заказад,Збысек Пиестрженевич,Владелец,"улица Фильтровая, 68",Варшава,,01-012,Польша,(26) 642-7012,(26) 642-7012
ANTON,Антонио Морено Таккера,Антонио Морено,Владелец,Матерасо 2312,"Мексико, ДФ",,05023,Мексика,(5) 555-3932,
ERNSH,Эрнст Хендель,Роланд Мендель,Менеджер по продажам,Кирхгассе 6,Грац,,8010,Австрия,7675-3425,7675-3426
OCEAN,Окано Атлантик Лтд.,Ивонне Монкада,Продавец,"Инж. Густаво Монкада, 8585, 20-й этаж",buenos aires,,1010,Аргентина,(1) 8-926-5333,(1) 135-55-35
CHOPS,Чоп-суей цзин,Янг Ванг,Владелец,"Главная улица, 29",Берн,,3012,Швейцария,0452-076545,
LONEP,Ресторан Лонли-Пайн,Фран Уилсон,Менеджер по продажам,89 Чиароскуаро Роуд.,Портленд,А,97219,США,(503) 555-9573,(503) 555-9646
