au_id,au_lname,au_fname,phone,address,city,state,zip,contract
756-30-7391,Карсен,Ливия,415 534-9219,Улица Мак-Оули 5720.,Окленд,Калифорния,94609,1
274-80-9391,Прямо,Дэн,415 834-2919,5420 Колледж-авеню,Окленд,Калифорния,94609,1
998-72-3567,Звонок,Альберт,801 826-0752,67 Седьмая улица,Солт-Лейк-Сити,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",84152,1
409-56-7008,Беннет,Абрахам,415 658-9932,"улица Батемана, 6223",Беркلي,Калифорния,94705,1
472-27-2349,Гринглзби,Бурт,707 938-6445,Пошта №792,Ковело,Калифорния,95428,1
893-72-1158,Макбэдден,Хейер,707 448-4982,Путаун,Вакавилл,Калифорния,95688,0
724-08-9931,Стрингер,Дирк,415 843-2991,"Авеню Телеграфа, 5420",Окленд,Калифорния,94609,0
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-лейн.,Беркلي,Калифорния,94705,1
267-41-2394,О'Лири,Майкл,408 286-2428,22 Кливленд Ав. №14,Сан-Хосе,Калифорния,95128,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956",Роквилл,МД,20853,1
427-17-2319,Тускло,Анна,415 836-7128,"ул.Blondина, д.3410",Пало-Альто,Калифорния,94301,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,"2286 Крам-плейс, №86",Анн-Арбор,МИ,48105,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Биггз Роуд.,Менло-Парк,Калифорния,94025,1
213-46-8915,Зеленый,Марджори,415 986-7020,"ул. 309,квартира 411",Окленд,Калифорния,94618,1
899-46-2035,Звонок,Анна,801 826-0752,67 Седьмая улица,Солт-Лейк-Сити,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",84152,1
527-72-3246,Грин,Марс,615 297-2723,22 Грэйбар Хаус Роуд.,Нашвилл,ТН,37215,0
648-92-1872,Блотчет-Холлз,Регинальд,503 745-6402,55 Хиллсдейл Бльв.,Корваллис,А,97330,1
672-71-3249,Ёкомото,Акико,415 935-4228,3 Сильвер Ct.,Валенс-Крик,Калифорния,94595,1
846-92-7186,Хунтер,Шерил,415 836-7128,"ул.Blondина, д.3410",Пало-Альто,Калифорния,94301,1
722-51-5454,Дефренс,Мишель,219 547-9982,3 Балдинг Плейс,Гэри,В,46403,1
341-22-1782,Смит,Извилиста,913 843-0462,10 Миссисипи-драйв,Лоуренс,КС,66044,0
724-80-9391,МакФеттерн,Стернс,415 354-7128,44 Упленд-Хайтс,Окленд,Калифорния,94612,1
486-29-1786,Локсли,Шарлен,415 585-4620,18 Бродвей Ав.,Сан-Франциско,Калифорния,94130,1
