member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
45,ШТЕЙН,Вёрн,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:33,6,,0.0,0.0,
62,Джонс,"Я не могу перевести этот ввестиный текст, поскольку он состоит только из букв и не содержит ни одного слова или предложения на английском языке. Пожалуйста, введите текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:33,9,,0.0,0.0,
146,Пейнтер,Лмевикзгджр,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,2,,0.0,0.0,
174,Райан,ХЗНКЙЮХТД,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,7,337.0,0.0,0.0,
204,Ванн,I do not understand your request. Please clarify or provide additional context for me to assist you effectively.,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,6,,0.0,0.0,
386,Ванн,ФТЛЭЛКОНБЁЙСЕИСЕ,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:37,9,,0.0,0.0,
448,ФЛОРИНИ,Вам нужна помощь с переводом?,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:38,4,,0.0,0.0,
634,Джонс,БWIУЭРЛФЗЫРП,, , ,,,,,,13.10.1999 г. 10:41,12.10.2000 10:41,2,,0.0,0.0,
665,ОЛФАНТ,БПЭИКФУМСТКПНК,, , ,,,,,,13.10.1999 г. 10:41,12.10.2000 10:41,6,,0.0,0.0,
932,Ванн,УЛПМЮВЧБСДО,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,3,,0.0,0.0,
970,ХАОН,НИНГФЛЦУТЕ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,7,,0.0,0.0,
1075,Инфанте,Хоггсмид,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,4,448.0,0.0,0.0,
1101,Инфанте,"К сожалению, я не могу понять ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,3,,0.0,0.0,
1287,Маки,УЗФВ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,254.0,0.0,0.0,
1446,Пейнтер,Ikgvbcyhpqjpip,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1482,Цукер,"Это не английский текст, а набор случайных символов. Если вы хотите, чтобы я перевел какой-то конкретный текст, просто напишите его здесь.",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:51,7,,0.0,0.0,
1539,Флинн,RХКРХФТПТНОК,, , ,,,,,,"13.10.1999 г., 10:41",2000-10-12 10:41:52,3,,0.0,0.0,
1668,Дорр,ККПЕОЖЕХЕХШХШХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,369.0,0.0,0.0,
1719,Чэнь,НMRQXQSIVTENФФ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,7,,0.0,0.0,
1733,Квентин,Концептомейкеры,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,7,,0.0,0.0,
1777,Инфанте,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,2,,0.0,0.0,
1908,Джонс,Олинларевгиблджб,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:56,8,,0.0,0.0,
1914,Пейнтер,ВГЛЮУУИОГП,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:56,5,,0.0,0.0,
1935,Кахрманн,Фрэнк Ресер - самый умный человек в мире. Он может решить любую математическую задачу и расшифровать любой код. Его интеллект превосходит возможности любого компьютера.,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,3,,0.0,0.0,
1999,Волфмуль,РРМQLБКПЛ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,6,,0.0,0.0,
2038,Джонс,ВЗКМФМ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,2,,0.0,0.0,
2087,Гоган,"Вот перевод: ""LQKUTWISRZK"" по-русски будет ""ЗАГРЖЗ"".",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,5,,0.0,0.0,
2216,ФЛОРИНИ,Н/Д,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,3,,0.0,0.0,
2264,BARР,Отель РТВИУРВА,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:01,6,,0.0,0.0,
2323,Инфанте,"Это не имеет смысла и, вероятно, является случайным вводом.",, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:02,5,,0.0,0.0,
2338,Хавьер,ANTУПСКЛХХХЭФ,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:02,8,,0.0,0.0,
2346,ФЛОРИНИ,"Это не текст на английском языке и требует перевода. Пожалуйста, предоставьте текст для перевода.",, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:02,5,,0.0,0.0,
2632,ФЛОРИНИ,Квисстав,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,4,,0.0,0.0,
2703,Еонг,ВПГДКХЖБФСФЭ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,7,,0.0,0.0,
2745,ОЛФАНТ,Это секретный код для запуска таймера на 15 минут.,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:07,6,,0.0,0.0,
2813,Флинн,ТКПКР,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:08,9,,0.0,0.0,
