address_id,address,address2,district,city_id,postal_code,phone,last_update
5,1913 Ханойский путь,,Нагасаки,463,35200,28303384290,2006-02-15T03:45:30
52,909 Поместье Гарланда,,Татарстан,367,69367,705800322606,2006-02-15T03:45:30
54,115 &lt; &lt; Идальго Парквей &gt; &gt;,,Хартум,379,80168,307703950263,2006-02-15T03:45:30
62,1114 Улица Лиепаджа,,Саравак,282,69226,212869228936,2006-02-15T03:45:30
88,125 Бульвар &lt; &lt; Цитт дель Ватикано &gt; &gt;,,Пуэбла,40,67912,48417642933,2006-02-15T03:45:30
102,669 Фиродзабад Луп,,Абу-Даби,12,92265,412903167998,2006-02-15T03:45:30
137,261 Сент-Луисский путь,,Коауила де Сарагоса,541,83401,321944036800,2006-02-15T03:45:30
146,483 Ljubertsy Parkway,,Шотландия,149,60562,581174211853,2006-02-15T03:45:30
149,999 Sana Loop,,Гаутенг,491,3439,918032330119,2006-02-15T03:45:30
157,456 Эскобарский путь,,Джакарта Райа,232,36061,719202533520,2006-02-15T03:45:30
179,431 Сянтан Авеню,,Керала,18,4854,230250973122,2006-02-15T03:45:30
188,741 Помещение для амбаттуры,,Норд-Брабант,438,43310,302590383819,2006-02-15T03:45:30
191,140 Парквей Чиайи,,Сьюми,506,38982,855863906434,2006-02-15T03:45:30
217,1001 Мияконохо Лейн,,Тизз,518,67924,584316724815,2006-02-15T03:45:30
223,1244 Allappuzha (Alleppey),,Буэнос-Айрес,567,20657,991802825778,2006-02-15T03:45:30
253,1760 Поместье Ошава,,Тяньцзин,535,38140,56257502250,2006-02-15T03:45:30
256,1497 Yuzhou Drive,,Англия,312,3433,246810237916,2006-02-15T03:45:30
258,752 Ondo Loop,,Миядзаки,338,32474,134673576619,2006-02-15T03:45:30
269,446 Кирово-Тепетскская линия,,Осака,203,19428,303967439816,2006-02-15T03:45:30
270,682 Халисахар Площадь,,Северн Морава,378,20536,475553436330,2006-02-15T03:45:30
273,1519 Илорин,,Керала,395,49298,357445645426,2006-02-15T03:45:30
275,906 Goinia Way,,Вилькопольское,255,83565,701767622697,2006-02-15T03:45:30
276,1675 Поместье Сянфана,,Тамилнад,283,11763,271149517630,2006-02-15T03:45:30
282,556 поместье в Бейбайе,,Ойо и Осун,374,55802,363982224739,2006-02-15T03:45:30
299,32 Пудукоттайская полоса,,Огайо,140,38834,967274728547,2006-02-15T03:45:30
309,827 Yuncheng Драйв,,Каллао,99,79047,504434452842,2006-02-15T03:45:30
310,913 Coacalco de Berriozbal Loop,,Техас,33,42141,262088367001,2006-02-15T03:45:30
334,1816 Бидгошц Луп,,Дакка,234,64308,965273813662,2006-02-15T03:45:30
345,68 Ponce Parkway,,Ханой,201,85926,870635127812,2006-02-15T03:45:30
348,785 улица Вадуз,,Нижняя Калифорния,335,36170,895616862749,2006-02-15T03:45:30
362,482 поместья Коулун и Новый поселок Коулун,,Братислава,90,97056,738968474939,2006-02-15T03:45:30
370,1565 поместье Тангаил,,Окинава,377,45750,634445428822,2006-02-15T03:45:30
376,1061 Эде Авеню,,Южный тагалог,98,57810,333390595558,2006-02-15T03:45:30
391,1793 Мейсианское место,,Хмммм..,258,33535,619966287415,2006-02-15T03:45:30
409,1266 Larredo Parkway,,Сайтама,380,7664,1483365694,2006-02-15T03:45:30
415,432 улица Гард-Гроув,,Онтарио,430,65630,615964523510,2006-02-15T03:45:30
442,1245 Ибиритский путь,,Ла Романа,290,40926,331888642162,2006-02-15T03:45:30
445,495 Bhimavaram Lane,,Махараштра,144,3,82088937724,2006-02-15T03:45:30
452,207 Cuernavaca Loop,,Татарстан,352,52671,782900030287,2006-02-15T03:45:30
453,319 Спрингс Лоп,,Байджери,160,99552,72524459905,2006-02-15T03:45:30
456,814 Simferopol Loop,,Синалоа,154,48745,524567129902,2006-02-15T03:45:30
460,659 Бульвар Гатино,,Ла-Пас,153,28587,205524798287,2006-02-15T03:45:30
490,1909 Дейтонская авеню,,Гуандун,469,88513,702955450528,2006-02-15T03:45:30
496,775 остка Драйв,,Эль-Дакалия,337,22358,171973024401,2006-02-15T03:45:30
500,362 Раджкот Лейн,,Гансу,47,98030,962020153680,2006-02-15T03:45:30
507,1197 Бульвар &lt; &lt; Сокото &gt; &gt;,,Западный Бенгали,478,87687,868602816371,2006-02-15T03:45:30
510,48 &lt; &lt; Маракабо &gt; &gt;,,Центральный Лузон,519,1570,82671830126,2006-02-15T03:45:30
522,1768 Udine Loop,,Баттамбанг,60,32347,448876499197,2006-02-15T03:45:30
533,556 Ассунсьональный путь,,Могильев,339,35364,338244023543,2006-02-15T03:45:30
535,635 Брестское поместье,,Андхра Прадеш,75,40899,80593242951,2006-02-15T03:45:30
546,191 Жос Азуета Парквей,,Рузвельт,436,13629,932156667696,2006-02-15T03:45:30
568,1342 Путь Шарджа,,Sokoto & Kebbi & Zam,488,93655,946114054231,2006-02-15T03:45:30
581,186 Skickda Lane,,Морелос,131,89422,14465669789,2006-02-15T03:45:30
583,1489 Какамигара Лейн,,Тайбэй,526,98883,29341849811,2006-02-15T03:45:30
588,966 Ассунсьональный путь,,Идальго,212,62703,995527378381,2006-02-15T03:45:30
605,1325 улица Фукуяма,,Хейлонгцзян,537,27107,288241215394,2006-02-15T03:45:30
