au_id,au_lname,au_fname,phone,address,city,state,zip,contract
846-92-7186,Охотник,Шерил,415 836-7128,3410 Блондинка Св.,Palo Alto,КА,94301,1
486-29-1786,Локсли,Шарлин,415 585-4620,18 Бродвей Ав.,Сан-Франциско,КА,94130,1
899-46-2035,Кольцо,Анна,801 826-0752,67 Седьмой Ав.,Солт-Лейк-Сити,UT,84152,1
472-27-2349,Гринглсби,Бёрт,707 938-6445,СП Вставка 792,Ковело,КА,95428,1
213-46-8915,Зеленый,Марджори,415 986-7020,309 63-й св. No 411,Окленд,КА,94618,1
756-30-7391,Карсен,Ливия,415 534-9219,5720 McAuley St.,Окленд,КА,94609,1
341-22-1782,Смит,Стержень,913 843-0462,10 Миссисипи Д.,Лоуренс,KS,66044,0
724-08-9931,Стрингер,Дирк,415 843-2991,5420 Телеграф Ав.,Окленд,КА,94609,0
238-95-7766,Карсон,Шерил,415 548-7723,589 Дарвин Лн.,Беркли,КА,94705,1
267-41-2394,О'Лири,Майкл,408 286-2428,22 Кливленд Ав. #14,Сан-Хосе,КА,95128,1
893-72-1158,Макбадден,Хизер,707 448-4982,301 Путнам,Вакавиль,КА,95688,0
807-91-6654,Пантели,Сильвия,301 946-8853,1956 год Арлингтон Пл.,Роквилль,MD,20853,1
409-56-7008,Беннет,Авраам,415 658-9932,6223 Бэйтман Сент-Анджелес.,Беркли,КА,94705,1
648-92-1872,Блоше-холлы,Реджинальд,503 745-6402,55 Хиллсдейл Бл.,Корвальис,ИЛИ,97330,1
998-72-3567,Кольцо,Альберт,801 826-0752,67 Седьмой Ав.,Солт-Лейк-Сити,UT,84152,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Серебряный Ct.,Крик с грецким орехом,КА,94595,1
527-72-3246,Грин,Утренняя звезда,615 297-2723,22 Graybar House Rd.,Нэшвилл,TN,37215,0
712-45-1867,Дель Кастильо,Инны,615 996-8275,2286 Cram Pl. #86,Энн Арбор,МИ,48105,1
724-80-9391,MacFeather,Стерны,415 354-7128,44 Appland Hts.,Окленд,КА,94612,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Bigge Rd.,Парк Менло,КА,94025,1
274-80-9391,Прямо,Дин,415 834-2919,5420 Колледж Ав.,Окленд,КА,94609,1
427-17-2319,Глупая,Энн,415 836-7128,3410 Блондинка Св.,Palo Alto,КА,94301,1
722-51-5454,Франция,Мишель,219 547-9982,3 Плэддинг Пл.,Гэри,ВНУТРЕННИЕ,46403,1
