customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
MAGAA,Магазин объединенных продуктов питания,Джованни Роверелли,Менеджер по маркетингу,"Людвидо Иморо, 22",Бергамо,,24100,Италия,035-640230,035-640231
ROMEY,Ромеро и тимьян,Алехандра Камио,Руководитель бухгалтерского отдела,"Гран Ва, 1",Мадрид,,28001,Испания,(91)-745-6200,(91)-745-6210
ALFKI,Альфредс Футтеркист,Мария Андерсонс,Продавец,"Оберная улица, дом 57",Берлин,,12209,Германия,030-0074321,030-0076545
LINOD,Лино-Деликатесы,Фелипе Изьярдо,Владелец,"Авье, Пять Мая, Порамар",Маргарита,Новая Спасция,4980,Венесуэла,(8) 34-56-12,(8) 34-93-93
FISSA,ФИССА Фабрика Интер. Салчичас С.А.,Диего Рохель,Руководитель бухгалтерского отдела,"Моральзарзал, 86",Мадрид,,28034,Испания,(91) 555-94-44,(91) 555-55-93
BONAP,Доброе утро,Лоран Лебехан,Владелец,"12, улица Руж-де-Бушер",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
TORTU,Тортуга Ресторанте,Мигель Энрике Паолино,Владелец,Аведа Азтек 123,"Мексико, ДФ",,05033,Мексика,(5) 555-2933,
VICTE,Жирная еда в запасе,Мэри Сэвли,Продавец,"2, улица Коммерсы",Лион,,69004,Франция,78.32.54.86,78.32.54.87
WELLI,Веллингтон Импортатор,Паула Паренте,Руководитель отдела продаж,"Руа do Mercado, 12",Резенде,Спасибо,08737-363,Бразилия,(14) 555-8122,
HUNGO,Голодная сова круглосуточные магазины,Патриция Макكينна,Продавец-консультант,8 Джонуорт-стрит,Кורק,Корк,,Ирландия,2967 542,2967 3333
GALED,Группа гурманов,Эдуардо Сааведра,Менеджер по маркетингу,"Рамбла де Каталония, 23",Барселона,,08022,Испания,(93) 203-4560,(93-203) 456-1
COMMI,Комцио Минейро,Педру Афонсу,Продавец-консультант,"Аvenue des Lusades, 23",Сан-Паулу,Спасибо,05432-043,Бразилия,(11) 555-7647,
MEREP,Мре Паиларде,Жан Фрезьер,Маркетинговый помощник,43 улица Сен-Лоран,Монреаль,Кبک,Х1Дж 1С3,Канада,(514) 555-8054,(514) 555-8055
REGGC,Реггиани Кейсифики,Маврицио Морони,Продавец-консультант,Provincial Road 124,Реггио-Эмилия,,42100,Италия,0522-556721,0522-556722
CHOPS,Китайская чаепитие,Янь Ванг,Владелец,"Главная улица, 29",Берне,,3012,Швейцария,0452-076545,
CONSH,Консолидированные холдинги,Елизавета Браун,Продавец,Бёркли-Гарденс 12 Брейри-Паб,Лондон,,WX1 6LT,Великобритания,(171) 555-2282,(171) 555-9199
PARIS,Парижспециалити,Мари Берланд,Владелец,"Бульвар Шаронне, 265",Париж,,75012,Франция,42.34.22.66,(1) 156.89.210.77
WILMK,Уилман Калла,Мatti Картунен,Владелец/ассистент по маркетингу,Кескускату 45,Гельсинки,,21240,Финляндия,90-224 8858,90-224 8858
FOLIG,Фоли-гурунд,Мартин Рэнк,Помощник по продажам,"184, улице Турнон",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
DUMON,Мире,Джинне Лабрун,Владелец,"Улица Пяти пленников, 67",Нант,,44000,Франция,40.67.88.88,40.67.89.89
HUNGC,Голодный койот Импорт магазин,Йоси Латимер,Продавец,"Плаза-центр Сити-центр

516 Main St.",Эльгин,А-р,97827,США,(503) 555-6874,(503) 555-2376
RICSU,Ричтер Супермаркет,Майкл Холц,Руководитель отдела продаж,Грензахервег 237,Женев,,1203,Швейцария,0897-034214,
LEHMS,Лехманн рынок,Ренате Месснер,Продавец,"Магазиновая улица, дом 7",Франкфурт-на-Майне,,60528,Германия,069-0245984,069-0245874
QUEEN,Королева Кулинарная,Лция Карвалью,Маркетинговый помощник,"Алameda-де-лос-Канриос, 891",Сан-Паулу,Спасибо,05487-020,Бразилия,(11) 555-1189,
ERNSH,Эрнст Хендель,Роланд Мендель,Руководитель отдела продаж,"Кирхгассе, 6",Граз,,8010,Австрия,7675-3425,7675-3426
SUPRD,Супрме длисе,Паскаль Картрейн,Руководитель бухгалтерского отдела,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия,(071) 23 67 22 20,(071) 23-67-22-21
QUICK,Остановить быстро,Горст Клоц,Руководитель бухгалтерского отдела,"Тауэрстрассе, 10",Кюневальд,,01307,Германия,0372-035188,
HILAA,Хиларион-Абастос,Карлос Эрнандес,Продавец,Кальяра 22 кон Аве. Карлос Собеллете #8/35,Сан-Кристиабель,Чира,5022,Венесуэла,(5) 555-1340,(5) 555-1948
WOLZA,Вольски Заказад,Збысек Пиеструненьский,Владелец,"ул. Фильтровая, 68",Варшава,,01-012,Польша,(26) 642-7012,(26) 642-7012
FURIB,Фурия Бакалау и Фрукты Мори,Лино Родригес,Руководитель отдела продаж,Сад роз н. 32,Лисабон,,1675,Португалия,(1) 354-2534,(1) 354-2535
RICAR,Рикардо Адоцика́дос,Джанете Лимейра,Помощник по продажам,"Аvenue Копакабана, 267",Рио-де-Жанейро,Р,02389-890,Бразилия,(21) 555-3412,
DRACD,Драконья кровь деликатесы,Свен Оттольби,Администратор заказа,"Уолсервейг, 21",Аахен,,52066,Германия,0241-039123,0241-059428
BOTTM,Рынки Bottom-Dollar,Элизабет Линкольн,Руководитель бухгалтерского отдела,Бульвар Тсауассен 23,Цауассен,БС,Т2Ф 8М4,Канада,(604) 555-4729,(604) 555-3745
