au_id,au_lname,au_fname,phone,address,city,state,zip,contract
472-27-2349,Гринглзби,Барт,707 938-6445,Пошта №792,Ковело,Калифорния,95428,1
846-92-7186,Хантер,Шэрон,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
756-30-7391,Карсен,Ливия,415 534-9219,Улица Мак-Оули 5720.,Окленд,Калифорния,94609,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,улица Крам 2286 №86,Анн-Арбор,МИ,48105,1
213-46-8915,Зеленый,Марджори,415 986-7020,309 63-й улица #411,Окленд,Калифорния,94618,1
807-91-6654,Пантелей,Сильвия,301 946-8853,1956 Арлингтонская улица.,Роквилл,МД,20853,1
427-17-2319,Тёплый,Анна,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
527-72-3246,Грин,Моторола,615 297-2723,22 Грейбэр Хаус Род,Нэшвилл,ТН,37215,0
274-80-9391,Прямой,Дэн,415 834-2919,5420 колледж-авеню,Окленд,Калифорния,94609,1
724-80-9391,МакФеттер,Стернс,415 354-7128,44 Уpland Хтс.,Окленд,Калифорния,94612,1
486-29-1786,Локсли,Шарлен,415 585-4620,Авеню 18 Броудвэй,Сан-Франциско,Калифорния,94130,1
409-56-7008,Беннет,Авраам,415 658-9932,6223 Бетемен-стрит,Беркли,Калифорния,94705,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Большая дорога,Менло-Парк,Калифорния,94025,1
998-72-3567,Рингер,Альберт,801 826-0752,67 седьмой авеню,Сולט-Лейк-Сити,УТ,84152,1
899-46-2035,Рингер,Анна,801 826-0752,67 седьмой авеню,Сולט-Лейк-Сити,УТ,84152,1
648-92-1872,Блотчет-Холс,Реджинальд,503 745-6402,"ул. Хиллсдейл, 55",Корваллис,О́,97330,1
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-лан.,Беркли,Калифорния,94705,1
893-72-1158,МкБадден,Хе́рри,707 448-4982,Путьэмт,Вакавилл,Калифорния,95688,0
341-22-1782,Смит,Извилистый,913 843-0462,Улица Десятой Миссисипи,Лоренс,КС,66044,0
672-71-3249,Йокомото,Акико,415 935-4228,3 Силвер кт.,Орехово-Волшебное,Калифорния,94595,1
724-08-9931,Стрингер,Дирк,415 843-2991,Телекс 5420 телеграф Авеню,Окленд,Калифорния,94609,0
722-51-5454,Дефранс,Мишель,219 547-9982,3 Балдинг Плейс,Гарри,В,46403,1
267-41-2394,О’Лири,Майкл,408 286-2428,22 Cleveand Av. #14,Сан-Хосе,Калифорния,95128,1
