emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
HAN90777M,Гелветиус,A,Нагы /think,7,120,9999,1993-03-19 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
MAS70474F,Маргарет,A,Смит,9,78,1389,1988-09-29
PCM98509F,Патриция,C,Макенна,11,150,9999,1989-08-01 00:00:00
LAL21447M,Лоуренс,A,Лебихан,5,175,736,1990-06-03 00:00:00
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
A-C71970F,Ария,,Круз,10,87,1389,1991-10-26 00:00:00
DWR65030M,Диего,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести, и укажите язык, на который нужно выполнить перевод.",Роэль,6,192,1389,1991-12-16 00:00:00
PDI47470M,Палле,"Добро пожаловать в «Країну чудес»! Это место, где все возможно и где фантазия правит бал. Готовы отправиться в путешествие по удивительному миру «Алисы в Стране чудес»?",Ибсен,7,195,736,1993-05-09 00:00:00
VPA30890F,Виктория,П,Ашворт,6,140,877,1990-09-13 00:00:00
ARD36773F,Анелая,r,Домингуш,8,100,877,1993-01-27 00:00:00
PSP68661F,Паула,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Парент,8,125,1389,1994-01-19 00:00:00
MAP77183M,Мигель,A,Паоло,11,112,1389,1992-12-07 00:00:00
MJP25939M,Мэри,Добро пожаловать в наш чат-бот сервис! Мы поможем вам перевести ваш текст с английского на русский язык профессионально и точно. Просто введите ваш текст здесь и мы начнём работу над переводом. Желаем приятного общения с нами!,Понтес,5,246,1756,1989-03-01 00:00:00
AMD15433F,Анна,"Да, конечно! Я всегда рад помочь. Как я могу вам сегодня помочь?",Дэвон,3,200,9952,1991-07-15
CFH28514M,Карлоса,"Добро пожаловать в Киберион! Я ваш верный помощник, готовый помочь с любыми задачами, связанными с переводом текста с английского на русский язык и наоборот. Пожалуйста, предоставьте текст для перевода, и я сделаю это для вас.",Эрнандес,5,211,9999,1989-04-21
H-B39728F,Хелен,,Беннетт,12,35,877,1989-09-21 00:00:00
Y-L77953M,Йоси,,Латтимер,12,32,1389,1989-06-11 00:00:00
POK93028M,Пиркко,О,Коскитало,10,80,9999,1993-11-29 00:00:00
SKO22412M,Свен,"Конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который Вы хотите перевести, и я предоставлю Вам точный и плавный перевод на русский язык.",Оттлеб,5,150,1389,1991-04-05 00:00:00
RBM23061F,Рита,B,Мюллер,5,198,1622,1993-10-09 00:00:00
KFJ64308F,Карин,"Добро пожаловать в Киберион! Я ваш верный помощник, готовый помочь с любыми задачами, связанными с переводом текста с английского на русский язык и наоборот. Пожалуйста, предоставьте текст для перевода, и я сделаю это для вас.",Иоасф,14,100,736,1992-10-17 00:00:00
M-R38834F,Мартин,,Ранс,9,75,877,1992-02-05 00:00:00
JYL26161F,Джиннине,Да,Лабрун,5,172,9901,1991-05-26 00:00:00
ENL44273F,Элизабет,Н,Линкольн,14,35,877,1990-07-24 00:00:00
PSA89086M,Педро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Афонсо,14,89,1389,1990-12-24
MFS52347M,Мартин,"Добро пожаловать в Киберион! Я ваш верный помощник, готовый помочь с любыми задачами, связанными с переводом текста с английского на русский язык и наоборот. Пожалуйста, предоставьте текст для перевода, и я сделаю это для вас.",Лето,10,165,736,13.04.1990 г.
MGK44605M,Мати,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Картунен,6,220,736,1994-05-01 00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
HAS54740M,Ховард,A,Снидер,12,100,736,19 ноября 1988 года
PHF38899M,Питер,Добро пожаловать в Крабс! Наслаждайтесь вкусным едой и отличным обслуживанием.,Франкен,10,75,877,1992-05-17 00:00:00
