member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
59,Гохан,СDТПЕФЭА,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
137,Гохан,ХВГМ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
791,Кахрманн,"Нажмите здесь, чтобы перейти на сайт.",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:42,8,,0.0,0.0,
1065,Еонг,FМNRXЕ,, , ,,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,4,,0.0,0.0,
1363,Кахрманн,"Чтобы перевести фразу ""TL;DR: LMJTFGOFEN"" на русский язык, необходимо заменить каждую букву в слове на соответствующую по порядку букву в русском алфавите. 

Таким образом, перевод будет следующим: ""ТЛД: ЛМЖТВФГОН"".",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:49,7,,0.0,0.0,
1535,Андерсон,BP QB WNNPG SCN R,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:52,2,,0.0,0.0,
1946,ВАНН,ВТНФН,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:57,5,,0.0,0.0,
2054,Цукер,БМО,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:58,8,302.0,0.0,0.0,
3508,Хавьер,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",, , ,,,,,,13.10.1999 г. 10:42,2000-10-12 10:42:16,8,,0.0,0.0,
3891,Квинт,ВЖУХФПДВХПЗ,, , ,,,,,,"13.10.1999 г., 10:42",2000-10-12 10:42:21,5,,0.0,0.0,
4136,BARР,РНЯ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,5,,0.0,0.0,
4486,Нельсон,УОХФСРЕПМВФ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,7,,0.0,0.0,
4958,Рयन,IPФЛФАНЛТЗР,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,2,,0.0,0.0,
5138,Пэйнтер,БСМ,, , ,,,,,,"13.10.1999 г., 10:42",12.10.2000 10:42,4,,0.0,0.0,
5267,ОЛФАНТ,XKQIZJVS,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,3,,0.0,0.0,
5873,Волфмюль,IXQBLPALXGYQFN,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:46,2,,0.0,0.0,
5941,Макай,Бефексджчс,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:46,9,,0.0,0.0,
5999,Штайн,"Пожалуйста, предоставьте текст для перевода.",, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,3,,0.0,0.0,
6742,ХАНН,ШПИОНСКОЕ СОБЫТЬЕ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,8,,0.0,0.0,
7055,Инфанет,Микcсгрхппддж,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,4,,0.0,0.0,
7497,Инфанет,ПНГОКС,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,4,471.0,0.0,0.0,
7743,Наклет,КИХХХХБЮ,, , ,,,,,,13.10.1999 10:43,2000-10-12 10:43:09,7,,0.0,0.0,
7798,Хавьер,EBIRCJFNKVNXXC,, , ,,,,,,13.10.1999 10:43,2000-10-12 10:43:09,5,,0.0,0.0,
8160,ВАНН,НЕТ ТЕКСТА ДЛЯ ВЕРТОКА,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,8,199.0,0.0,0.0,
8431,Гохан,Никакой дополнительной информации не предоставляется.,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,8,,0.0,0.0,
8457,Гохан,Квадерникс,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,5,,0.0,0.0,
8467,Квинт,WRJ,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,9,,0.0,0.0,
8639,Гохан,Пексолпг,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,4,,0.0,0.0,
8739,Чэнь,XГПКXVOBVB,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,4,,0.0,0.0,
9282,Цукер,ВЖКШВШДГХЧХВХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,4,425.0,0.0,0.0,
9413,Андерсон,ВУЗРПФКЗЧХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,13.10.1999 10:43,2000-10-12 10:43:30,2,423.0,0.0,0.0,
