franchid,franchname,active,naassoc
TBD,Tampa Bay Rays,Y,
LOU,Louisville Colonels,N,
CFC,Cleveland Forest Citys,NA,
FLA,Florida Marlins,Y,
TRT,Troy Trojans,N,
OAK,Oakland Athletics,Y,
CLE,Cleveland Indians,Y,
STL,St. Louis Cardinals,Y,
WAS,Washington Senators,N,
SNA,St. Louis Brown Stockings,NA,SBS
COR,Cincinnati Outlaw Reds,N,
HNA,Hartford Dark Blues,NA,HAR
PIT,Pittsburgh Pirates,Y,
STP,St. Paul Apostles,N,
ROC,Rochester Broncos,N,
NNA,New York Mutuals,NA,NYU
KEK,Fort Wayne Kekiongas,NA,
BLC,Baltimore Canaries,NA,
MLA,Milwaukee Brewers,N,
ECK,Brooklyn Eckfords,NA,
BNA,Boston Red Stockings,NA,ATL
BRS,Boston Reds,N,
SYS,Syracuse Stars,N,
CLV,Cleveland Spiders,N,
PHQ,Philadelphia Athletics,N,
CIN,Cincinnati Reds,Y,
ANA,Los Angeles Angels of Anaheim,Y,
WNT,Washington Nationals,NA,
TLM,Toledo Maumees,N,
LGR,Louisville Grays,N,
NEW,Newark Pepper,N,
PHA,Philadelphia Athletics,N,
CHH,Chicago Whales,N,
RIC,Richmond Virginians,N,
WOR,Worcester Ruby Legs,N,
TRO,Troy Haymakers,NA,
PWS,Philadelphia White Stockings,NA,
NYY,New York Yankees,Y,
NHV,New Haven Elm Citys,NA,
BRA,Brooklyn Atlantics,NA,
BRD,Boston Reds,N,
ATL,Atlanta Braves,Y,BNA
MAN,Middletown Mansfields,NA,
BFB,Buffalo Bisons,N,
DET,Detroit Tigers,Y,
NYU,New York Mutuals,N,NNA
BWW,Brooklyn Ward's Wonders,N,
TOR,Toronto Blue Jays,Y,
WBL,Washington Blue Legs,NA,
KCU,Kansas City Cowboys,N,
WST,Washington Statesmen,N,
NYP,New York Metropolitans,N,
KCR,Kansas City Royals,Y,
CHC,Chicago Cubs,Y,CNA
CNA,Chicago White Stockings,NA,CHC
PBS,Pittsburgh Rebels,N,
BRG,Brooklyn Gladiators,N,
TOL,Toledo Blue Stockings,N,
RES,Elizabeth Resolutes,NA,
CNR,Cincinnati Reds,N,
WSN,Washington Nationals,Y,
BLU,Baltimore Monumentals,N,
WIL,Wilmington Quicksteps,N,
DTN,Detroit Wolverines,N,
KCC,Kansas City Cowboys,N,
IHO,Indianapolis Hoosiers,N,
TEX,Texas Rangers,Y,
SLM,St. Louis Maroons,N,
NAT,Washington Nationals,NA,
KCP,Kansas City Packers,N,
WNA,Washington Nationals,N,
BAL,Baltimore Orioles,Y,
MAR,Baltimore Marylands,NA,
BLT,Baltimore Terrapins,N,
COL,Colorado Rockies,Y,
ATH,Philadelphia Athletics,N,PNA
PBB,Pittsburgh Burghers,N,
BUF,Buffalo Bisons,N,
BFL,Buffalo Bisons,N,
ARI,Arizona Diamondbacks,Y,
CHP,Chicago Pirates,N,
PRO,Providence Grays,N,
CLS,Columbus Solons,N,
SDP,San Diego Padres,Y,
CLI,Cleveland Infants,N,
WES,Keokuk Westerns,NA,
MIN,Minnesota Twins,Y,
CKK,Cincinnati Kelly's Killers,N,
NYM,New York Mets,Y,
ALT,Altoona Mountain City,N,
IND,Indianapolis Hoosiers,N,
PHK,Philadelphia Keystones,N,
CHW,Chicago White Sox,Y,
SFG,San Francisco Giants,Y,
SLI,St. Louis Terriers,N,
BOS,Boston Red Sox,Y,
ROK,Rockford Forest Citys,NA,
LAD,Los Angeles Dodgers,Y,
