au_id,au_lname,au_fname,phone,address,city,state,zip,contract
267-41-2394,О'Лири,Майкл,408 286-2428,22 Авену Кливленда № 14,Сан-Хосе,Калифорния,95128,1
472-27-2349,Гринджбери,Берт,707 938-6445,ПО-бокс 792,Ковело,Калифорния,95428,1
672-71-3249,Ёкомото,Акико,415 935-4228,3 Серебренный пер.,Ореховый ручей,Калифорния,94595,1
172-32-1176,Белый,Джонсон,408 496-7223,"Бигг-Роуд, 10932",Менло-Парк,Калифорния,94025,1
341-22-1782,Смит,Бродить,913 843-0462,Улица Десятой Миссисипи,Лоуренс,КС,66044,0
527-72-3246,Грин,Морроз,615 297-2723,22 Грейбар Хаус Роуд.,Нэшвилл,ТН,37215,0
648-92-1872,Блотеч-Холлз,Регинальд,503 745-6402,"Бл. Хиллсдейл, 55",Корваллис,О'Р,97330,1
998-72-3567,Звонок,Альберт,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
722-51-5454,Дефренс,Мишель,219 547-9982,3 Бальдинг Плейс,Гарри,В,46403,1
409-56-7008,Беннет,Авраам,415 658-9932,6223 Батемейн-стрит,Беркли,Калифорния,94705,1
427-17-2319,Тускло,Анна,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
213-46-8915,Зелёный,Марджори,415 986-7020,309 63-я Ст. 411,Окленд,Калифорния,94618,1
899-46-2035,Звонок,Анна,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
846-92-7186,Хантер,Шерил,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграф-авеню,Окленд,Калифорния,94609,0
893-72-1158,Макбеден,Хезер,707 448-4982,Путанам 301,Вакавилл,Калифорния,95688,0
712-45-1867,дель Кастильо,Иннес,615 996-8275,"2286 Крам-плейс, №86",Анн-Арбор,МИ,48105,1
274-80-9391,Прямо,Дэн,415 834-2919,5420 Colegio Avenue,Окленд,Калифорния,94609,1
756-30-7391,Карсен,Ливия,415 534-9219,5720 улица Мак-Оули,Окленд,Калифорния,94609,1
238-95-7766,Кэрсон,Чэрл,415 548-7723,"Улица Дарвина, 589",Беркли,Калифорния,94705,1
486-29-1786,Локсли,Шарлен,415 585-4620,Аvenue 18 Бродвэя,Сан-Франциско,Калифорния,94130,1
724-80-9391,МакФеттерн,Стернс,415 354-7128,44 Уpland Хтс.,Окленд,Калифорния,94612,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956 год",Роквилл,MD - медицинская документация,20853,1
