emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
PMA42628M,Па́оло,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Аккорти,13,35,877,1992-08-27 00:00:00
AMD15433F,Анна,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Дэвин,3,200,9952,16.07.1991 г.
GHT50241M,Гарри,"Добрый день! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Томас,9,170,736,1988-08-09 00:00:00
PXH22250M,Пау́л,X,Энрио,5,159,877,1993-08-19 00:00:00
PSP68661F,Паула,"Здравствуйте! Я — искусственный интеллект, созданный для того, чтобы помогать людям в переводе текстов с английского на русский язык и обратно. Как я могу вам помочь?",Паранте,8,125,1389,1994-01-19 00:00:00
MJP25939M,Мэри,Вам нужен перевод?,Понтес,5,246,1756,1989-03-01 00:00:00
PHF38899M,Питер,"Добрый день! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Франкен,10,75,877,1992-05-17 00:00:00
A-R89858F,Аннетт,,Рулет,6,152,9999,1990-02-21 00:00:00
L-B31947F,Лесли,,Бурый,7,120,877,1991-02-13 00:00:00
MMS49649F,Мэри,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Сэйли,8,175,736,1993-06-29 00:00:00
CGS88322F,Карин,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шмитт,13,64,1389,1992-07-07 00:00:00
MAS70474F,Маргарет,А,Смит,9,78,1389,1988-09-29T00:00:00
ENL44273F,Елизавета,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Линкольн,14,35,877,1990-07-24
HAN90777M,Гелветий,А,Нагай,7,120,9999,1993-03-19
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
RBM23061F,Рита,Б,Мюллер,5,198,1622,1993-10-09 00:00:00
M-R38834F,Мартин,,Ранс,9,75,877,1992-02-05 00:00:00
LAL21447M,Лоренс,А,Лебихан,5,175,736,1990-06-03 00:00:00
MGK44605M,Матти,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Карттунен,6,220,736,1994-05-01 00:00:00
TPO55093M,Тимоти,П,О'Рурк,13,100,736,1988-06-19
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
KJJ92907F,Карла,Вам нужен перевод?,Яблоковский,9,170,9999,1994-03-11 00:00:00
H-B39728F,Елен,,Бэннет,12,35,877,1989-09-21 00:00:00
DWR65030M,Диего,"Добро пожаловать в чат-бота переводчик Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Роел,6,192,1389,1991-12-16 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
MFS52347M,Мартин,Ф,Лето,10,165,736,1990-04-13 00:00:00
PTC11962M,Филип,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Крамер,2,215,9952,1989-11-11 00:00:00
SKO22412M,Свен,"Здравствуйте! Я - профессиональный переводчик. Я могу помочь вам с переводом с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Оттлеб,5,150,1389,1991-04-05 00:00:00
PCM98509F,Патриция,К,Маккенна,11,150,9999,1989-08-01 00:00:00
JYL26161F,Джинне,Да,Лабруне,5,172,9901,1991-05-26 00:00:00
CFH28514M,Карлос,Ф,Хернандес,5,211,9999,1989-04-21 00:00:00
KFJ64308F,Карин,Ф,Ио́сифы,14,100,736,1992-10-17 00:00:00
ARD36773F,Анебела,Р,Домингуш,8,100,877,1993-01-27 00:00:00
Y-L77953M,Йоши,,Латимер,12,32,1389,11.06.1989 г.
POK93028M,Пиркко,О,Коскитало,10,80,9999,1993-11-29 00:00:00
DBT39435M,Даниэль,Б,Тонини,11,75,877,1990-01-01
PDI47470M,Пале,Д,Ибсен,7,195,736,1993-05-09 00:00:00
MAP77183M,Мигель,А,Паolino,11,112,1389,1992-12-07 00:00:00
A-C71970F,Ария,,Круз,10,87,1389,1991-10-26 00:00:00
PSA89086M,Педро,"Здравствуйте! Я — искусственный интеллект, созданный для того, чтобы помогать людям в переводе текстов с английского на русский язык и обратно. Как я могу вам помочь?",Афонсо,14,89,1389,1990-12-24T00:00:00
HAS54740M,Ховард,А,Снидер,12,100,736,19 ноября 1988 года
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
VPA30890F,Виктория,П,Ашворт,6,140,877,13.09.1990 г. 00:00:00
