au_id,au_lname,au_fname,phone,address,city,state,zip,contract
846-92-7186,Хантер,Шерил,415 836-7128,"Улица Блонде, 3410",Пало-Альто,Калифорния,94301,1
486-29-1786,Локсли,Шарлен,415 585-4620,18 Бродвея,Сан-Франциско,Калифорния,94130,1
899-46-2035,Колокол,Анна,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
472-27-2349,Гринглзби,Бурт,707 938-6445,Почтовый ящик 792,Ковело,Калифорния,95428,1
213-46-8915,Зеленый,Марджори,415 986-7020,309 63-я улица #411,Оукленд,Калифорния,94618,1
756-30-7391,Карсен,Ливия,415 534-9219,ul. Мак-Коли 5720,Оукленд,Калифорния,94609,1
341-22-1782,Смит,Прогибать,913 843-0462,"Улица Миссисипи, 10",Лоуренс,КС,66044,0
724-08-9931,Стрингер,Дирк,415 843-2991,Аvenue Телеграф 5420,Оукленд,Калифорния,94609,0
238-95-7766,Карсон,Чэрлин,415 548-7723,589 Дарвин-лен.,Беркли,Калифорния,94705,1
267-41-2394,О'Лери,Майкл,408 286-2428,"22 Кливленд авеню, №14",Сан-Хосе,Калифорния,95128,1
893-72-1158,Макбаден,Хэйзер,707 448-4982,Пуемптон,Вакавилль,Калифорния,95688,0
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956",Роквилл,МД,20853,1
409-56-7008,Беннет,Абрахам,415 658-9932,6223 Батемэн-стрит,Беркли,Калифорния,94705,1
648-92-1872,Блотчет-Холлс,Регинальд,503 745-6402,Бл. 55 Хиллсдейл,Корваллис,О,97330,1
998-72-3567,Колокол,Альберт,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
672-71-3249,Ёкомото,Акико,415 935-4228,3 نقره́вная улица,Орехово-Яруное,Калифорния,94595,1
527-72-3246,Грин,Morningstar,615 297-2723,22 Грейбар Хаус Рд.,Нэшвилл,ТН,37215,0
712-45-1867,дель Кастильо,Иннес,615 996-8275,2286 Cram Pl. № 86,Анн-Арбор,МИ,48105,1
724-80-9391,МакФеттерн,Стернз,415 354-7128,44 Уленд-Хайтс.,Оукленд,Калифорния,94612,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Биггз Роуд.,Менло-Парк,Калифорния,94025,1
274-80-9391,Прямая,Дэн,415 834-2919,5420 Колледж-авеню,Оукленд,Калифорния,94609,1
427-17-2319,Уныло,Анн,415 836-7128,"Улица Блонде, 3410",Пало-Альто,Калифорния,94301,1
722-51-5454,Дефранс,Михаил,219 547-9982,3 Балдинг Пл.,Гарри,В,46403,1
