address_id,address,address2,district,city_id,postal_code,phone,last_update
5,"Вьентьянская дорога, 1913",,Нагоя,463,35200,28303384290,2006-02-15 03:45:30
19,419 Илиган Лейн,,Мадхья-Прадеш,76,72878,990911107354,2006-02-15 03:45:30
43,"Плаца Антофагаста, 306",,Дух Святой,569,3989,378318851631,2006-02-15 03:45:30
57,Бульвар Кабула 17,,Чиба,355,38594,697760867968,2006-02-15 03:45:30
59,Куаунтоу и Новая Кваунтоу,,Москва,49,57807,499352017190,2006-02-15 03:45:30
62,улица Лиепаи 1114,,Саравак,282,69226,212869228936,2006-02-15 03:45:30
67,1214 Ханойская дорога,,Небраска,306,67055,491001136577,2006-02-15 03:45:30
72,"Арлингтон Манор, 57",,Мадхья-Прадеш,475,48960,990214419142,2006-02-15 03:45:30
74,"Буэнавентура-драйв, 1124",,Мекака,13,6856,407733804223,2006-02-15 03:45:30
77,"Бульвар Пау де Кладус, 1947",,Чайи,114,60951,427454485876,2006-02-15 03:45:30
83,586 Тэт-вей,,Канагава,256,1079,18581624103,2006-02-15 03:45:30
85,Путь Байин 320,,Маханганга,319,37307,223664661973,2006-02-15 03:45:30
94,"Чатсворт-драйв, 1952",,Гуанчжоу,332,25958,991562402283,2006-02-15 03:45:30
95,Аvenue Ле Мана 1370,,Бруней и Мерайя,53,52163,345679835036,2006-02-15 03:45:30
96,Аvenue 984 Эфун-Алайе,,Гоис,183,17119,132986892228,2006-02-15 03:45:30
97,832 Након Саван Манор,,Внутренняя Монголия,592,49021,275595571388,2006-02-15 03:45:30
101,"Плок Драйв, 1599",,Тет,534,71986,817248913162,2006-02-15 03:45:30
114,804 улица Эллиста,,Хубэй,159,61069,379804592943,2006-02-15 03:45:30
117,Бульвар Тель-Авив-Яффо 1079,,Сукре,132,10885,358178933857,2006-02-15 03:45:30
123,1987 Коакалько де Берриозоэль,,Калибия,476,96065,787654415858,2006-02-15 03:45:30
125,211 Чайи-драйв,,Утар-Прадеш,164,58186,665993880048,2006-02-15 03:45:30
133,"улица Тиели, 1854",,Шаньдун,302,15819,509492324775,2006-02-15 03:45:30
152,Пунный лейн 1952,,Сент-Дени,442,92150,354615066969,2006-02-15 03:45:30
153,Уличная adresa в Мосуле.,,Массачусетс,94,25545,885899703621,2006-02-15 03:45:30
165,97 Шимога-авеню,,Тель-Авив,533,44660,177167004331,2006-02-15 03:45:30
166,Лунный путь Леманса 1740,,Пэи де Ла Луара,297,22853,168476538960,2006-02-15 03:45:30
181,146 Джастис-Вэй,,Тамаулипас,330,54132,953689007081,2006-02-15 03:45:30
187,Парквей 1839 Скесфевр,,Гоис,317,55709,947468818183,2006-02-15 03:45:30
188,741 Амбатур Манор,,Северная Голландия,438,43310,302590383819,2006-02-15 03:45:30
190,435-й путь,,Западный Бенгал,195,74750,760171523969,2006-02-15 03:45:30
194,605 Рио-Кларо-Плаза,,Табора,513,49348,352469351088,2006-02-15 03:45:30
205,"Маньор ""68 Молодетно""",,Северный Рейн-Вестфалия,575,4662,146640639760,2006-02-15 03:45:30
210,Путь 1304 в Дордрехте,,Санта-Катарина,83,10925,90336226227,2006-02-15 03:45:30
211,850 Салала Лупп,,Китата,371,10800,403404780639,2006-02-15 03:45:30
240,"Бульвар Рустенбурга, 1479",,Южный Тагош,527,18727,727785483194,2006-02-15 03:45:30
248,Папеет-Луупа 582,,Центральный Висайс,294,27722,569868543137,2006-02-15 03:45:30
260,Бульвар Ивакуни 127,,Центральный Лусон,192,20777,987442542471,2006-02-15 03:45:30
273,"Илорин, 1519",,Керала,395,49298,357445645426,2006-02-15 03:45:30
274,920 Кумбаконам Луп,,Калифорния,446,75090,685010736240,2006-02-15 03:45:30
283,457 Тонглио Лоу,,Бурса,222,56254,880756161823,2006-02-15 03:45:30
300,661 улица Кишинёва,,Пиетари,274,8856,816436065431,2006-02-15 03:45:30
302,922 Вила-Велха-Луп,,Махараштра,9,4085,510737228015,2006-02-15 03:45:30
311,715 Со Бернауду де Кампу Лейн,,Кедах,507,84804,181179321332,2006-02-15 03:45:30
