au_id,au_lname,au_fname,phone,address,city,state,zip,contract
899-46-2035,Рингер,Анна,801 826-0752,67 Семьнадцатой авеню,Солт-Лейк-Сити,УТ,84152,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграф авеню,Оукленд,Калифорния,94609,0
274-80-9391,Прямо,Дэн,415 834-2919,5420 Колледж Авеню,Оукленд,Калифорния,94609,1
648-92-1872,Блотчет-Холс,Регинальд,503 745-6402,"Бл. Хиллсдейл, 55",Корваллис,О'райс,97330,1
267-41-2394,О'Лери,Майкл,408 286-2428,22 Cleveland Ав. #14,Сан-Хосе,Калифорния,95128,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,"улица Крам 2286, дом 86",Анн-Арбор,МИ,48105,1
486-29-1786,Локсли,Шарлен,415 585-4620,18 Бродвей Ав.,Сан-Франциско,Калифорния,94130,1
213-46-8915,Зелёный,Марджори,415 986-7020,309 63-й улица 411,Оукленд,Калифорния,94618,1
472-27-2349,Гринглзби,Берт,707 938-6445,ПО-бокс 792,Ковело,Калифорния,95428,1
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-лайн.,Беркли,Калифорния,94705,1
756-30-7391,Карсен,Ливия,415 534-9219,"улица Мак-Оуэтла, 5720",Оукленд,Калифорния,94609,1
846-92-7186,Хантер,Шерил,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
341-22-1782,Смит,Извилиста,913 843-0462,Улица Десятой Миссисипи,Лоуренс,КС,66044,0
427-17-2319,Унылый,Анна,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956",Роквилл,МД,20853,1
724-80-9391,МакФеттер,Стеарнс,415 354-7128,44 Уплэнд-Хайтс,Оукленд,Калифорния,94612,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Сиверская Стр.,Ореховый ручей,Калифорния,94595,1
527-72-3246,Греен,Морнингстар,615 297-2723,22 Грейбар Хаус Роуд.,Нэшвилл,ТН,37215,0
998-72-3567,Рингер,Альберт,801 826-0752,67 Семьнадцатой авеню,Солт-Лейк-Сити,УТ,84152,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Биггс-роуд.,Менло-Парк,Калифорния,94025,1
409-56-7008,Беннет,Авраам,415 658-9932,Улица Батемана 6223,Беркли,Калифорния,94705,1
722-51-5454,Дефренс,Мишель,219 547-9982,3 Бальдинг Плейс,Гэри,В,46403,1
893-72-1158,Макбэден,Хейер,707 448-4982,Пьюрим Путнам,Вакевилл,Калифорния,95688,0
