emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
SKO22412M,Свен,К,О́ттовль,5,150,1389,1991-04-05 00:00:00
PSA89086M,Педро,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Афонсо,14,89,1389,1990-12-24T00:00:00
JYL26161F,Джинин,Нет,Лабрун,5,172,9901,1991-05-26 00:00:00
PDI47470M,Палле,Д,Ибсен,7,195,736,1993-05-09 00:00:00
HAN90777M,Гельветий,А,גדול,7,120,9999,1993-03-19 00:00:00
PXH22250M,Пол,Х,Генриот,5,159,877,1993-08-19 00:00:00
F-C16315M,Франциско,,Чанг,4,227,9952,1990-11-03 00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
MAP77183M,Мигель,А,Пауло,11,112,1389,1992-12-07 00:00:00
MAS70474F,Мэрил,А,Смит,9,78,1389,1988-09-29 00:00:00
VPA30890F,Виктория,П,Ашворт,6,140,877,13.09.1990 г. 00:00
Y-L77953M,Йоси,,Латимер,12,32,1389,1989-06-11 00:00:00
A-C71970F,Ария,,Кру́з,10,87,1389,1991-10-26 00:00:00
TPO55093M,Тимоти,П,О'Рурк,13,100,736,1988-06-19
MFS52347M,Мартин,"""F"" переводится с английского как ""Ф"".",Лето,10,165,736,1990-04-13 00:00:00
RBM23061F,Рита,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Мюллер,5,198,1622,1993-10-09 00:00:00
KJJ92907F,Карла,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Яблонский,9,170,9999,1994-03-11 00:00:00
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
KFJ64308F,Карин,"""F"" переводится с английского как ""Ф"".",Ио́сефы,14,100,736,1992-10-17 00:00:00
ENL44273F,Элизабет,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Линкольн,14,35,877,1990-07-24 00:00:00
CGS88322F,Карине,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шмитт,13,64,1389,1992-07-07 00:00:00
CFH28514M,Карлоса,"""F"" переводится с английского как ""Ф"".",Хернандес,5,211,9999,21.04.1989 г.
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
PCM98509F,Патриция,Ц,Макенна,11,150,9999,1989-08-01 00:00:00
ARD36773F,Анелабела,R,Домингуш,8,100,877,1993-01-27 00:00:00
L-B31947F,Лесли,,Борен,7,120,877,1991-02-13 00:00:00
M-R38834F,Мартин,,Ранс,9,75,877,1992-02-05 00:00:00
DBT39435M,Даниэль,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Тонини,11,75,877,1990-01-01 00:00:00
H-B39728F,Елена,,Бентон,12,35,877,1989-09-21 00:00:00
LAL21447M,Лоуренс,А,Лебиган,5,175,736,1990-06-03 00:00:00
