member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
322,JONES,GKGLNNLHHACWBI,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,6,,0.0,0.0,
430,NELSON,AJYZLLWKJP,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,6,492.0,0.0,0.0,
567,UNAKLET,EDCSTERLWEICMN,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,8,135.0,0.0,0.0,
717,OLPHANT,BVOLMYWEHO,, , ,,,,,,1999-10-13T10:41:41,2000-10-12T10:41:41,4,,0.0,0.0,
764,JONES,UHMOPWGUEIYCYV,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,4,,0.0,0.0,
851,STEIN,XNWQQHINTKQOF,, , ,,,,,,1999-10-13T10:41:43,2000-10-12T10:41:43,7,,0.0,0.0,
944,HAHN,SCDCFCOTB,, , ,,,,,,1999-10-13T10:41:44,2000-10-12T10:41:44,5,343.0,0.0,0.0,
1292,RYAN,FOSOVWOUXOXJMP,, , ,,,,,,1999-10-13T10:41:48,2000-10-12T10:41:48,4,,0.0,0.0,
1478,VANN,SOQGFBRIOEUDZ,, , ,,,,,,1999-10-13T10:41:51,2000-10-12T10:41:51,5,249.0,0.0,0.0,
1517,INFANTE,UMLHQIRMEJRK,, , ,,,,,,1999-10-13T10:41:51,2000-10-12T10:41:51,6,419.0,0.0,0.0,
1825,EFLIN,QKHMCKNAD,, , ,,,,,,1999-10-13T10:41:55,2000-10-12T10:41:55,2,,0.0,0.0,
1880,HAHN,EQSYRDRYAAZGVS,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,6,,0.0,0.0,
1886,NELSON,NNUBJBYTOFEDGP,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,6,450.0,0.0,0.0,
2107,ANDERSON,NSM,, , ,,,,,,1999-10-13T10:41:59,2000-10-12T10:41:59,5,,0.0,0.0,
2437,STEIN,WIZDVUDLQQQHLQ,, , ,,,,,,1999-10-13T10:42:03,2000-10-12T10:42:03,3,,0.0,0.0,
2536,NELSON,NTFNR,, , ,,,,,,1999-10-13T10:42:04,2000-10-12T10:42:04,6,,0.0,0.0,
2712,HAHN,MRAGUUXCJHROUK,, , ,,,,,,1999-10-13T10:42:06,2000-10-12T10:42:06,7,,0.0,0.0,
2772,PAYNTER,HURVWMFZHN,, , ,,,,,,1999-10-13T10:42:07,2000-10-12T10:42:07,6,,0.0,0.0,
2815,GOHAN,CLDQPFHXT,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,6,,0.0,0.0,
2965,ANDERSON,PXGJLLKIEDJEXY,, , ,,,,,,1999-10-13T10:42:10,2000-10-12T10:42:10,6,,0.0,0.0,
2966,BARR,YQMYMNWKZEZYPO,, , ,,,,,,1999-10-13T10:42:10,2000-10-12T10:42:10,9,,0.0,0.0,
2985,UNAKLET,JYORSAVJBKZ,, , ,,,,,,1999-10-13T10:42:10,2000-10-12T10:42:10,4,,0.0,0.0,
3105,KAHRMANN,ZCOPRQ,, , ,,,,,,1999-10-13T10:42:11,2000-10-12T10:42:11,3,,0.0,0.0,
3196,XAVIER,ZGKRWWEE,, , ,,,,,,1999-10-13T10:42:12,2000-10-12T10:42:12,6,,0.0,0.0,
3378,XAVIER,KRYICCCACON,, , ,,,,,,1999-10-13T10:42:15,2000-10-12T10:42:15,6,,0.0,0.0,
3477,STEIN,JMJUORPBHUDRYY,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,9,,0.0,0.0,
3739,UNAKLET,AQYREQLF,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,5,,0.0,0.0,
4061,EFLIN,VLYBPJONU,, , ,,,,,,1999-10-13T10:42:23,2000-10-12T10:42:23,5,,0.0,0.0,
4135,ANDERSON,NDTLEBAKBIWGSH,, , ,,,,,,1999-10-13T10:42:24,2000-10-12T10:42:24,8,,0.0,0.0,
4347,EFLIN,HJFKOGITRVM,, , ,,,,,,1999-10-13T10:42:27,2000-10-12T10:42:27,3,,0.0,0.0,
4459,MAKAI,QZCJKATPRJVO,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,3,,0.0,0.0,
4812,BARR,RIEIORSTTQC,, , ,,,,,,1999-10-13T10:42:33,2000-10-12T10:42:33,3,484.0,0.0,0.0,
