emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
RBM23061F,Рита,B,Мюллер,5,198,1622,1993-10-0900:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-0900:00:00
CGS88322F,Кэрин,G,Шмитт,13,64,1389,1992-07-070000:00
PTC11962M,Филипп,Т,Креймер,2,215,9952,1989 - 11 ч. 00 м. -- 11 ч. 00 м.
MJP25939M,Мария,J,Позиции,5,246,1756,1989-03-01T00:00:00
CFH28514M,Карлос,F,Эрнадез,5,211,9999,1989-04-21T00:00:00
PDI47470M,Пэлли,D,Ибсен,7,195,736,1993-05-0900:00:00
MAS70474F,Маргарет,A,Смит,9,78,1389,1988-09-29-T00:00:00
POK93028M,Пиркко,O,Коскитало,10,80,9999,1993 - 11 - 29 ч. 00 м.
ARD36773F,Анабела,Р,Доминги,8,100,877,1993-01-27T00:00:00
M-R38834F,Мартина,,Рэнс,9,75,877,1992-02-05T00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05T00:00:00
AMD15433F,Энн,М,Девон,3,200,9952,1991-07-1600:00:00
HAN90777M,Гельветий,A,Надьяма,7,120,9999,1993-03-1900:00:00
PCM98509F,Патриция,C,МакКенна,11,150,9999,1989-08-01T00:00:00
PXH22250M,Пол,X,Генриот,5,159,877,1993 - 2008 - 19 ч. 00 м.
A-R89858F,Аннетт,,Руле,6,152,9999,1990-02-21T00:00:00
M-L67958F,Мария,,Ларссон,7,135,1389,1992-03-27-T00:00:00
PSP68661F,Паула,И,Родитель,8,125,1389,1994 - 01 - 19 ч. 00 м.
L-B31947F,Лесли,,Коричневый,7,120,877,1991-02-13-T00:00:00
H-B39728F,Хелен,,Беннетт,12,35,877,1989-09-21T00:00:00
A-C71970F,Ария,,Круз,10,87,1389,1991 - 26 ч. 00 м. -- 00 ч. 00 м.
F-C16315M,Франциско,,Чан,4,227,9952,1990-11-03T00:00:00
MFS52347M,Мартин,F,Соммер,10,165,736,1990-04-1300:00:00
KJJ92907F,Карла,J,Яблонски,9,170,9999,1994-03-1100:00:00
LAL21447M,Лоренс,A,Лебихан,5,175,736,1990-06-03T00:00:00
JYL26161F,Джанин,Y,Лабрун,5,172,9901,1991-05-26-T00:00:00
SKO22412M,Свен,К,Отлиб,5,150,1389,1991-04-05T00:00:00
Y-L77953M,Йоши,,Латимер,12,32,1389,1989-06-1100:00:00
PSA89086M,Педро,И,Афонсо,14,89,1389,1990 - 12 - 24 ч. 00 м.
TPO55093M,Тимоти,Р,О'Рурке,13,100,736,1988-06-1900:00:00
MMS49649F,Мэри,М,Сэйвли,8,175,736,1993-06-29-T00:00:00
VPA30890F,Виктория,Р,Эшворт,6,140,877,1990-09-1300:00:00
PMA42628M,Паоло,М,Аккорти,13,35,877,1992-08-27-T00:00:00
MAP77183M,Мигель,A,Паолино,11,112,1389,1992-12-070000:00
ENL44273F,Элизабет,Н,Линкольн,14,35,877,1990-07-240000:00
DWR65030M,Диего,W,Руль,6,192,1389,1991 - 12 - 16 ч. 00 м.
PHF38899M,Питер,Н,Франкен,10,75,877,1992-05-17T00:00:00
HAS54740M,Говард,A,Снайдер,12,100,736,1988 - 11 - 19 ч. 00 м.
MGK44605M,Матти,G,Карттунен,6,220,736,1994-05-01T00:00:00
GHT50241M,Гэри,Н,Томас,9,170,736,1988-08-0900:00:00
DBT39435M,Дэниел,B,Тонини,11,75,877,1990-01-01T00:00:00
KFJ64308F,Карин,F,Иосифы,14,100,736,1992 - 10 - 17 ч. 00 м.
