member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
91,MAKAI,YCLYIMXFJGWLSX,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,7,,0.0,0.0,
114,JONES,HHFSEQZLA,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,7,,0.0,0.0,
140,JONES,KUNOPHKWYVFCNE,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,3,,0.0,0.0,
150,TOLSKY,ELPDJXMEVLJZKJ,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,8,,0.0,0.0,
313,ANDERSON,HVQZZHR,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,6,,0.0,0.0,
401,KAHRMANN,NVMVEUIUOPXW,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,2,319.0,0.0,0.0,
424,HAHN,XGHJCSCYVBSFIF,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,3,,0.0,0.0,
456,NELSON,LNYELU,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,3,,0.0,0.0,
462,TOLSKY,RGYGOSROFVX,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,4,,0.0,0.0,
480,LING,IRSIUIFSMLUROY,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,4,,0.0,0.0,
500,FLORINI,NZXHFWBRZOVVDS,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,2,,0.0,0.0,
515,UNAKLET,WLRGQIAKOENRYZ,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,2,,0.0,0.0,
538,RYAN,KEJC,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,8,,0.0,0.0,
556,JONES,MHTCDXJSRGQMGA,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,5,,0.0,0.0,
578,FLORINI,NAEUXZQM,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,5,,0.0,0.0,
652,BARR,VOSL,, , ,,,,,,1999-10-13T10:41:40,2000-10-12T10:41:40,8,370.0,0.0,0.0,
673,WOLFMULE,IDYXXLXXFMCSEM,, , ,,,,,,1999-10-13T10:41:40,2000-10-12T10:41:40,9,188.0,0.0,0.0,
699,WOLFMULE,FFTKMDNITR,, , ,,,,,,1999-10-13T10:41:41,2000-10-12T10:41:41,4,,0.0,0.0,
797,QUINT,UITFTRIIMCJBM,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,9,,0.0,0.0,
804,XAVIER,IWMGNINPDVALAL,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,2,,0.0,0.0,
815,INFANTE,XNFOUXPOWW,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,4,,0.0,0.0,
876,RYAN,RUXHSY,, , ,,,,,,1999-10-13T10:41:43,2000-10-12T10:41:43,5,,0.0,0.0,
987,YEONG,LRGJMOMRIJTHDL,, , ,,,,,,1999-10-13T10:41:45,2000-10-12T10:41:45,3,,0.0,0.0,
1059,STEIN,WFYPHIBQZYSCXX,, , ,,,,,,1999-10-13T10:41:45,2000-10-12T10:41:45,7,,0.0,0.0,
1172,BARR,NIJRRLGGMEVG,, , ,,,,,,1999-10-13T10:41:47,2000-10-12T10:41:47,5,,0.0,0.0,
1275,ANDERSON,CJETHXULBNGVQE,, , ,,,,,,1999-10-13T10:41:48,2000-10-12T10:41:48,4,,0.0,0.0,
1287,MAKAI,UZFV,, , ,,,,,,1999-10-13T10:41:48,2000-10-12T10:41:48,9,254.0,0.0,0.0,
1309,INFANTE,JYNQQMYFSR,, , ,,,,,,1999-10-13T10:41:49,2000-10-12T10:41:49,6,,0.0,0.0,
1316,PAYNTER,OLROZ,, , ,,,,,,1999-10-13T10:41:49,2000-10-12T10:41:49,5,164.0,0.0,0.0,
1355,CHEN,PMTFLOVAHLUJUL,, , ,,,,,,1999-10-13T10:41:49,2000-10-12T10:41:49,2,425.0,0.0,0.0,
1435,EFLIN,KTODOPWOPEDBBN,, , ,,,,,,1999-10-13T10:41:50,2000-10-12T10:41:50,9,,0.0,0.0,
1497,OLPHANT,MYMWSHGDFVHZMX,, , ,,,,,,1999-10-13T10:41:51,2000-10-12T10:41:51,2,,0.0,0.0,
1542,HAHN,EFZWDGYCN,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,7,,0.0,0.0,
1573,MAKAI,VYKBWZYBYBOMLQ,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,4,,0.0,0.0,
1586,ZUCKER,EDFYVTWKH,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,4,435.0,0.0,0.0,
1601,OLPHANT,XOCXAQPRE,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,4,,0.0,0.0,
1607,UNAKLET,SYUUYPOWLH,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,4,,0.0,0.0,
1611,YEONG,MQIERRRCOZNNGV,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,3,,0.0,0.0,
1663,YEONG,ZBCBGRQ,, , ,,,,,,1999-10-13T10:41:53,2000-10-12T10:41:53,2,,0.0,0.0,
1749,GOHAN,FSAOOMBYJFDGLP,, , ,,,,,,1999-10-13T10:41:54,2000-10-12T10:41:54,4,,0.0,0.0,
1877,EFLIN,IOB,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,3,,0.0,0.0,
1912,NELSON,WOPQKWJJ,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,3,,0.0,0.0,
1944,TOLSKY,WVYNFHNQVKODVW,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,3,287.0,0.0,0.0,
1979,CHEN,WQDTCBJMUCQRY,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,4,,0.0,0.0,
2008,FLORINI,CBGBUFBOTM,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,2,,0.0,0.0,
2029,ANDERSON,HHPDLHUPAUKQN,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,7,,0.0,0.0,
2038,JONES,VZKCMFM,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,2,,0.0,0.0,
2043,OLPHANT,DYYUVYHDSINQ,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,9,306.0,0.0,0.0,
2101,UNAKLET,MVE,, , ,,,,,,1999-10-13T10:41:59,2000-10-12T10:41:59,8,,0.0,0.0,
2128,VANN,FHVQCKTCBZVJSX,, , ,,,,,,1999-10-13T10:41:59,2000-10-12T10:41:59,7,,0.0,0.0,
2142,JONES,VPCFOLOTS,, , ,,,,,,1999-10-13T10:41:59,2000-10-12T10:41:59,6,,0.0,0.0,
2173,OLPHANT,FGXILTKCSRSIQU,, , ,,,,,,1999-10-13T10:42:00,2000-10-12T10:42:00,8,,0.0,0.0,
2304,PAYNTER,BYUBBYWTRKHEHJ,, , ,,,,,,1999-10-13T10:42:01,2000-10-12T10:42:01,3,,0.0,0.0,
2308,TOLSKY,FJG,, , ,,,,,,1999-10-13T10:42:01,2000-10-12T10:42:01,3,,0.0,0.0,
2432,NELSON,VDOFIPBUVDWAXY,, , ,,,,,,1999-10-13T10:42:03,2000-10-12T10:42:03,8,,0.0,0.0,
2513,QUINT,QHLWT,, , ,,,,,,1999-10-13T10:42:04,2000-10-12T10:42:04,2,,0.0,0.0,
2524,BARR,ZTFHNRREXIKQCX,, , ,,,,,,1999-10-13T10:42:04,2000-10-12T10:42:04,9,,0.0,0.0,
2631,EFLIN,GHXUEZ,, , ,,,,,,1999-10-13T10:42:05,2000-10-12T10:42:05,9,,0.0,0.0,
2680,BARR,NICCCE,, , ,,,,,,1999-10-13T10:42:06,2000-10-12T10:42:06,5,,0.0,0.0,
2730,ZUCKER,NGQISKNDGFKC,, , ,,,,,,1999-10-13T10:42:07,2000-10-12T10:42:07,5,363.0,0.0,0.0,
2760,DORR,NFIWJGBXVNSC,, , ,,,,,,1999-10-13T10:42:07,2000-10-12T10:42:07,5,,0.0,0.0,
2765,INFANTE,SLOSKUHJUHOEBI,, , ,,,,,,1999-10-13T10:42:07,2000-10-12T10:42:07,4,,0.0,0.0,
2832,XAVIER,XTOVJJRQFJZRDO,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,9,,0.0,0.0,
2868,HAHN,VSOXFESQYPL,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,7,,0.0,0.0,
2915,CHEN,WYRTEUVZGDWHGJ,, , ,,,,,,1999-10-13T10:42:09,2000-10-12T10:42:09,8,,0.0,0.0,
2925,MAKAI,WTLKKDBIRKSBNM,, , ,,,,,,1999-10-13T10:42:09,2000-10-12T10:42:09,3,,0.0,0.0,
2934,VANN,XPWUNDOUTVPKAH,, , ,,,,,,1999-10-13T10:42:09,2000-10-12T10:42:09,8,,0.0,0.0,
3037,UNAKLET,KGRNRSZKUKTETW,, , ,,,,,,1999-10-13T10:42:10,2000-10-12T10:42:10,6,,0.0,0.0,
3047,EFLIN,EWHISXYY,, , ,,,,,,1999-10-13T10:42:11,2000-10-12T10:42:11,8,,0.0,0.0,
3066,XAVIER,KVDVGMOSELZRIK,, , ,,,,,,1999-10-13T10:42:11,2000-10-12T10:42:11,5,,0.0,0.0,
3114,TOLSKY,TRMMCDXSTILKTI,, , ,,,,,,1999-10-13T10:42:11,2000-10-12T10:42:11,3,,0.0,0.0,
3185,MAKAI,KPZCG,, , ,,,,,,1999-10-13T10:42:12,2000-10-12T10:42:12,9,,0.0,0.0,
3207,INFANTE,HUM,, , ,,,,,,1999-10-13T10:42:13,2000-10-12T10:42:13,9,,0.0,0.0,
3235,KAHRMANN,WZERYSQYT,, , ,,,,,,1999-10-13T10:42:13,2000-10-12T10:42:13,4,,0.0,0.0,
3338,JONES,JTMQD,, , ,,,,,,1999-10-13T10:42:14,2000-10-12T10:42:14,7,,0.0,0.0,
3362,HAHN,LAQIAIRNODBXQT,, , ,,,,,,1999-10-13T10:42:15,2000-10-12T10:42:15,9,,0.0,0.0,
3437,EFLIN,TSGS,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,9,,0.0,0.0,
3438,FLORINI,CRECCLTGGQWSS,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,4,,0.0,0.0,
3442,JONES,ZBDNYKUFIFU,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,2,,0.0,0.0,
3482,XAVIER,QOOYNUVUJ,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,8,,0.0,0.0,
3510,ZUCKER,YODB,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,3,472.0,0.0,0.0,
3511,ANDERSON,GMHVIABB,, , ,,,,,,1999-10-13T10:42:17,2000-10-12T10:42:17,4,,0.0,0.0,
3581,STEIN,OERD,, , ,,,,,,1999-10-13T10:42:17,2000-10-12T10:42:17,8,357.0,0.0,0.0,
3606,RYAN,HNVTJQRNLEFTGN,, , ,,,,,,1999-10-13T10:42:18,2000-10-12T10:42:18,8,,0.0,0.0,
3653,MAKAI,VWAS,, , ,,,,,,1999-10-13T10:42:18,2000-10-12T10:42:18,2,,0.0,0.0,
3672,FLORINI,BBHURLQVQUTP,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,3,,0.0,0.0,
3720,BARR,OTNHJBUFCSXRG,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,4,,0.0,0.0,
3751,GOHAN,LUKNEEJSHXFNED,, , ,,,,,,1999-10-13T10:42:20,2000-10-12T10:42:20,7,,0.0,0.0,
3840,RYAN,YWJGXKRB,, , ,,,,,,1999-10-13T10:42:21,2000-10-12T10:42:21,3,327.0,0.0,0.0,
3844,VANN,ULFSEATZONXJTU,, , ,,,,,,1999-10-13T10:42:21,2000-10-12T10:42:21,4,,0.0,0.0,
3850,BARR,HMGRJCLGILMFDH,, , ,,,,,,1999-10-13T10:42:21,2000-10-12T10:42:21,6,,0.0,0.0,
3897,WOLFMULE,MSWIRDKFHKXOTE,, , ,,,,,,1999-10-13T10:42:21,2000-10-12T10:42:21,5,,0.0,0.0,
3991,MAKAI,QOZRPVHHJJNPIG,, , ,,,,,,1999-10-13T10:42:23,2000-10-12T10:42:23,4,,0.0,0.0,
4014,JONES,GCJJFTCBLJETYX,, , ,,,,,,1999-10-13T10:42:23,2000-10-12T10:42:23,4,,0.0,0.0,
4072,PAYNTER,BMQWFVWSZSCQYQ,, , ,,,,,,1999-10-13T10:42:24,2000-10-12T10:42:24,2,,0.0,0.0,
4078,VANN,DGVEUCRWB,, , ,,,,,,1999-10-13T10:42:24,2000-10-12T10:42:24,9,,0.0,0.0,
4088,FLORINI,QHUOTP,, , ,,,,,,1999-10-13T10:42:24,2000-10-12T10:42:24,6,,0.0,0.0,
4214,BARR,INONNCQ,, , ,,,,,,1999-10-13T10:42:25,2000-10-12T10:42:25,8,,0.0,0.0,
4236,XAVIER,NMJRYHUNWLDRPL,, , ,,,,,,1999-10-13T10:42:26,2000-10-12T10:42:26,5,,0.0,0.0,
4315,YEONG,IVIREMYWHQGNPI,, , ,,,,,,1999-10-13T10:42:27,2000-10-12T10:42:27,5,,0.0,0.0,
4414,TOLSKY,KMMYB,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,3,,0.0,0.0,
4424,DORR,OUOJMNYSIDWW,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,9,,0.0,0.0,
4439,STEIN,JMEVXGNLPFYCQY,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,8,,0.0,0.0,
