customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
GREAL,"Рынок продуктов "" Великие озера""",Ховард Снайдер,Менеджер по маркетингу,Буллвин. Бейкер 2732,Евгений,О'Р,97403,США,(503) 555-7555,
HUNGC,Жадный койот Импорт Магазин,Йоси Латимер,Продажи Представитель,"City Center Plaza, 516 Main St.",Эльгин,О'Р,97827,США,(503) 555-6874,(503) 555-2376
LAZYK,Лениный К Краарто Стёр,Джон Стил,Менеджер по маркетингу,12 Оркестровая аллея,Вала-Вала,ВА,99362,США,(509) 555-7969,(509) 555-6221
LETSS,Давайте стоп Н Шоп,Джейми Йоррес,Владелец,"87 Полк-стрит, офис 5",Сан-Франциско,Калифорния,94117,США,(415) 555-5938,
LONEP,Ресторан Лонли-Пайн,Фран Уилсон,Менеджер по продажам,89 Чиароскуро Роуд.,Портленд,О'Р,97219,США,(503) 555-9573,(503) 555-9646
OLDWO,Старинный мир деликатесов,Рене Филлипс,Продажи Представитель,2743 Беринг ст.,Анкоридж,АК,99508,США,(907) 555-7584,(907) 555-2880
RATTC,Ратсаснэл-канион Гроузи,Пола Уилсон,Помощник представителя по продажам,2817 Мильтон-драйв.,Альбукерке,НМ,87110,США,(505) 555-5939,(505) 555-3620
SAVEA,Рынки Сави Лот,Джозе Паваротти,Продажи Представитель,187Suffolk Лн.,Боис,ИД,83720,США,(208) 555-8097,
SPLIR,Сливовое пиво Сплит-Рейл,Арнольд Брауншвейгер,Менеджер по продажам,П.О. ящик 555,Ландер,ВY,82520,США,(307) 555-4680,(307) 555-6525
WHITC,Белый Клюв Маркетс,Карл Яблонский,Владелец,305 - 14-я авеню Ю. Суит 3Б,Сиэтл,ВА,98128,США,(206) 555-4112,(206) 555-4115
BLAUS,Блакитное озеро деликатесы,Анна Мосс,Продажи Представитель,"Форстерштрассе, 57",Манхайм,,68306,Германия,0621-08460,0621-08924
TORTU,Тортуга Ресторан,Мигель Ангел Паолино,Владелец,Авда. Азтекас 123,Мексико ДФ,,05033,Мексика,(5) 555-2933,
VINET,Вино и алкогольные напитки,Паль-Анри От,Бухгалтерский менеджер,59 улица Аббати,Реймс,,51100,Франция,26.47.15.10,26.47.15.11
TOMSP,Товары Тома,Карин Джозефс,Менеджер по маркетингу,"Луизенштрассе, 48",Мёнстер,,44087,Германия,0251-031259,0251-035695
TRADH,Radio гипермаркеты,Анебела Домингуш,Продажи Представитель,"Авеню Инс де Кастро, 414",Сан-Паулу,SP,05634-030,Бразилия,(11) 555-2167,(11) 555-2168
THECR,Крэк-бокс,Лью Вонг,Маркетинговый помощник,55 Грізли Пик Род,Бут,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",59801,США,(406) 555-5834,(406) 555-8083
GOURL,Гурман Лончонеты,Андроник Фонсека,Продавец-консультант,"Аvenue Бразилии, 442",Кампинас,SP,04876-786,Бразилия,(11) 555-9482,
GROSR,Гроселла-Ресторан,Мануэль Перес,Владелец,"Пять-я авеню, Лос-Палос-Грандес",Каркас,DF,1081,Венесуэла,(2) 283-2951,(2) 283-3397
DUMON,из всего мира,Джинайн Лабрун,Владелец,"67, улица П'ятидесяти Завоевателей",Нант,,44000,Франция,40.67.88.88,40.67.89.89
MEREP,Мре Паиллярде,Жан Фрезньер,Маркетинговый помощник,43 улица Сен-Лоран,Монреаль,Квебек,Х1Джей 1С3,Канада,(514) 555-8054,(514) 555-8055
FRANS,Франчи С.п.А.,Паоло Аккорти,Продажи Представитель,"Вия Монте Бяке, 34",Турин,,10100,Италия,011-4988260,011-4988261
CONSH,Консолидированные холдинги,Элизабет Браун,Продажи Представитель,Беркли-Гарденс 12 Брейери,Лондон,,Wx1 6Лт,Великобритания,(171) 555-2282,(171) 555-9199
BSBEV,Б'с Беверажи,Виктория Эшворث,Продажи Представитель,Фонтлеройский цирк,Лондон,,EC2 5NT /Подумать,Великобритания,(171) 555-1212,
TRAIH,"Поставщики гастрономии ""С Đầu Đường""",Гельветий Наги,Продавец-консультант,722 Да Винчи-бульвар,Киркленд,ВА,98034,США,(206) 555-8257,(206) 555-2174
HANAR,Ханари Карнес,Марио Понте,Бухгалтерский менеджер,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
WARTH,Вариан Герку,Пиркко Коситало,Бухгалтерский менеджер,"Торикату, 38",Улу,,90110,Финляндия,981-443655,981-443655
PARIS,Париж специалисты,Мари Бертран,Владелец,Бульвар Шаррен 265,Париж,,75012,Франция,(1) 42.34.22.66,(1) 156.94.180.233
LAMAI,Азиатский дом,Аннетте Рюльет,Менеджер по продажам,1 улица Альзаса-Лотарингии,Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
CHOPS,Китайская чопсуй,Ян Ванг,Владелец,"Главная улица, 29",Берн,,3012,Швейцария,0452-076545,
MAGAA,"Магазин продуктов ""Объединенные""",Джованни Ровелли,Менеджер по маркетингу,Виа Лугоджио Иль Мора 22,Бергамо,,24100,Италия,035-640230,035-640231
FURIB,Фурия Бакалау и Фрукты Море,Лино Родригес,Менеджер по продажам,Сад роз н. 32,Лисабон,,1675,Португалия,(1) 354-2534,(1) 354-2535
WOLZA,Волский Заезд,Збысек Пиестрзеньович,Владелец,"ул. Фильтровая, 68",Варшава,,01-012,Польша,(26) 642-7012,(26) 642-7012
RICSU,Ричтер Супермаркет,Майкл Холц,Менеджер по продажам,Grenzacherweg 237,Женева,,1203,Швейцария,0897-034214,
WANDK,Бродячая корова,Рита Мюллер,Продажи Представитель,"Аденауэр-аллея, 900",Стутгарт,,70563,Германия,0711-020361,0711-035428
LINOD,Лино-Деликатесы,Фелипе Изьардо,Владелец,"Пятница, 5 мая, Пуэрто-Морелос",De Маргарита,Новая Спарта,4980,Венесуэла,(8) 34-56-12,(8) 34-93-93
LAUGB,"Винный погребок ""Смесь Бака""",Йоси Танаамури,Маркетинговый помощник,Улица Оук 1900.,Ванкувер,БС,V3Ф 2К1,Канада,(604) 555-3392,(604) 555-7293
SEVES,Семь морей Импорты,Гарри Кумар,Менеджер по продажам,"Удхёрст-роуд, 90",Лондон,,OX15 4NB /think,Великобритания,(171) 555-1717,(171) 555-5646
ISLAT,Трейдинг Островов,Хелен Беннетт,Менеджер по маркетингу,Дом на улице Crowther Garden,Коузес,Остров Уайт,П031 7ПЖ,Великобритания,(198) 555-8888,
PICCO,Пикколо и другие,Георг Пиппс,Менеджер по продажам,"Гейслвег, 14",Зальцбург,,5020,Австрия,6562-9722,6562-9723
MORGK,Мо́ргенште́н Здоровье́,Александр Фейер,Маркетинговый помощник,"Херестрассе, 22",Лейпциг,,04179,Германия,0342-023176,
NORTS,Север/Юг,Саймон Кроуфорд,Продавец-консультант,"Южный дом, 300 Квинсбридж",Лондон,,SW7-1RZ,Великобритания,(171) 555-7733,(171) 555-2530
