customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
HANAR,Ханари Карнес,Мариио Понсе,Бухгалтерский менеджер,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
SEVES,Семь Морей Импорты,Хари Кумар,Менеджер продаж,"Уадхерст-роуд, 90",Лондон,,OX15 4NB /,Великобритания,(171) 555-1717,(171) 555-5646
RICAR,Рикардо Адокикас,Янете Лимейра,Помощник по продажам,"Аvenue Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия,(21) 555-3412,
LACOR,Корна изобилия,Даниэль Тонини,Продажи Представитель,"Аvenue де л'Европа, 67",Версаль,,78000,Франция,30.59.84.10,30.59.85.11
KOENE,Книглич Essen,Филип Краммер,Продавец-консультант,"Маубелштрассе, 90",Бранденбург,,14776,Германия,0555-09876,
ISLAT,Островные торги,Хелен Беннетт,Маркетинговый менеджер,"Домик в саду, Кронвэя-вей",Коуес,Остров Уайт,A5A6A1,Великобритания,(198) 555-8888,
PICCO,Пикколо и другие,Георг Пиппс,Менеджер продаж,Геислевег 14,Залцкег,,5020,Австрия,6562-9722,6562-9723
LAMAI,Дом Азии,Аннетт Роулет,Менеджер продаж,1 улица Эльзаса-Лотарингии,Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
EASTC,Восточное соединение,Анна Девон,Продавец,35 короля Георга,Лондон,,WX3 6FW,Великобритания,(171) 555-0297,(171) 555-3373
CONSH,Консолидированные Холдинги,Элизабет Браун,Продажи Представитель,Беркли-Гарденс 12 Брейри,Лондон,,WX1 6LT,Великобритания,(171) 555-2282,(171) 555-9199
LONEP,Ресторан Лонли Пайн,Фран Уилсон,Менеджер продаж,89 Чиароскуаро Род,Портленд,"О'Райли был удивлен, когда увидел, что у него в руках плюшевый мишка. Он никогда не видел ничего подобного.",97219,США,(503) 555-9573,(503) 555-9646
