emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
RBM23061F,Рита,В,Мюллер,5,198,1622,1993-10-09 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
CGS88322F,Карин,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Шмитт,13,64,1389,1992-07-07 00:00:00
PTC11962M,Филип,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Крамер,2,215,9952,1989-11-11 00:00:00
MJP25939M,Мэри,"""Дж""",Понтес,5,246,1756,1989-03-01 00:00:00
CFH28514M,Карлос,Да,Hernandez,5,211,9999,1989-04-21 00:00:00
PDI47470M,Пале,"Добро пожаловать в ресторан «Дельфи». Мы предлагаем широкий выбор блюд и напитков, которые удовлетворят любые вкусы. Наш шеф-повар использует только свежие ингредиенты, чтобы создать уникальный и изысканный кулинарный опыт. От апетитных закусок до вкусных десертов, вы найдете здесь все, что нужно для незабываемого обеда или ужина. Наслаждайтесь вашим временем в «Дельфи» и позвольте нам угощать вас!",Ибсен,7,195,736,1993-05-09 00:00:00
MAS70474F,Маргарет,А,Смит,9,78,1389,1988-09-29
POK93028M,Пиркин,О,Коскитало,10,80,9999,1993-11-29 00:00:00
ARD36773F,Анабела,a,Домингуш,8,100,877,1993-01-27 00:00:00
M-R38834F,Мартин,,Рэнс,9,75,877,1992-02-05 00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
AMD15433F,Анна,Да,Дэвен,3,200,9952,1991-07-16 00:00:00
HAN90777M,Хелвейс,А,Наго,7,120,9999,1993-03-19 00:00:00
PCM98509F,Патриция,С,Мэкенна,11,150,9999,1989-08-01 00:00:00
PXH22250M,Пау́л,Y,Анрио,5,159,877,19 сентября 1993 года
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
PSP68661F,Паула,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Родитель,8,125,1389,1994-01-19 00:00:00
L-B31947F,Лесли,,Коричневый,7,120,877,1991-02-13 00:00:00
H-B39728F,Елен,,Беннетт,12,35,877,1989-09-21 00:00:00
A-C71970F,Ария,,Круз,10,87,1389,1991-10-26 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
MFS52347M,Мартин,Да,Солнце,10,165,736,1990-04-13 00:00:00
KJJ92907F,Карла,"""Дж""",Яблонский,9,170,9999,11.03.1994 г.
LAL21447M,Лоуренс,А,Лебихан,5,175,736,1990-06-03 00:00:00
JYL26161F,Джинн,Да,Лабрун,5,172,9901,1991-05-26 00:00:00
SKO22412M,Свен,К,Отьеб,5,150,1389,1991-04-05 00:00:00
Y-L77953M,Йоси,,Лэтимер,12,32,1389,11.06.1989 г.
PSA89086M,Педро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Афонсо,14,89,1389,1990-12-24 00:00:00
TPO55093M,Тимоти,"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",О'Рурк,13,100,736,1988-06-19 00:00:00
MMS49649F,Мэри,Да,Сэвилей,8,175,736,1993-06-29 00:00:00
VPA30890F,Виктория,"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",Ашворт,6,140,877,1990-09-13 00:00:00
PMA42628M,Павел,Да,Аккорти,13,35,877,1992-08-27 00:00:00
MAP77183M,Мигель,А,Паулино,11,112,1389,1992-12-07 00:00:00
ENL44273F,Элизабет,"Нет, я не вижу запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу Вам.",Линкольн,14,35,877,1990-07-24 00:00:00
DWR65030M,Диего,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогать людям с различными задачами. Я могу переводить текст с английского на русский язык и наоборот. Как я могу вам помочь?",Роэль,6,192,1389,1991-12-16 00:00:00
PHF38899M,Питер,"Здравствуйте! Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Франкен,10,75,877,1992-05-17 00:00:00
HAS54740M,Ховард,А,Снидер,12,100,736,1988-11-19 00:00:00
MGK44605M,Мати,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Карттунен,6,220,736,1994-05-01 00:00:00
GHT50241M,Гари,"Здравствуйте! Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Томас,9,170,736,1988-08-09 00:00:00
DBT39435M,Даниэль,В,Тонини,11,75,877,1990-01-01
KFJ64308F,Карин,Да,Иозеф,14,100,736,1992-10-17 00:00:00
