au_id,au_lname,au_fname,phone,address,city,state,zip,contract
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-ли.,Беркли,Калифорния,94705,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,2286 Пл. Крам № 86,Анн-Арбор,МИ,48105,1
807-91-6654,Пантелей,Сильвия,301 946-8853,1956 года Плаза Arlington,Роксвилл,МД,20853,1
722-51-5454,Дефранс,Мишель,219 547-9982,3 Бальдинг Плейс,Гари,В,46403,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграфная авеню,Окленд,Калифорния,94609,0
846-92-7186,Хантер,Шерил,415 836-7128,Пляжная 3410,Пало-Альто,Калифорния,94301,1
648-92-1872,Блотеч-Халлс,Регинальд,503 745-6402,55 Хиллсдейл-болл.,Корваллис,О'Р,97330,1
409-56-7008,Беннет,Авраам,415 658-9932,"Бейтман-стрит, 6223",Беркли,Калифорния,94705,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Биггс Роуд.,Менло-Парк,Калифорния,94025,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Сильвер Ct.,Ореховый ручей,Калифорния,94595,1
899-46-2035,Звонок,Анна,801 826-0752,67 Седьмая улица,Соль-Лейк-Сити,Ут,84152,1
724-80-9391,МакФеттер,Стернз,415 354-7128,44 Упланд Хайтс.,Окленд,Калифорния,94612,1
267-41-2394,О'Лери,Майкл,408 286-2428,"22 Cleveland ав., #14",Сан-Хосе,Калифорния,95128,1
274-80-9391,Прямой,Дэн,415 834-2919,5420 колледж-авеню,Окленд,Калифорния,94609,1
427-17-2319,безызъясный,Анна,415 836-7128,Пляжная 3410,Пало-Альто,Калифорния,94301,1
998-72-3567,Звонок,Альберт,801 826-0752,67 Седьмая улица,Соль-Лейк-Сити,Ут,84152,1
527-72-3246,Грин,Утренний звезда,615 297-2723,22 Грейбэр Хаус Роуд,Нэшвилл,ТН,37215,0
756-30-7391,Карсен,Ливия,415 534-9219,5720 улица Мак-Оолея,Окленд,Калифорния,94609,1
472-27-2349,Грингелси,Берт,707 938-6445,Пошта №792,Кувело,Калифорния,95428,1
893-72-1158,Макбэден,Хейер,707 448-4982,301 Путнам,Вакавиль,Калифорния,95688,0
213-46-8915,Зеленый,Марджори,415 986-7020,309 63-я Улица № 411,Окленд,Калифорния,94618,1
341-22-1782,Смит,Мёндер,913 843-0462,Улица Десятой Миссисипи,Лоуренс,КС,66044,0
486-29-1786,Локсли,Шарлен,415 585-4620,18 Бродвея,Сан-Франциско,Калифорния,94130,1
