emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
SKO22412M,Sven,K,Ottlieb,5,150,1389,1991-04-05T00:00:00
PSA89086M,Pedro,S,Afonso,14,89,1389,1990-12-24T00:00:00
JYL26161F,Janine,Y,Labrune,5,172,9901,1991-05-26T00:00:00
PDI47470M,Palle,D,Ibsen,7,195,736,1993-05-09T00:00:00
HAN90777M,Helvetius,A,Nagy,7,120,9999,1993-03-19T00:00:00
PXH22250M,Paul,X,Henriot,5,159,877,1993-08-19T00:00:00
F-C16315M,Francisco,,Chang,4,227,9952,1990-11-03T00:00:00
R-M53550M,Roland,,Mendel,11,150,736,1991-09-05T00:00:00
M-P91209M,Manuel,,Pereira,8,101,9999,1989-01-09T00:00:00
MAP77183M,Miguel,A,Paolino,11,112,1389,1992-12-07T00:00:00
MAS70474F,Margaret,A,Smith,9,78,1389,1988-09-29T00:00:00
VPA30890F,Victoria,P,Ashworth,6,140,877,1990-09-13T00:00:00
Y-L77953M,Yoshi,,Latimer,12,32,1389,1989-06-11T00:00:00
A-C71970F,Aria,,Cruz,10,87,1389,1991-10-26T00:00:00
TPO55093M,Timothy,P,O'Rourke,13,100,736,1988-06-19T00:00:00
MFS52347M,Martin,F,Sommer,10,165,736,1990-04-13T00:00:00
RBM23061F,Rita,B,Muller,5,198,1622,1993-10-09T00:00:00
KJJ92907F,Karla,J,Jablonski,9,170,9999,1994-03-11T00:00:00
A-R89858F,Annette,,Roulet,6,152,9999,1990-02-21T00:00:00
KFJ64308F,Karin,F,Josephs,14,100,736,1992-10-17T00:00:00
ENL44273F,Elizabeth,N,Lincoln,14,35,877,1990-07-24T00:00:00
CGS88322F,Carine,G,Schmitt,13,64,1389,1992-07-07T00:00:00
CFH28514M,Carlos,F,Hernadez,5,211,9999,1989-04-21T00:00:00
M-L67958F,Maria,,Larsson,7,135,1389,1992-03-27T00:00:00
PCM98509F,Patricia,C,McKenna,11,150,9999,1989-08-01T00:00:00
ARD36773F,Anabela,R,Domingues,8,100,877,1993-01-27T00:00:00
L-B31947F,Lesley,,Brown,7,120,877,1991-02-13T00:00:00
M-R38834F,Martine,,Rance,9,75,877,1992-02-05T00:00:00
DBT39435M,Daniel,B,Tonini,11,75,877,1990-01-01T00:00:00
H-B39728F,Helen,,Bennett,12,35,877,1989-09-21T00:00:00
LAL21447M,Laurence,A,Lebihan,5,175,736,1990-06-03T00:00:00
