customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
FURIB,Фурия Бакалхау и Фрукты Мори,Лино Родригес,Менеджер продаж,Сад роз н. 32,Лиссабон,,1675,Португалия,(1) 354-2534,(1) 354-2535
CHOPS,Чоп-сьюйская китайская кухня,Ян Ванг,Владелец,"Главная улица, 29",Берн,,3012,Швейцария,0452-076545,
HUNGC,Голодный койот Импорт магазин,Йоси Лэтимер,Специалист по продажам,Центральный площадь города 516 Главной улицы,Элгин,О,97827,США,(503) 555-6874,(503) 555-2376
THECR,Кракер-бокс,Лью Вонг,Маркетинговый помощник,55 Гризли Пик Род,Бутте,МТ,59801,США,(406) 555-5834,(406) 555-8083
WILMK,Уильям Кала,Матти Карттунен,Владелец/помощник по маркетингу,Кескускату 45,Гельсинки,,21240,Финляндия,90-224 8858,90-224 8858
LAUGB,винодельня «Смеющийся Бакас»,Йоси Танамура,Маркетинговый помощник,Улица Оак 1900,Ванкувер,Б,V3F 2K1 /Рассуждения,Канада,(604) 555-3392,(604) 555-7293
TORTU,Тортуга Ресторанте,Микэль Ангел Паолино,Владелец,Авода Ацатлан 123,"Мексико, ДФ",,05033,Мексика,(5) 555-2933,
NORTS,Север/Юг,Симон Кроуфорд,Продавец-консультант,"Южный дом, 300 Квинсбридж",Лондон,,SW7-1RZ,Великобритания,(171) 555-7733,(171) 555-2530
REGGC,Реггьяни Кэйсификати,Маврицио Морони,Продавец-консультант,Провинциальная дорога №124,Регγιο-Эмилия,,42100,Италия,0522-556721,0522-556722
ERNSH,Эрнст Хандель,Роланд Мендель,Менеджер продаж,Кирхгассе 6,Граз,,8010,Австрия,7675-3425,7675-3426
RATTC,"Супермаркет ""Острый язвенный ущелье""",Паула Уилсон,Помощник специалиста по продажам,"Милтон-др., 2817",Альбукерке,NM,87110,США,(505) 555-5939,(505) 555-3620
WELLI,Уэллингтон Импортадора,Паула Паренте,Менеджер продаж,"Руа До Меркаду, 12",Резенде,сп,08737-363,Бразилия,(14) 555-8122,
ANTON,Антонио Морено Танкера,Антонио Морено,Владелец,Мата-де-лос-терриос,"Мексико, ДФ",,05023,Мексика,(5) 555-3932,
FRANS,Франчи С.п.а.,Паоло Акорти,Специалист по продажам,"Вия Монте Бяппо, 34",Турин,,10100,Италия,011-4988260,011-4988261
BLAUS,Блакитное озеро деликатесы,Ханна Мус,Специалист по продажам,"Форстерштрассе, 57",Мюнхен,,68306,Германия,0621-08460,0621-08924
KOENE,Книголей Эссен,Филип Крамер,Продавец-консультант,"Улица Маубель, 90",Бранденбург,,14776,Германия,0555-09876,
ISLAT,Островные торги,Хелен Беннетт,Менеджер по маркетингу,"Домик в саду, Crowley Way",Коузес,Остров Уайт,ПО-31-7ПЖ,Великобритания,(198) 555-8888,
HILAA,Хиларион-Абастос,Карлос Эрнандес,Специалист по продажам,Кальяра 22 с Авенида Карлос Собеллете #8-35,Сан-Кристобаль,Чира,5022,Венесуэла,(5) 555-1340,(5) 555-1948
VICTE,Продукты питания на складе,Мэри Сэвли,Продажи агент,"2, улица Коммерцы",Лион,,69004,Франция,78.32.54.86,78.32.54.87
LAZYK,Кантри-магазин Лэйзи К Кントリー,Джон Стейл,Менеджер по маркетингу,12 Оркестровая терраса,Вала-Вала,WA,99362,США,(509) 555-7969,(509) 555-6221
RICAR,Рикардо Адокикадос,Джанете Лимейра,Помощник по продажам,"Авеню Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия,(21) 555-3412,
FRANK,Франкенверсанд,Питер Франкен,Менеджер по маркетингу,"Берлинер Плац, дом 43",Мюнхен,,80805,Германия,089-0877310,089-0877451
BONAP,Доброе утро,Лоренс Лебihan,Владелец,"Улица Бушеров, 12",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
BLONP,Блондинки и их сын,Фридрик Ситау,Менеджер по маркетингу,24-е место Клебера,Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
LONEP,Ресторан «Убеденная сосна»,Фран Уилсон,Менеджер продаж,"Улица Чиароскуро, 89",Портленд,О,97219,США,(503) 555-9573,(503) 555-9646
TRAIH,Поставщики гурмет-продуктов Trail's Head,Гельветиус Надь,Продавец-консультант,722 бульвар Давинчи,Киркленд,WA,98034,США,(206) 555-8257,(206) 555-2174
SPLIR,Раздвоенный шейк Пиво и Аль,Арт Брауновскиер,Менеджер продаж,П.О. коробка 555,Ландер,ВЙ,82520,США,(307) 555-4680,(307) 555-6525
LACOR,Корна изобилия,Даниэль Тонини,Специалист по продажам,Аvenue де Л'Европ 67,Версаль,,78000,Франция,30.59.84.10,30.59.85.11
