au_id,au_lname,au_fname,phone,address,city,state,zip,contract
722-51-5454,Дефренс,Мишель,219 547-9982,3 Бальдинг-плейс,Гэри,В,46403,1
724-08-9931,Стрингер,Дирк,415 843-2991,"Авеню Телеграфа, 5420",Окленд,Калифорния,94609,0
486-29-1786,Локсли,Чарлене,415 585-4620,18 Бродвея,Сан-Франциско,Калифорния,94130,1
899-46-2035,Рингер,Анна,801 826-0752,7-я авеню,Солт-Лейк-Сити,UT,84152,1
213-46-8915,Зеленый,Марджори,415 986-7020,309 63-й ст. #411,Окленд,Калифорния,94618,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Кут Серебро,Ореховый ручей,Калифорния,94595,1
267-41-2394,О'Лери,Майкл,408 286-2428,22 Cleveland Ав. #14,Сан-Хосе,Калифорния,95128,1
724-80-9391,МакФеттерн,Стернз,415 354-7128,44 Упланд Хайтс.,Окленд,Калифорния,94612,1
472-27-2349,Гринглзби,Берт,707 938-6445,Пошта №792,Ковело,Калифорния,95428,1
409-56-7008,Беннет,Авраам,415 658-9932,6223 Бетемэн-стрит,Беркли,Калифорния,94705,1
238-95-7766,Кэрсон,Чэрел,415 548-7723,589 Дарвин-линей,Беркли,Калифорния,94705,1
648-92-1872,Блотчет-Холлс,Реджинальд,503 745-6402,"Бл. Хиллсдейл, 55",Корваллис,О'Райли-младший.,97330,1
893-72-1158,Макбаден,Хейвер,707 448-4982,301 Путнам,Вакевилл,Калифорния,95688,0
998-72-3567,Рингер,Альберт,801 826-0752,7-я авеню,Солт-Лейк-Сити,UT,84152,1
427-17-2319,Унылый,Анна,415 836-7128,"улица Блонде, 3410",Пало-Альто,Калифорния,94301,1
527-72-3246,Грин,Мёрран-стар,615 297-2723,22 Грейбар Хаус Роуд.,Нэшвилл,ТН,37215,0
846-92-7186,Хунтер,Шерил,415 836-7128,"улица Блонде, 3410",Пало-Альто,Калифорния,94301,1
712-45-1867,дель Кастильо,Иннес,615 996-8275,"2286 Крам-плейс, №86",Анн-Арбор,МИ,48105,1
172-32-1176,Белый,Джонсон,408 496-7223,10932 Большая дорога,Менло-Парк,Калифорния,94025,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Улица Арлингтон, 1956",Роквилл,МД,20853,1
274-80-9391,Прямая,Дэан,415 834-2919,5420 Колледж Авенуа,Окленд,Калифорния,94609,1
756-30-7391,Карсен,Ливия,415 534-9219,"улица Мак-Коули, 5720",Окленд,Калифорния,94609,1
341-22-1782,Смит,Извилисто,913 843-0462,Улица Десятой Миссисипи,Лоуренс,КС,66044,0
