emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
DWR65030M,Диего,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",Роэл,6,192,1389,1991-12-16 00:00:00
L-B31947F,Лесли,,Коричневый,7,120,877,1991-02-13 00:00:00
PCM98509F,Пэтриция,С,Макенна,11,150,9999,1989-08-01 00:00:00
RBM23061F,Рита,В,Мюллер,5,198,1622,1993-10-09 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
MGK44605M,Мэтти,Г,Карттунен,6,220,736,1994-05-01 00:00:00
KFJ64308F,Карин,F,Ио́сиф,14,100,736,1992-10-17 00:00:00
PTC11962M,Филип,"I'm sorry, but I didn't understand your request. Could you please clarify your prompt or provide additional context?",Крамера,2,215,9952,1989-11-11 00:00:00
DBT39435M,Даниэль,В,Тонини,11,75,877,1990-01-01 00:00:00
M-R38834F,Мартин,,Ранс,9,75,877,1992-02-05 00:00:00
GHT50241M,Гэри,"Добро пожаловать в Chatbot-Based Translation Service! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам перевод.",Томас,9,170,736,1988-08-09 00:00:00
AMD15433F,Анна,М,Дэвон,3,200,9952,1991-07-16 00:00:00
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
JYL26161F,Джинен,Да,Лабруне,5,172,9901,1991-05-26 00:00:00
POK93028M,Пиркко,А,Коскитало,10,80,9999,1993-11-29 00:00:00
PXH22250M,Поль,X,Анрио,5,159,877,1993-08-19 00:00:00
SKO22412M,Свен,К,Оттлеб,5,150,1389,1991-04-05 00:00:00
CFH28514M,Карлос,F,Эрнандес,5,211,9999,1989-04-21 00:00:00
HAS54740M,Ховард,А,Снайдер,12,100,736,1988-11-19
ARD36773F,Анела,r,Домингуш,8,100,877,1993-01-27 00:00:00
ENL44273F,Елизавета,Да,Линкольн,14,35,877,1990-07-24 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27T00:00:00
LAL21447M,Лоуренс,А,Лебихан,5,175,736,1990-06-03 00:00:00
TPO55093M,Тимоти,П,О'Рурк,13,100,736,1988-06-19 00:00:00
MMS49649F,Мэри,М,Савелли,8,175,736,1993-06-29 00:00:00
PDI47470M,Пале,"Добро пожаловать в Coral, передовую языковую модель AI, которая может переводить текст с одного языка на другой, включая русский. Я здесь, чтобы помочь вам с переводом и обеспечить точные и контекстуально релевантные результаты. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я сделаю это для вас.",Ибсен,7,195,736,1993-05-09 00:00:00
MJP25939M,Мэри,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их задачами. Я могу перевести ваш текст на русский язык. Пожалуйста, предоставьте текст для перевода.",Понтес,5,246,1756,1989-03-01 00:00:00
HAN90777M,Гелветий,А,Большой,7,120,9999,1993-03-19 00:00:00
VPA30890F,Виктория,П,Ашворт,6,140,877,13.09.1990 г. 00:00:00
Y-L77953M,Йоши,,Латимер,12,32,1389,1989-06-11 00:00:00
CGS88322F,Карин,Г,Шмитт,13,64,1389,1992-07-07 00:00:00
A-C71970F,Ария,,Круз,10,87,1389,1991-10-26 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
PHF38899M,Питер,"Добро пожаловать в Chatbot-Based Translation Service! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам перевод.",Франкен /думай,10,75,877,1992-05-17 00:00:00
PSA89086M,Педро,"Здравствуйте! Я профессиональный переводчик и с радостью помогу вам перевести ваш текст на русский язык. Просто предоставьте мне текст, который нужно перевести, и я сделаю это для вас.",Афонсо,14,89,1389,1990-12-24 00:00:00
H-B39728F,Хелен,,Беннетт,12,35,877,1989-09-21 00:00:00
PSP68661F,Паула,"Здравствуйте! Я профессиональный переводчик и с радостью помогу вам перевести ваш текст на русский язык. Просто предоставьте мне текст, который нужно перевести, и я сделаю это для вас.",Родители,8,125,1389,1994-01-19 00:00:00
PMA42628M,Паоло,М,Аккорти,13,35,877,1992-08-27 00:00:00
KJJ92907F,Карла,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их задачами. Я могу перевести ваш текст на русский язык. Пожалуйста, предоставьте текст для перевода.",Яблоновски,9,170,9999,11 марта 1994 года
MAP77183M,Мигель,А,Паоло,11,112,1389,1992-12-07 00:00:00
MAS70474F,Маргарет,А,Смит,9,78,1389,1988-09-29
MFS52347M,Мартин,F,Лето,10,165,736,1990-04-13 00:00:00
