member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
174,RYAN,HZNKYYHUTD,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,7,337.0,0.0,0.0,
379,OLPHANT,KCCOOXWIDNTSUP,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,7,,0.0,0.0,
545,YEONG,MSUGFPAWGNJDYE,, , ,,,,,,1999-10-13T10:41:39,2000-10-12T10:41:39,2,,0.0,0.0,
669,STEIN,OCRSEVSRFBVNJX,, , ,,,,,,1999-10-13T10:41:40,2000-10-12T10:41:40,4,,0.0,0.0,
785,EFLIN,BKQXILDSVZOPXL,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,7,,0.0,0.0,
1249,ANDERSON,LGYOPHUNUZLFRJ,, , ,,,,,,1999-10-13T10:41:48,2000-10-12T10:41:48,9,,0.0,0.0,
1578,RYAN,QGDIJG,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,4,,0.0,0.0,
1766,XAVIER,XSUEOXUNVDMFRF,, , ,,,,,,1999-10-13T10:41:54,2000-10-12T10:41:54,9,,0.0,0.0,
1968,RYAN,LGJT,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,7,,0.0,0.0,
2061,GOHAN,KBLQJDSQDFR,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,6,,0.0,0.0,
2364,XAVIER,FYFSAMYZMFWXPK,, , ,,,,,,1999-10-13T10:42:02,2000-10-12T10:42:02,6,,0.0,0.0,
2814,FLORINI,GVTSBHOSGHCQ,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,4,103.0,0.0,0.0,
2847,MAKAI,NFVWDTPROMCFOQ,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,2,,0.0,0.0,
2862,BARR,WUFPMI,, , ,,,,,,1999-10-13T10:42:08,2000-10-12T10:42:08,6,,0.0,0.0,
3082,NELSON,ACZLHSRIHTCRUV,, , ,,,,,,1999-10-13T10:42:11,2000-10-12T10:42:11,3,,0.0,0.0,
3130,JONES,XEUIBIQITKSHMT,, , ,,,,,,1999-10-13T10:42:12,2000-10-12T10:42:12,7,,0.0,0.0,
3241,QUINT,KKWNQPENBYYF,, , ,,,,,,1999-10-13T10:42:13,2000-10-12T10:42:13,4,,0.0,0.0,
3756,LING,WUVVCGLQVLLY,, , ,,,,,,1999-10-13T10:42:20,2000-10-12T10:42:20,8,315.0,0.0,0.0,
3813,QUINT,YGBKYLXDKTNCDY,, , ,,,,,,1999-10-13T10:42:20,2000-10-12T10:42:20,3,,0.0,0.0,
3950,XAVIER,PNTVUMGVPDLAGE,, , ,,,,,,1999-10-13T10:42:22,2000-10-12T10:42:22,8,,0.0,0.0,
4119,KAHRMANN,NGPPHTXEVIDYWY,, , ,,,,,,1999-10-13T10:42:24,2000-10-12T10:42:24,8,,0.0,0.0,
4205,STEIN,GKALZQNQ,, , ,,,,,,1999-10-13T10:42:25,2000-10-12T10:42:25,6,,0.0,0.0,
4268,DORR,SOWWKSJK,, , ,,,,,,1999-10-13T10:42:26,2000-10-12T10:42:26,9,,0.0,0.0,
4402,HAHN,LMR,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,9,,0.0,0.0,
4516,RYAN,VWTVPJNWLBGPPH,, , ,,,,,,1999-10-13T10:42:29,2000-10-12T10:42:29,7,,0.0,0.0,
4699,STEIN,VUJPES,, , ,,,,,,1999-10-13T10:42:31,2000-10-12T10:42:31,3,,0.0,0.0,
4896,HAHN,WMTSMHTJQNYTVF,, , ,,,,,,1999-10-13T10:42:34,2000-10-12T10:42:34,9,338.0,0.0,0.0,
4975,INFANTE,JJOWUVXCUV,, , ,,,,,,1999-10-13T10:42:35,2000-10-12T10:42:35,8,,0.0,0.0,
5124,BARR,QVGVOBVLYEUEZ,, , ,,,,,,1999-10-13T10:42:37,2000-10-12T10:42:37,5,,0.0,0.0,
5128,FLORINI,OELUMHQXIIMDZQ,, , ,,,,,,1999-10-13T10:42:37,2000-10-12T10:42:37,4,,0.0,0.0,
5213,MAKAI,NLUXVYUNDMSUTK,, , ,,,,,,1999-10-13T10:42:38,2000-10-12T10:42:38,2,,0.0,0.0,
5308,DORR,FUAJBCJMMJP,, , ,,,,,,1999-10-13T10:42:39,2000-10-12T10:42:39,5,,0.0,0.0,
5313,INFANTE,CGWITYPLYL,, , ,,,,,,1999-10-13T10:42:39,2000-10-12T10:42:39,4,461.0,0.0,0.0,
5430,VANN,NIGKSYEKHXQPEB,, , ,,,,,,1999-10-13T10:42:40,2000-10-12T10:42:40,4,,0.0,0.0,
5445,KAHRMANN,JITPOIMMBO,, , ,,,,,,1999-10-13T10:42:40,2000-10-12T10:42:40,7,,0.0,0.0,
5738,RYAN,ZVJGIGIPMUMKOD,, , ,,,,,,1999-10-13T10:42:44,2000-10-12T10:42:44,4,,0.0,0.0,
5754,HAHN,TPVOEVFEWMDARQ,, , ,,,,,,1999-10-13T10:42:44,2000-10-12T10:42:44,4,,0.0,0.0,
5786,NELSON,AGWDSPEHUDXKXS,, , ,,,,,,1999-10-13T10:42:45,2000-10-12T10:42:45,4,414.0,0.0,0.0,
6021,OLPHANT,GCMPSMJTDAOSGB,, , ,,,,,,1999-10-13T10:42:47,2000-10-12T10:42:47,9,,0.0,0.0,
6073,OLPHANT,NTOMT,, , ,,,,,,1999-10-13T10:42:48,2000-10-12T10:42:48,9,,0.0,0.0,
6110,ZUCKER,VKSUD,, , ,,,,,,1999-10-13T10:42:48,2000-10-12T10:42:48,3,,0.0,0.0,
6130,TOLSKY,EGUCDOXEYLYYY,, , ,,,,,,1999-10-13T10:42:49,2000-10-12T10:42:49,3,,0.0,0.0,
6293,ANDERSON,YDBGPBR,, , ,,,,,,1999-10-13T10:42:51,2000-10-12T10:42:51,2,,0.0,0.0,
6376,FLORINI,CUJHULNKNKWURF,, , ,,,,,,1999-10-13T10:42:52,2000-10-12T10:42:52,7,,0.0,0.0,
6393,WOLFMULE,EXUPMGNPOZQWHI,, , ,,,,,,1999-10-13T10:42:52,2000-10-12T10:42:52,6,,0.0,0.0,
6419,WOLFMULE,WNSBHODJOOVGQZ,, , ,,,,,,1999-10-13T10:42:52,2000-10-12T10:42:52,6,295.0,0.0,0.0,
6453,EFLIN,JNEPERW,, , ,,,,,,1999-10-13T10:42:53,2000-10-12T10:42:53,7,,0.0,0.0,
6484,JONES,QESSDPITIVNBFU,, , ,,,,,,1999-10-13T10:42:53,2000-10-12T10:42:53,3,,0.0,0.0,
6557,EFLIN,WUTN,, , ,,,,,,1999-10-13T10:42:54,2000-10-12T10:42:54,3,,0.0,0.0,
6588,JONES,YXDJVDVFQJHNOZ,, , ,,,,,,1999-10-13T10:42:54,2000-10-12T10:42:54,4,,0.0,0.0,
6645,OLPHANT,LJOO,, , ,,,,,,1999-10-13T10:42:55,2000-10-12T10:42:55,2,,0.0,0.0,
6837,YEONG,DGMOEURGLIWWH,, , ,,,,,,1999-10-13T10:42:57,2000-10-12T10:42:57,2,,0.0,0.0,
6906,PAYNTER,RERPLGVMH,, , ,,,,,,1999-10-13T10:42:58,2000-10-12T10:42:58,2,,0.0,0.0,
6990,VANN,KEJWPIXBRNDSHT,, , ,,,,,,1999-10-13T10:42:59,2000-10-12T10:42:59,6,,0.0,0.0,
7132,HAHN,COADALXQUUDQ,, , ,,,,,,1999-10-13T10:43:01,2000-10-12T10:43:01,5,,0.0,0.0,
7253,YEONG,SDQUGGARIFQZXT,, , ,,,,,,1999-10-13T10:43:03,2000-10-12T10:43:03,9,,0.0,0.0,
7663,STEIN,TFYCJBXBRHJHD,, , ,,,,,,1999-10-13T10:43:08,2000-10-12T10:43:08,9,,0.0,0.0,
7906,BARR,EHCRLKGSRULPJU,, , ,,,,,,1999-10-13T10:43:11,2000-10-12T10:43:11,3,,0.0,0.0,
8070,JONES,FUSBRELJQFKQAN,, , ,,,,,,1999-10-13T10:43:13,2000-10-12T10:43:13,9,,0.0,0.0,
8148,JONES,NHSPUWFH,, , ,,,,,,1999-10-13T10:43:14,2000-10-12T10:43:14,9,,0.0,0.0,
8266,XAVIER,WBLWWTJWPFPNBD,, , ,,,,,,1999-10-13T10:43:15,2000-10-12T10:43:15,3,,0.0,0.0,
8286,RYAN,NJORH,, , ,,,,,,1999-10-13T10:43:15,2000-10-12T10:43:15,3,,0.0,0.0,
8308,NELSON,JWDGCCLOLNLIYP,, , ,,,,,,1999-10-13T10:43:16,2000-10-12T10:43:16,3,428.0,0.0,0.0,
8372,ZUCKER,VHBYLG,, , ,,,,,,1999-10-13T10:43:16,2000-10-12T10:43:16,4,,0.0,0.0,
