member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
158,BARР,РПФХКНШДХМХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,,0.0,0.0,
260,Цукер,IJBDEVXL,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:35,9,,0.0,0.0,
273,Маки,ШХЭР,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:36,9,,0.0,0.0,
307,Унакетл,ГигакейвФБИнт,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:36,9,288.0,0.0,0.0,
458,Пэйнтер,Киель,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,281.0,0.0,0.0,
625,Андерсон,МДОУ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
882,Хавьер,СЭКВВЛТЗКСБВП,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:43,9,,0.0,0.0,
924,Нельсон,ДОЛПСКАQLВОР,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,271.0,0.0,0.0,
1107,ОЛФАНТ,Пылвовксджкдпквджх,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:46,9,,0.0,0.0,
1256,ХАН,"Я не понимаю, что вы имеете в виду. Пожалуйста, уточните ваш запрос или предоставьте дополнительный контекст.",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:48,9,,0.0,0.0,
1287,Маки,УЗФВ,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:48,9,254.0,0.0,0.0,
1322,Ванн,"Это не текст на английском или русском языке, поэтому я не могу его перевести. Пожалуйста, предоставьте текст для перевода.",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:49,9,469.0,0.0,0.0,
1447,Квентин,Q3Z1E6V0,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1450,Толский,"EBKHYGMXOFHV переводится с английского на русский как ""EBKHYGMXOFHV"".",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1493,Кахрманн,СХХГМПКРОРПВГ,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:51,9,369.0,0.0,0.0,
1566,Флорини,"Ваше сообщение содержит непонятные символы. Пожалуйста, отправьте текст, который вы хотите перевести, и я с радостью предоставлю вам перевод на русский язык.",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1651,Маки,"Это не текст для перевода, а код или ключевое слово, поэтому я его не переведу. Если у вас есть текст для перевода, просто введите его, и я с радостью предоставлю вам перевод.",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1671,Гохан,Йовксытдмвц,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1692,BARР,"Это случайный набор букв и цифр, который не имеет конкретного перевода или значения в русском языке. Можете ли вы предоставить больше контекста или текста, на который следует переводить?",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:54,9,,0.0,0.0,
1739,Волфмуле,УХХГХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:54,9,,0.0,0.0,
1740,Хавьер,Прощайте!,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:54,9,,0.0,0.0,
1818,Хавьер,WYOOXТУБЛСРР,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:55,9,332.0,0.0,0.0,
1902,Дорр,TCBFХДВВД,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1961,Кахрманн,ВГХФЭПЗЕВСБР,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,,0.0,0.0,
1980,Дорр,Это не имеет смысла.,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,9,312.0,0.0,0.0,
2047,Штейн,ЛМЖВФДХТХЮКЛУО,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:58,9,,0.0,0.0,
