emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
PDI47470M,Пале,Д,Ибсен,7,195,736,1993-05-09 00:00:00
MFS52347M,Мартин,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести с английского на русский язык.",Лето,10,165,736,1990-04-13 00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
MGK44605M,Мати,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Карттунен,6,220,736,1994-05-01 00:00:00
CGS88322F,Карине,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Шмитт,13,64,1389,1992-07-07 00:00:00
PTC11962M,Филип,"Yes, I can provide you with translation services. Please provide me with the text that you would like me to translate from English to Russian.",Крамер,2,215,9952,1989-11-11 00:00:00
F-C16315M,Франциско,,Чанг,4,227,9952,1990-11-03 00:00:00
ARD36773F,Анебела,"Я здесь, чтобы помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",Доминик,8,100,877,1993-01-27 00:00:00
A-R89858F,Аннетте,,Рулетка,6,152,9999,1990-02-21 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
PCM98509F,Patricia,С,Маккенна,11,150,9999,1989-08-01 00:00:00
PXH22250M,Павел,X,Анриот,5,159,877,1993-08-19 00:00:00
PHF38899M,Питер,"Добро пожаловать в чат-бот Coral, где вы можете получить профессиональную помощь в переводе! Я могу помочь вам перевести текст с английского на русский язык и наоборот. Просто укажите текст, который нужно перевести, и я предоставлю точный и естественный перевод. Если у вас есть какие-либо особые требования или предпочтения по стилю перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод к вашим потребностям.",Франкен,10,75,877,1992-05-17 00:00:00
RBM23061F,Рита,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам. Какой у вас запрос?",Мюллер,5,198,1622,1993-10-09 00:00:00
MJP25939M,Мэри,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Понтес,5,246,1756,1989-03-01 00:00:00
PSA89086M,Педро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Афонсо,14,89,1389,1990-12-24T00:00:00
MMS49649F,Мэри,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Сэйли,8,175,736,1993-06-29 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
L-B31947F,Лесли,,бурый,7,120,877,1991-02-13 00:00:00
MAP77183M,Мигель,А,Паоло,11,112,1389,1992-12-07 00:00:00
A-C71970F,Ария,,Крус,10,87,1389,1991-10-26 00:00:00
H-B39728F,Елен,,Беннетт,12,35,877,1989-09-21 00:00:00
PSP68661F,Паула,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Родители,8,125,1389,1994-01-19
PMA42628M,Па́оло,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Аккорти,13,35,877,1992-08-27 00:00:00
JYL26161F,Джанин,Да.,Лабрун,5,172,9901,1991-05-26 00:00:00
CFH28514M,Карлос,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести с английского на русский язык.",Hernандес,5,211,9999,1989-04-21 00:00:00
DWR65030M,Диего,В,Роэль,6,192,1389,1991-12-16 00:00:00
SKO22412M,Свен,"Здравствуйте! Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",О́ттлебен,5,150,1389,1991-04-05 00:00:00
M-R38834F,Мартин,,Рэнс,9,75,877,1992-02-05 00:00:00
POK93028M,Пиркко,О,Коскито,10,80,9999,1993-11-29 00:00:00
GHT50241M,Гарри,"Добро пожаловать в чат-бот Coral, где вы можете получить профессиональную помощь в переводе! Я могу помочь вам перевести текст с английского на русский язык и наоборот. Просто укажите текст, который нужно перевести, и я предоставлю точный и естественный перевод. Если у вас есть какие-либо особые требования или предпочтения по стилю перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод к вашим потребностям.",Томас,9,170,736,1988-08-09 00:00:00
HAN90777M,Гельветий,А,Нagy,7,120,9999,1993-03-19 00:00:00
Y-L77953M,Йоси,,Латимер,12,32,1389,11.06.1989 г.
