au_id,au_lname,au_fname,phone,address,city,state,zip,contract
893-72-1158,Макбэден,Хейер,707 448-4982,Пуримант,Вакевилл,Калифорния,95688,0
724-80-9391,МакФеттер,Стернз,415 354-7128,44 Упленд Хтс.,Оукленд,Калифорния,94612,1
341-22-1782,Смит,Переводить,913 843-0462,Улица Десятой Миссисипи,Лоуренс,"Да, я готова к переводу. Пожалуйста, предоставьте текст для перевода.",66044,0
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956 год",Роквилл,МД,20853,1
899-46-2035,Коллаж,Анна,801 826-0752,67 Семьнадцатой авеню,Солт-Лейк-Сити,"Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",84152,1
722-51-5454,Дефренс,Мишель,219 547-9982,3 Балдинг Плейс,Гарри,В,46403,1
238-95-7766,Кэрсон,Чэрл,415 548-7723,589 Дарвин-ли.,Беркли,Калифорния,94705,1
846-92-7186,Хантер,Шерил,415 836-7128,улица Blond 3410,Пало-Альто,Калифорния,94301,1
527-72-3246,Грин,Утроносный,615 297-2723,22 Греябар Хаус Роуд.,Нэшвилл,ТН,37215,0
712-45-1867,дель Кастильо,Иннес,615 996-8275,2286 Крам Пл. № 86,Анн-Арбор,МИ,48105,1
213-46-8915,Зелёный,Марджори,415 986-7020,"Стрит 309, квартира 411",Оукленд,Калифорния,94618,1
756-30-7391,Карсен,Ливия,415 534-9219,Улица МакКоли 5720.,Оукленд,Калифорния,94609,1
648-92-1872,Блотчет-Холлс,Регинальд,503 745-6402,55 Hillsdale бульвар,Корваллис,О,97330,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Серебренный путь,Ореховый Ручей,Калифорния,94595,1
409-56-7008,Бент,Авраам,415 658-9932,6223 Батемэн-стрит,Беркли,Калифорния,94705,1
486-29-1786,Локсли,Чарлен,415 585-4620,18 Бродвей Ав.,Сан-Франциско,Калифорния,94130,1
427-17-2319,Тёплый,Анна,415 836-7128,улица Blond 3410,Пало-Альто,Калифорния,94301,1
998-72-3567,Коллаж,Альберт,801 826-0752,67 Семьнадцатой авеню,Солт-Лейк-Сити,"Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",84152,1
172-32-1176,Белый,Джонсон,408 496-7223,"Бигг-Роуд, 10932",Менло-Парк,Калифорния,94025,1
267-41-2394,О'Лери,Майкл,408 286-2428,"22 Cleveland Ав., #14",Сан-Хосе,Калифорния,95128,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграф авеню,Оукленд,Калифорния,94609,0
274-80-9391,Прямо,Дэ́н,415 834-2919,5420 колледж-авеню,Оукленд,Калифорния,94609,1
472-27-2349,Гринглзби,Бурт,707 938-6445,ПО-792,Ковело,Калифорния,95428,1
