customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
LEHMS,Лехманн — это рынки,Ренате Месснер,Продажи представитель,"Магазиновая улица, 7",Франкфурт-на-Майне,,60528,Германия,069-0245984,069-0245874
VICTE,Пища на складе,Мэри Сэвли,Продавец,"Улица Коммерса, 2",Лион,,69004,Франция,78.32.54.86,78.32.54.87
BLONP,Blondes'ddsl pre et fils,Фредрик Ситот,Менеджер по маркетингу,24-е место Клибера,Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
ROMEY,Ро́мер и Томилло,Алекса Камино,Менеджер по бухгалтерскому учету,"Гран Вэ, 1",Мадрид,,28001,Испания,(91)-745-6200,(91)-745-6210
HILAA,Хиларион-Абастос,Карлос Эрнандес,Продажи представитель,Каррена 22 кон Аве. Карлос Соублетте #8-35,Сан-Кристобаль,Чира,5022,Венесуэла,(5) 555-1340,(5) 555-1948
ALFKI,Альфредс Футтеркист,Мария Андерс,Продажи представитель,"Оберная улица, дом 57",Берлин,,12209,Германия,030-0074321,030-0076545
PARIS,Париж специалисты,Мари Бертран,Владелец,"Бульвар Шаронне, 265",Париж,,75012,Франция,42-34-22-66,(1) 42.34.22.77
CONSH,Консолидированные холдинги,Элизабет Браун,Продажи представитель,Беркли-Гарденз 12 Брейри-Пабл,Лондон,,WKX-1 6LT,Великобритания,(171) 555-2282,(171) 555-9199
SPLIR,Пиво и эль Split Rail,Аркт Брунсвикер,Менеджер по продажам,П.О. hộp 555,Ландер,ВЭ,82520,США,(307) 555-4680,(307) 555-6525
FAMIA,Семья Аркибалд,Ария Круз,Маркетинговый помощник,"Руа Орс, 92",Сан-Паулу,Спасибо,05442-030,Бразилия,(11) 555-9857,
FRANR,Рестораны Франции,Карине Шмитт,Менеджер по маркетингу,"улица Ройале, 54",Нантес,,44000,Франция,40.32.21.21,40.32.21.20
CHOPS,Чопсуй,Ян Ванг,Владелец,"Главная улица, 29",Берн,,3012,Швейцария,0452-076545,
LAMAI,Дом Азии,Аннетт Рюльет,Менеджер по продажам,"1, улица Альсас-Лотарингия",Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
HUNGC,Голодный койот импортный магазин,Йоси Латимер,Продажи представитель,Плаза-центр Сити 516 Главная улица.,Эльгин,О'р,97827,США,(503) 555-6874,(503) 555-2376
QUEDE,Кончика,Бернарду Батиста,Менеджер по бухгалтерскому учету,"Улица Хлебопекарной, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия,(21) 555-4252,(21) 555-4545
