franchid,franchname,active,naassoc
CHC,Chicago Cubs,Y,CNA
NNA,New York Mutuals,NA,NYU
BLC,Baltimore Canaries,NA,
DTN,Detroit Wolverines,N,
KCU,Kansas City Cowboys,N,
MAR,Baltimore Marylands,NA,
BRD,Boston Reds,N,
TOL,Toledo Blue Stockings,N,
MLG,Milwaukee Grays,N,
ECK,Brooklyn Eckfords,NA,
SYS,Syracuse Stars,N,
RES,Elizabeth Resolutes,NA,
CHH,Chicago Whales,N,
NYU,New York Mutuals,N,NNA
BRG,Brooklyn Gladiators,N,
ANA,Los Angeles Angels of Anaheim,Y,
LOU,Louisville Colonels,N,
BLT,Baltimore Terrapins,N,
CPI,Chicago/Pittsburgh (Union League),N,
TRO,Troy Haymakers,NA,
ALT,Altoona Mountain City,N,
NAT,Washington Nationals,NA,
BFL,Buffalo Bisons,N,
SYR,Syracuse Stars,N,
PNA,Philadelphia Athletics,NA,ATH
SDP,San Diego Padres,Y,
ARI,Arizona Diamondbacks,Y,
PWS,Philadelphia White Stockings,NA,
BNA,Boston Red Stockings,NA,ATL
PHA,Philadelphia Athletics,N,
WSN,Washington Nationals,Y,
KEK,Fort Wayne Kekiongas,NA,
IND,Indianapolis Hoosiers,N,
MAN,Middletown Mansfields,NA,
NYI,New York Giants,N,
IHO,Indianapolis Hoosiers,N,
BFB,Buffalo Bisons,N,
FLA,Florida Marlins,Y,
LAD,Los Angeles Dodgers,Y,
OAK,Oakland Athletics,Y,
BUF,Buffalo Bisons,N,
SLR,St. Louis Red Stockings,NA,
MIL,Milwaukee Brewers,Y,
CEN,Philadelphia Centennials,NA,
CLE,Cleveland Indians,Y,
PRO,Providence Grays,N,
HAR,Hartford Dark Blues,N,HNA
COR,Cincinnati Outlaw Reds,N,
PBB,Pittsburgh Burghers,N,
BRA,Brooklyn Atlantics,NA,
WBL,Washington Blue Legs,NA,
WNA,Washington Nationals,N,
BTT,Brooklyn Tip-Tops,N,
BLO,Baltimore Orioles,N,
WNL,Washington Nationals,N,
CBK,Columbus Buckeyes,N,
TRT,Troy Trojans,N,
SLI,St. Louis Terriers,N,
TOR,Toronto Blue Jays,Y,
OLY,Washington Olympics,NA,
BAL,Baltimore Orioles,Y,
PBS,Pittsburgh Rebels,N,
MLU,Milwaukee Brewers,N,
SEA,Seattle Mariners,Y,
WST,Washington Statesmen,N,
NEW,Newark Pepper,N,
BWW,Brooklyn Ward's Wonders,N,
HOU,Houston Astros,Y,
CNR,Cincinnati Reds,N,
WIL,Wilmington Quicksteps,N,
SBS,St. Louis Brown Stockings,N,SNA
STL,St. Louis Cardinals,Y,
BLU,Baltimore Monumentals,N,
KCC,Kansas City Cowboys,N,
BRS,Boston Reds,N,
PIT,Pittsburgh Pirates,Y,
NYM,New York Mets,Y,
TEX,Texas Rangers,Y,
COL,Colorado Rockies,Y,
CLV,Cleveland Spiders,N,
MIN,Minnesota Twins,Y,
CFC,Cleveland Forest Citys,NA,
BOS,Boston Red Sox,Y,
WOR,Worcester Ruby Legs,N,
CHP,Chicago Pirates,N,
CNA,Chicago White Stockings,NA,CHC
ATH,Philadelphia Athletics,N,PNA
CKK,Cincinnati Kelly's Killers,N,
CIN,Cincinnati Reds,Y,
ATL,Atlanta Braves,Y,BNA
WAS,Washington Senators,N,
WNT,Washington Nationals,NA,
KCN,Kansas City Cowboys,N,
STP,St. Paul Apostles,N,
SFG,San Francisco Giants,Y,
PHK,Philadelphia Keystones,N,
HNA,Hartford Dark Blues,NA,HAR
SNA,St. Louis Brown Stockings,NA,SBS
TLM,Toledo Maumees,N,
PHQ,Philadelphia Athletics,N,
RIC,Richmond Virginians,N,
SLM,St. Louis Maroons,N,
NHV,New Haven Elm Citys,NA,
CHW,Chicago White Sox,Y,
WES,Keokuk Westerns,NA,
TBD,Tampa Bay Rays,Y,
CBL,Cleveland Blues,N,
ROK,Rockford Forest Citys,NA,
NYP,New York Metropolitans,N,
ROC,Rochester Broncos,N,
LGR,Louisville Grays,N,
PHI,Philadelphia Phillies,Y,
KCP,Kansas City Packers,N,
MLA,Milwaukee Brewers,N,
NYY,New York Yankees,Y,
CLS,Columbus Solons,N,
DET,Detroit Tigers,Y,
CLI,Cleveland Infants,N,
IBL,Indianapolis Blues,N,
KCR,Kansas City Royals,Y,
