customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
PICCO,Пикколо und mehr,Георг Пиппс,Менеджер по продажам,Гейслвег 14,Зальцбург,,5020,Австрия,6562-9722,6562-9723
OTTIK,Оттилисы Кселаден,Генриетта Пфальцхайм,Владелец,Mehrheimerstr. 369,Клн,,50739,Германия,0221-0644327,0221-0765721
FRANS,Фрэнки С.П.А.,Паоло Аккорти,Представитель по продажам,Виа Монте Бьянко 34,Торино,,10100,Италия,011-4988260,011-4988261
BLONP,Blondeddsl pre et fils,Frdrique Citeaux,Управляющий маркетингом,"24, место Клбер",Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
LILAS,ЛИЛА-Супермеркадо,Карлос Гонсалес,Бухгалтер,Каррера 52 con Ave. Bolvar #65-98 Llano Largo,Баркисимето,Лара,3508,Венесуэла,9) 331-6954,9) 331 - 7256
COMMI,Комрсио Минейро,Педро Афонсо,Ассоциированный сотрудник по продажам,"Av. dos Lusadas, 23",Сан-Паулу,СП,05432-043,Бразилия,11) 555-7647,
RATTC,Рэттлеснайк Каньон Гроучери,Паула Уилсон,Помощник представителя по продажам,2817 Milton Dr.,Альбукерке,НМ,87110,США,(505) 555-5939,(505) 555-3620
SEVES,Импорт семи морей,Хари Кумар,Менеджер по продажам,90 Вадхёрст Рд.,Лондон,,OX15 4NB,Соединенное Королевство,(171) 555-1717,(171) 555-5646
WANDK,Умереть Вандернде Ку,Рита Мллер,Представитель по продажам,Adenauerallee 900,Штутгарт,,70563,Германия,0711-020361,0711-035428
BLAUS,Блейер См. Delikatessen,Ханна Мус,Представитель по продажам,Форстерстр. 57,Мангейм,,68306,Германия,0621-08460,0621-08924
SUPRD,Супримовые куски,Мастерская автомобильная поезда,Бухгалтер,"Бульвар Тиру, 255",Шарлерой,,B-6000,Бельгия,(071) 23 67 22 20,(071) 23 67 22 21
RICAR,Рикардо Адокадо,Джанет Лимейра,Помощник агента по продаже,"Ав. Копакабана, 267",Рио-де-Жанейро,RJ,02389-890,Бразилия,(21) 555-3412,
BOTTM,Рынки дотла,Элизабет Линкольн,Бухгалтер,23 Цавассен Блвд.,Цавассен,БК,T2F 8M4,Канада,(604) 555-4729,(604) 555-3745
EASTC,Восточная связь,Энн Девон,Агент по продаже,35 Король Георг,Лондон,,WX3 6FW,Соединенное Королевство,(171) 555-0297,(171) 555-3373
HUNGO,Голодная сова Всепросветные разбойники,Патриция МакКенна,Ассоциированный сотрудник по продажам,8 &lt; &lt; Джонстаун роуд &gt; &gt;,Корк,Ко. Корк,,Италия,2967 542,2967 3333
TRADH,Tradio Hipermercados,Анабела Домингс,Представитель по продажам,"Av. Ins de Casto, 414",Сан-Паулу,СП,05634-030,Бразилия,11) 555-2167,11) 555-2168
BERGS,Берглунды сбивают с толку,Кристина Берглунд,Администратор Порядка,Бергувсвген 8,Луле,,S-958 22,Франция,0921-12 34 65,0921-12 34 67
HUNGC,Магазин импорта голодного койота,Йоши Латимер,Представитель по продажам,Городской центр Плаза 516 Main St.,Элгин,ИЛИ,97827,США,(503) 555-6874,(503) 555-2376
RANCH,Грань Ранчо,Серхио Гутиррес,Представитель по продажам,Ав. дель Либертадор 900,Буэнос-Айрес,,1010,Аргентина,1) 123-5555,1) 123-5556
MORGK,Моргенстерн Гесундкост,Александр Фауэр,Помощник по маркетингу,Стр. 22,Лейпциг,,04179,Германия,0342-023176,
VINET,Шевалье,Пол Генриот,Бухгалтер,59 rue de l'Abbaye,Реймс,,51100,Франция,26.47.15.10,26.47.15.11
CHOPS,Чоп-дуэй китайцы,Ян Ван,Владелец,Hauptstr. 29,Берн,,3012,Швейцария,0452-076545,
LAZYK,Ленивый магазин K Kountry,Джон Стил,Управляющий маркетингом,12 Оркестра Терраса,Уолла Уолла,WA,99362,США,(509) 555-7969,(509) 555-6221
LETSS,Остановим N-шоп.,Джейме Йоррес,Владелец,87 Polk St. Suite 5,Сан-Франциско,КА,94117,США,(415) 555-5938,
FRANK,Франкенверс и,Питер Франкен,Управляющий маркетингом,Берлинский платец 43,Мнхен,,80805,Германия,089-0877310,089-0877451
VAFFE,Vaffeljernet,Пэлли Ибсен,Менеджер по продажам,Смагстет 45,Рус,,8200,Дания,86 21 32 43,86 22 33 44
FOLKO,Народная оха f HB,Мария Ларсон,Владелец,Kergatan 24,Брчек,,S-844 72,Франция,0695-34 67 21,
WILMK,Вилман Кала,Матти Карттунен,Помощник по вопросам владения/маркетинга,Keskuskatu 45,Хельсинки,,21240,Германия,90-224 8858,90-224 8858
PRINI,Принцесса Изабель Виньос,Изабель де Кастро,Представитель по продажам,"&quot; Эстрада да сад &quot; , No 58",Лисбоа,,1756,Португалия,1) 356-5634,
CACTU,Кактус Comidas para lelvar,Патрисио Симпсон,Агент по продаже,Серрито 333,Буэнос-Айрес,,1010,Аргентина,1) 135-5555,1) 135-4892
GOURL,Гурмет Ланчонеты,Андр Фонсека,Ассоциированный сотрудник по продажам,"Ав. Бразил, 442",Кампинас,СП,04876-786,Бразилия,11) 555-9482,
BONAP,Приятного приложения,Лоренс Лебихан,Владелец,"12, ручей кухонь",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
WELLI,Веллингтон импортдора,Паула Родитель,Менеджер по продажам,"Руа-ду-Меркадо, 12",Resende,СП,08737-363,Бразилия,(14) 555 - 8122,
LINOD,LINO-Delicates,Фелипе Изкьердо,Владелец,Аве. 5 де Майо Порламар,И. де Маргарита,Нуэва Эспарта,4980,Венесуэла,8) 34 - 56 12,8) 34-93-93
TRAIH,Голова трейла Gourmet Productioners,Гельветий Надьяма,Ассоциированный сотрудник по продажам,722 DaVinci Blvd.,Киркленд,WA,98034,США,(206) 555-8257,(206) 555-2174
