playerid,year,ppa,sha
hardyma01,1987,10.0,1.0
tantito01,1990,5.0,
broteaa01,1990,1.0,
maclebr01,1988,8.0,
hrdinji01,1990,4.0,
playfla01,1988,,1.0
erickbr01,1987,6.0,
carpebo01,1988,4.0,
loisecl01,1990,1.0,1.0
libaig01,1988,6.0,
dineego01,1988,2.0,
ruffli01,1988,1.0,
paslagr01,1990,3.0,1.0
archida01,1989,4.0,
ciccadi01,1988,10.0,1.0
picarro02,1989,1.0,1.0
donnemi01,1987,2.0,
ledyagr01,1988,6.0,
sanipev01,1989,2.0,
brownro01,1990,10.0,
petitmi01,1990,16.0,
butchga01,1990,3.0,2.0
deblolu01,1990,,1.0
charbjo01,1988,1.0,
kurveto01,1990,15.0,
mcintjo01,1990,,2.0
krushmi01,1990,3.0,
brownje02,1989,24.0,
zezelpe01,1990,5.0,1.0
proppbr01,1989,9.0,
duguaro01,1987,2.0,
joycebo01,1989,3.0,
huberwi01,1987,14.0,
ysebapa01,1990,4.0,1.0
josepch01,1987,6.0,
hullbr01,1987,10.0,
kontoch01,1987,6.0,
cullejo01,1990,29.0,
murphla01,1990,19.0,
brookbo01,1989,1.0,2.0
tuckejo01,1990,1.0,
laughcr01,1987,3.0,
samueul01,1990,,2.0
bodgedo01,1988,25.0,1.0
murphla01,1988,22.0,
jonssto01,1988,24.0,
bennibr01,1989,5.0,
mckegto01,1990,7.0,
franclo01,1990,1.0,1.0
smaildo01,1990,1.0,1.0
larsore01,1988,14.0,
goulemi01,1989,15.0,1.0
dahlqch01,1990,,1.0
actonke01,1988,,1.0
fentopa01,1990,2.0,
macivno01,1988,19.0,
creigad01,1988,7.0,
huntema01,1990,4.0,
wilsoca01,1987,9.0,3.0
lemiejo01,1989,1.0,1.0
skrikpe01,1990,5.0,
kaspest01,1988,6.0,2.0
courtru01,1988,2.0,
pederma01,1990,7.0,
hunteda01,1988,,1.0
klimape01,1989,11.0,
momesse01,1990,1.0,
petitmi01,1987,9.0,1.0
bassebo01,1988,,1.0
nichobe01,1989,37.0,1.0
wilsoca01,1990,4.0,
rousebo01,1988,,1.0
maroima01,1988,3.0,
frycemi01,1988,3.0,
courtge01,1987,7.0,
lawlepa01,1987,3.0,
johanca01,1988,7.0,
pavesji01,1987,1.0,
vaiveri01,1988,15.0,
sheehne01,1987,1.0,
quinnda01,1990,18.0,
kennede01,1988,,2.0
stastpe01,1989,23.0,
murphla01,1990,19.0,
hunteda01,1988,,1.0
huberwi01,1987,14.0,
duguaro01,1987,2.0,
ledyagr01,1987,5.0,
rousebo01,1988,,1.0
momesse01,1990,1.0,
stastpe01,1989,23.0,
maclebr01,1988,8.0,
kaspest01,1988,6.0,2.0
carsoji01,1989,5.0,
johanca01,1988,7.0,
broteaa01,1989,3.0,
sheehne01,1987,1.0,
cunnera01,1989,4.0,
kurveto01,1990,15.0,
pederma01,1990,7.0,
smaildo01,1990,1.0,1.0
wilsoca01,1990,4.0,
tuckejo01,1990,1.0,
sandsto01,1989,20.0,
poulida02,1989,1.0,1.0
hardyma01,1988,5.0,
konrost01,1988,1.0,1.0
allismi01,1987,5.0,
charbjo01,1988,1.0,
dineego01,1988,2.0,
murphla01,1988,22.0,
fentopa01,1990,2.0,
foligmi01,1990,1.0,
petitmi01,1990,16.0,
skrikpe01,1990,5.0,
adamsgr01,1988,1.0,
larsore01,1988,14.0,
hullbr01,1987,10.0,
joycebo01,1989,3.0,
kennede01,1988,,2.0
mckegto01,1990,7.0,
gingrga01,1987,9.0,
dahlqch01,1990,,1.0
samueul01,1990,,2.0
zezelpe01,1988,17.0,
nichobe01,1989,37.0,1.0
loisecl01,1990,1.0,1.0
gartnmi01,1989,14.0,1.0
cyrpa01,1987,1.0,
frasecu01,1987,2.0,
hunteda01,1987,1.0,4.0
malondo01,1988,2.0,
macdepa01,1989,2.0,
brownro01,1990,10.0,
ciccadi01,1988,10.0,1.0
tuckejo01,1989,6.0,
adamsgr01,1989,1.0,
tantito01,1990,5.0,
franclo01,1990,1.0,1.0
playfla01,1988,,1.0
klimape01,1989,11.0,
wilsoca01,1988,19.0,
brownje02,1989,24.0,
mcdonhu01,1989,1.0,
bassebo01,1988,,1.0
linseke01,1989,8.0,
cullejo01,1990,29.0,
lawlepa01,1987,3.0,
courtru01,1988,2.0,
goulemi01,1989,15.0,1.0
robergo01,1987,3.0,
carpebo01,1988,4.0,
pavesji01,1987,1.0,
deblolu01,1990,,1.0
petitmi01,1987,9.0,1.0
iafraal01,1990,11.0,1.0
nylunga01,1988,1.0,
ysebapa01,1990,4.0,1.0
ferrara01,1990,5.0,
zezelpe01,1990,5.0,1.0
lawtobr01,1988,4.0,
maclebr01,1988,8.0,
kontoch01,1987,6.0,
playfla01,1988,,1.0
gartnmi01,1989,14.0,1.0
halwado01,1988,1.0,
kurveto01,1990,15.0,
creigad01,1988,7.0,
ruotsre01,1989,9.0,
franclo01,1990,1.0,1.0
foligmi01,1990,1.0,
frasecu01,1987,2.0,
klimape01,1989,11.0,
cullejo01,1990,29.0,
butchga01,1990,3.0,2.0
hunteda01,1987,1.0,4.0
mcbeawa01,1988,1.0,
grahadi01,1987,7.0,1.0
murphla01,1990,19.0,
donnemi01,1987,2.0,
brookbo01,1989,1.0,2.0
krushmi01,1990,3.0,
archida01,1989,4.0,
pavesji01,1987,1.0,
allismi01,1987,5.0,
bullami01,1988,13.0,
adamsgr01,1989,1.0,
ruotsre01,1989,9.0,
josepch01,1987,6.0,
robergo01,1987,3.0,
iafraal01,1990,11.0,1.0
butchga01,1990,3.0,2.0
maroima01,1988,3.0,
lawtobr01,1989,1.0,
playfla01,1988,,1.0
kontoch01,1987,6.0,
wilsoca01,1987,9.0,3.0
ruffli01,1988,1.0,
crossdo01,1990,21.0,
gingrga01,1987,9.0,
sheehne01,1987,1.0,
manthmo01,1987,15.0,1.0
quinnda01,1989,15.0,1.0
frasecu01,1987,2.0,
bradlbr01,1990,10.0,
konrost01,1988,1.0,1.0
norwole01,1990,3.0,
donnemi01,1987,2.0,
mckegto01,1990,7.0,
murphla01,1988,22.0,
pederma01,1990,7.0,
dineego01,1988,2.0,
nichobe01,1989,37.0,1.0
kaspest01,1988,6.0,2.0
broteaa01,1989,3.0,
paslagr01,1990,3.0,1.0
hullbr01,1987,10.0,
broteaa01,1990,1.0,
larsore01,1988,14.0,
johanca01,1988,7.0,
laughcr01,1987,3.0,
dineego01,1987,2.0,
hunteda01,1988,,1.0
manthmo01,1988,9.0,
erickbr01,1987,6.0,
bodgedo01,1988,25.0,1.0
linseke01,1989,8.0,
nylunga01,1988,1.0,
momesse01,1990,1.0,
macivno01,1988,19.0,
duguaro01,1987,2.0,
hunteda01,1987,1.0,4.0
makelmi01,1989,1.0,
huntema01,1990,4.0,
mcdonhu01,1989,1.0,
carpebo01,1988,4.0,
courtge01,1987,7.0,
creigad01,1988,7.0,
deblolu01,1990,,1.0
mcintjo01,1990,,2.0
cullejo01,1990,29.0,
cyrpa01,1987,1.0,
franclo01,1990,1.0,1.0
