address_id,address,address2,district,city_id,postal_code,phone,last_update
2,28 MySQL Boulevard,,QLD,576,,,2006-02-15T03:45:30
3,23 Workhaven Lane,,Alberta,300,,14033335568.0,2006-02-15T03:45:30
13,613 Korolev Drive,,Masqat,329,45844.0,380657522649.0,2006-02-15T03:45:30
17,270 Amroha Parkway,,Osmaniye,384,29610.0,695479687538.0,2006-02-15T03:45:30
20,360 Toulouse Parkway,,England,495,54308.0,949312333307.0,2006-02-15T03:45:30
23,1417 Lancaster Avenue,,Northern Cape,267,72192.0,272572357893.0,2006-02-15T03:45:30
27,1780 Hino Boulevard,,Liepaja,303,7716.0,902731229323.0,2006-02-15T03:45:30
34,1668 Anpolis Street,,Taipei,316,50199.0,525255540978.0,2006-02-15T03:45:30
42,269 Cam Ranh Parkway,,Chisinau,115,34689.0,489783829737.0,2006-02-15T03:45:30
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980.0,920811325222.0,2006-02-15T03:45:30
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807.0,499352017190.0,2006-02-15T03:45:30
67,1214 Hanoi Way,,Nebraska,306,67055.0,491001136577.0,2006-02-15T03:45:30
72,57 Arlington Manor,,Madhya Pradesh,475,48960.0,990214419142.0,2006-02-15T03:45:30
74,1124 Buenaventura Drive,,Mekka,13,6856.0,407733804223.0,2006-02-15T03:45:30
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444.0,255800440636.0,2006-02-15T03:45:30
86,927 Baha Blanca Parkway,,Krim,479,9495.0,821972242086.0,2006-02-15T03:45:30
99,1697 Tanauan Lane,,Punjab,399,22870.0,4764773857.0,2006-02-15T03:45:30
100,1308 Arecibo Way,,Georgia,41,30695.0,6171054059.0,2006-02-15T03:45:30
119,1107 Nakhon Sawan Avenue,,Mxico,365,75149.0,867546627903.0,2006-02-15T03:45:30
124,241 Mosul Lane,,Risaralda,147,76157.0,765345144779.0,2006-02-15T03:45:30
152,1952 Pune Lane,,Saint-Denis,442,92150.0,354615066969.0,2006-02-15T03:45:30
