actor_id,first_name,last_name,last_update
5,JOHNNY,LOLLOBRIGIDA,2006-02-15T03:34:33
8,MATTHEW,JOHANSSON,2006-02-15T03:34:33
9,JOE,SWANK,2006-02-15T03:34:33
10,CHRISTIAN,GABLE,2006-02-15T03:34:33
11,ZERO,CAGE,2006-02-15T03:34:33
14,VIVIEN,BERGEN,2006-02-15T03:34:33
15,CUBA,OLIVIER,2006-02-15T03:34:33
21,KIRSTEN,PALTROW,2006-02-15T03:34:33
23,SANDRA,KILMER,2006-02-15T03:34:33
26,RIP,CRAWFORD,2006-02-15T03:34:33
27,JULIA,MCQUEEN,2006-02-15T03:34:33
29,ALEC,WAYNE,2006-02-15T03:34:33
31,SISSY,SOBIESKI,2006-02-15T03:34:33
32,TIM,HACKMAN,2006-02-15T03:34:33
35,JUDY,DEAN,2006-02-15T03:34:33
38,TOM,MCKELLEN,2006-02-15T03:34:33
39,GOLDIE,BRODY,2006-02-15T03:34:33
44,NICK,STALLONE,2006-02-15T03:34:33
45,REESE,KILMER,2006-02-15T03:34:33
46,PARKER,GOLDBERG,2006-02-15T03:34:33
51,GARY,PHOENIX,2006-02-15T03:34:33
52,CARMEN,HUNT,2006-02-15T03:34:33
58,CHRISTIAN,AKROYD,2006-02-15T03:34:33
59,DUSTIN,TAUTOU,2006-02-15T03:34:33
61,CHRISTIAN,NEESON,2006-02-15T03:34:33
62,JAYNE,NEESON,2006-02-15T03:34:33
65,ANGELA,HUDSON,2006-02-15T03:34:33
67,JESSICA,BAILEY,2006-02-15T03:34:33
71,ADAM,GRANT,2006-02-15T03:34:33
74,MILLA,KEITEL,2006-02-15T03:34:33
75,BURT,POSEY,2006-02-15T03:34:33
76,ANGELINA,ASTAIRE,2006-02-15T03:34:33
82,WOODY,JOLIE,2006-02-15T03:34:33
83,BEN,WILLIS,2006-02-15T03:34:33
84,JAMES,PITT,2006-02-15T03:34:33
86,GREG,CHAPLIN,2006-02-15T03:34:33
91,CHRISTOPHER,BERRY,2006-02-15T03:34:33
92,KIRSTEN,AKROYD,2006-02-15T03:34:33
94,KENNETH,TORN,2006-02-15T03:34:33
95,DARYL,WAHLBERG,2006-02-15T03:34:33
96,GENE,WILLIS,2006-02-15T03:34:33
98,CHRIS,BRIDGES,2006-02-15T03:34:33
99,JIM,MOSTEL,2006-02-15T03:34:33
101,SUSAN,DAVIS,2006-02-15T03:34:33
102,WALTER,TORN,2006-02-15T03:34:33
103,MATTHEW,LEIGH,2006-02-15T03:34:33
105,SIDNEY,CROWE,2006-02-15T03:34:33
109,SYLVESTER,DERN,2006-02-15T03:34:33
110,SUSAN,DAVIS,2006-02-15T03:34:33
111,CAMERON,ZELLWEGER,2006-02-15T03:34:33
112,RUSSELL,BACALL,2006-02-15T03:34:33
113,MORGAN,HOPKINS,2006-02-15T03:34:33
119,WARREN,JACKMAN,2006-02-15T03:34:33
120,PENELOPE,MONROE,2006-02-15T03:34:33
121,LIZA,BERGMAN,2006-02-15T03:34:33
126,FRANCES,TOMEI,2006-02-15T03:34:33
128,CATE,MCQUEEN,2006-02-15T03:34:33
130,GRETA,KEITEL,2006-02-15T03:34:33
132,ADAM,HOPPER,2006-02-15T03:34:33
138,LUCILLE,DEE,2006-02-15T03:34:33
141,CATE,HARRIS,2006-02-15T03:34:33
143,RIVER,DEAN,2006-02-15T03:34:33
144,ANGELA,WITHERSPOON,2006-02-15T03:34:33
145,KIM,ALLEN,2006-02-15T03:34:33
150,JAYNE,NOLTE,2006-02-15T03:34:33
154,MERYL,GIBSON,2006-02-15T03:34:33
155,IAN,TANDY,2006-02-15T03:34:33
158,VIVIEN,BASINGER,2006-02-15T03:34:33
162,OPRAH,KILMER,2006-02-15T03:34:33
163,CHRISTOPHER,WEST,2006-02-15T03:34:33
165,AL,GARLAND,2006-02-15T03:34:33
166,NICK,DEGENERES,2006-02-15T03:34:33
172,GROUCHO,WILLIAMS,2006-02-15T03:34:33
173,ALAN,DREYFUSS,2006-02-15T03:34:33
175,WILLIAM,HACKMAN,2006-02-15T03:34:33
176,JON,CHASE,2006-02-15T03:34:33
181,MATTHEW,CARREY,2006-02-15T03:34:33
186,JULIA,ZELLWEGER,2006-02-15T03:34:33
187,RENEE,BALL,2006-02-15T03:34:33
195,JAYNE,SILVERSTONE,2006-02-15T03:34:33
196,BELA,WALKEN,2006-02-15T03:34:33
200,THORA,TEMPLE,2006-02-15T03:34:33
