customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
PICCO,Пикколо и др.,Георг Пиппс,Менеджер по продажам,"улица Гейслвег, дом 14",Зальцбург,,5020,Австрия,6562-9722,6562-9723
OTTIK,Отилия Кселаден,Аннетте Пфальцхайм,Владелец,улица Mehrheimerstr. 369,КЛН,,50739,Германия,0221-0644327,0221-0765721
FRANS,Франчи С.п.а.,Павло Аккорти,Продажи-представитель,"Вия Монте Бя́нко, 34",Турин,,10100,Италия,011-4988260,011-4988261
BLONP,Блонды ддсл пре и филз,Фредрик Цитатль,Менеджер по маркетингу,24-е место Клебера,Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
LILAS,ЛИЛА-Супермаркет,Карлос Гонсалес,Руководитель бухгалтерского отдела,Кальяра 52 кон Авенида Болвар #65-98 Льяно Ларго,Баркисимето,Лара,3508,Венесуэла,(9) 331-6954,(9) 331-7256
COMMI,Комрицио Минейро,Педру Афонсу,Продавец-консультант,"Аvenue des Lusades, 23",Сан-Паулу,Спасибо,05432-043,Бразилия,(11) 555-7647,
RATTC,Рат-снеп-кань-гроцири,Паула Уилсон,Помощник представителя по продажам,2817 Милтон-драйв,Альбукерке,НМ,87110,США,(505) 555-5939,(505) 555-3620
SEVES,Семь Морей Импорты,Хари Кумар,Менеджер по продажам,90 Уадхерст-роуд.,Лондон,,"Оксфорд, ОX15 4NB",Великобритания,(171) 555-1717,(171) 555-5646
WANDK,Бродяга-корова,Рита Мюллер,Продажи-представитель,Аденауера леё 900,Стутгарт,,70563,Германия,0711-020361,0711-035428
BLAUS,Бляуер Зее Деликатесен,Ханна Мис,Продажи-представитель,"Форстерштрассе, 57",Маннхайм,,68306,Германия,0621-08460,0621-08924
SUPRD,Супрμές длицемес,Паскаль Картрейн,Руководитель бухгалтерского отдела,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия,(071) 23-67-22-20,(071) 23-67-22-21
RICAR,Рикардо Адокикадос,Джанет Лаймейра,Помощник по продажам,"Авеню Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия,(21) 555-3412,
BOTTM,Рынки Bottom-Dollar,Элизабет Линкольн,Руководитель бухгалтерского отдела,Бульвар Тсвассен 23,Цавашен,БС,Т2Ф 8М4,Канада,(604) 555-4729,(604) 555-3745
EASTC,Восточное соединение,Анна Девон,Продавец,35 короля Георга,Лондон,,ВХ3 6ФВ,Великобритания,(171) 555-0297,(171) 555-3373
