franchid,franchname,active,naassoc
IBL,Indianapolis Blues,N,
ROC,Rochester Broncos,N,
OAK,Oakland Athletics,Y,
CHC,Chicago Cubs,Y,CNA
WSN,Washington Nationals,Y,
KCP,Kansas City Packers,N,
PHQ,Philadelphia Athletics,N,
MLG,Milwaukee Grays,N,
TLM,Toledo Maumees,N,
TRT,Troy Trojans,N,
NHV,New Haven Elm Citys,NA,
MIN,Minnesota Twins,Y,
BLO,Baltimore Orioles,N,
BNA,Boston Red Stockings,NA,ATL
BFL,Buffalo Bisons,N,
IND,Indianapolis Hoosiers,N,
PNA,Philadelphia Athletics,NA,ATH
CLV,Cleveland Spiders,N,
BRA,Brooklyn Atlantics,NA,
WNL,Washington Nationals,N,
CHH,Chicago Whales,N,
KCN,Kansas City Cowboys,N,
SDP,San Diego Padres,Y,
NEW,Newark Pepper,N,
PBS,Pittsburgh Rebels,N,
PHA,Philadelphia Athletics,N,
BWW,Brooklyn Ward's Wonders,N,
CNA,Chicago White Stockings,NA,CHC
MAR,Baltimore Marylands,NA,
RIC,Richmond Virginians,N,
WAS,Washington Senators,N,
PHK,Philadelphia Keystones,N,
IHO,Indianapolis Hoosiers,N,
MLA,Milwaukee Brewers,N,
LOU,Louisville Colonels,N,
COL,Colorado Rockies,Y,
WNT,Washington Nationals,NA,
BFB,Buffalo Bisons,N,
WIL,Wilmington Quicksteps,N,
STP,St. Paul Apostles,N,
SBS,St. Louis Brown Stockings,N,SNA
WST,Washington Statesmen,N,
LGR,Louisville Grays,N,
CFC,Cleveland Forest Citys,NA,
PHI,Philadelphia Phillies,Y,
MAN,Middletown Mansfields,NA,
ECK,Brooklyn Eckfords,NA,
NYU,New York Mutuals,N,NNA
NYP,New York Metropolitans,N,
BLT,Baltimore Terrapins,N,
CIN,Cincinnati Reds,Y,
CLE,Cleveland Indians,Y,
OLY,Washington Olympics,NA,
TEX,Texas Rangers,Y,
SYR,Syracuse Stars,N,
SEA,Seattle Mariners,Y,
LAD,Los Angeles Dodgers,Y,
BOS,Boston Red Sox,Y,
CPI,Chicago/Pittsburgh (Union League),N,
TOR,Toronto Blue Jays,Y,
HNA,Hartford Dark Blues,NA,HAR
DTN,Detroit Wolverines,N,
COR,Cincinnati Outlaw Reds,N,
RES,Elizabeth Resolutes,NA,
ALT,Altoona Mountain City,N,
FLA,Florida Marlins,Y,
WES,Keokuk Westerns,NA,
SLI,St. Louis Terriers,N,
SLM,St. Louis Maroons,N,
TOL,Toledo Blue Stockings,N,
HOU,Houston Astros,Y,
CLS,Columbus Solons,N,
PRO,Providence Grays,N,
STL,St. Louis Cardinals,Y,
NNA,New York Mutuals,NA,NYU
SNA,St. Louis Brown Stockings,NA,SBS
CLI,Cleveland Infants,N,
ROK,Rockford Forest Citys,NA,
DET,Detroit Tigers,Y,
ATL,Atlanta Braves,Y,BNA
NYM,New York Mets,Y,
CNR,Cincinnati Reds,N,
BRD,Boston Reds,N,
BRS,Boston Reds,N,
CBK,Columbus Buckeyes,N,
BTT,Brooklyn Tip-Tops,N,
WOR,Worcester Ruby Legs,N,
NYY,New York Yankees,Y,
SYS,Syracuse Stars,N,
NYI,New York Giants,N,
ANA,Los Angeles Angels of Anaheim,Y,
CHW,Chicago White Sox,Y,
BLC,Baltimore Canaries,NA,
BUF,Buffalo Bisons,N,
TBD,Tampa Bay Rays,Y,
ATH,Philadelphia Athletics,N,PNA
HAR,Hartford Dark Blues,N,HNA
MIL,Milwaukee Brewers,Y,
CEN,Philadelphia Centennials,NA,
SLR,St. Louis Red Stockings,NA,
CKK,Cincinnati Kelly's Killers,N,
PBB,Pittsburgh Burghers,N,
BRG,Brooklyn Gladiators,N,
ARI,Arizona Diamondbacks,Y,
CBL,Cleveland Blues,N,
KEK,Fort Wayne Kekiongas,NA,
TRO,Troy Haymakers,NA,
WBL,Washington Blue Legs,NA,
BAL,Baltimore Orioles,Y,
NAT,Washington Nationals,NA,
BLU,Baltimore Monumentals,N,
PWS,Philadelphia White Stockings,NA,
KCC,Kansas City Cowboys,N,
MLU,Milwaukee Brewers,N,
KCU,Kansas City Cowboys,N,
KCR,Kansas City Royals,Y,
CHP,Chicago Pirates,N,
SFG,San Francisco Giants,Y,
PIT,Pittsburgh Pirates,Y,
WNA,Washington Nationals,N,
