customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
ANATR,Анха Трухильо Эмпаретадос й хеладос,Ана Трюхильо,Владелец,Авда де ла Конституцион 2222,"Мексико, Д.Ф.",,05021,Мексика,(5) 555-4729,(5) 555-3745
SPLIR,Пиво-алетный шунто,Арнольд Брауншвейгер,Менеджер по продажам,П.О. коробка 555,Ландер,ВY,82520,США,(307) 555-4680,(307) 555-6525
PARIS,Париж специалити,Мари Беритан,Владелец,"Бульвар Шаррон, 265",Париж,,75012,Франция,(1) 42.34.22.66,(1) 42.34.22.77
BLAUS,Блакитное озеро деликатесы,Ханна Мους,Продавец,"Форстерштрассе, 57",Манхайм,,68306,Германия,0621-08460,0621-08924
BSBEV,Б'с Бэвереджз,Виктория Аशवорт,Продавец,Фонтлеройский цирк,Лондон,,"Пятница, 2 ноября",Великобритания,(171) 555-1212,
FAMIA,Семья Аркибальдо,Ария Круз,Маркетинговый помощник,"Улица Орса, 92",Сан-Паулу,Спасибо!,05442-030,Бразилия,(11) 555-9857,
WANDK,Бродячая корова,Рита Мюллер,Продавец,"Аденауер-аллея, 900",Стутгарт,,70563,Германия,0711-020361,0711-035428
BONAP,Доброе утро!,Лауренс Лебihan,Владелец,"12, улица Бушер",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
SAVEA,"Рынки ""Сэкономить много""",Джозеф Пavarotti,Продавец,187 Суффолк-лен,Боис,Идентификатор,83720,США,(208) 555-8097,
LAUGB,"Винный погреб ""Смесь Бака""",Йоси Танамура,Маркетинговый помощник,Улица Оук 1900.,Ванкувер,БЦ,V3F 2024,Канада,(604) 555-3392,(604) 555-7293
FISSA,ФИССА Фабрика Интер. Салчичас С. А.,Диего Роль,Менеджер бухгалтерского учета,"C/ Моральсарцал, 86",Мадрид,,28034,Испания,(91) 555-94-44,(91) 555-55-93
MAGAA,Магазин пищевых товаров,Джованни Ровелли,Менеджер по маркетингу,"Вия Лудовико Иормо, 22",Бергамо,,24100,Италия,035-640230,035-640231
WOLZA,Вольский Заезд,Збысек Пиестрженьский,Владелец,"улица Фильтровая, 68",Варшава,,01-012,Польша,(26) 642-7012,(26) 642-7012
MEREP,Мре Паиларде,Жан Фрезньер,Маркетинговый помощник,43 улица Сен-Лоран,Монреаль,Квебек,Х1Джей 1С3,Канада,(514) 555-8054,(514) 555-8055
BLONP,Блондинки с дд и сын,Фредрик Ситот,Менеджер по маркетингу,24-е место на улице Клебера,Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
FOLKO,Народ и ФБ,Мария Ларссон,Владелец,Кергатан 24,Брке,,С-844/67,Швеция,0695-34 67 21,
HUNGO,Голодная сова круглосуточные магазины,Патриция МакКенна,Продавец-консультант,8 δρόму Джонсонтаун,Корк,Корк,,Ирландия,2967 542,2967 3333
VAFFE,Вафель-йокер,Пале Ицен,Менеджер по продажам,Смагслогет 45,РХУС,,8200,Дания,86 21 32 43,86 22 33 44
WELLI,Веллингтон Импортирован,Паула Паренте,Менеджер по продажам,"Руадо дэ Маркэту, 12",Резиденция,Спасибо!,08737-363,Бразилия,(14) 555-8122,
ROMEY,ромеран и тимьян,Алехандра Кано,Менеджер бухгалтерского учета,"Гран Вэ, 1",Мадрид,,28001,Испания,(91) 745-6200,(91) 7-456-210
WHITC,Белый Кловер Маркетс,Карл Яблонский,Владелец,"305 - 14-я Авеню ЮС, Квартира 3Б",Сиэтл,ВА,98128,США,(206) 555-4112,(206) 555-4115
DUMON,Мире,Джинин Лабрань,Владелец,улица Пяти Содержащих,Нант,,44000,Франция,40.67.88.88,40.67.89.89
OTTIK,Оттилия Кселаден,Генриетта П팔зхайм,Владелец,Меерхаймерсстрассе 369,КЛН,,50739,Германия,0221-0644327,0221-0765721
WARTH,Вартьян Геркку,Пиркко Коскитало,Менеджер бухгалтерского учета,"Торикату, 38",Улу,,90110,Финляндия,981-443655,981-443655
MAISD,Майсон Дьюи,Кетрин Дьюи,Продавец,"Улица Джозефа Бенса, дом 532",Брюссель,,Б-1180,Бельгия,(02) 201-24-67,(02) 201-24-68
FOLIG,Фоли-гуרמанд,Мартин Рэнк,Помощник по продажам,"184, Чоссе де Турньи",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
LAMAI,Дом Азии,Аннетт Роулет,Менеджер по продажам,"1, улица Эльзаса-Лотарингии",Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
COMMI,Комцио Минейро,Педру Афонсу,Продавец-консультант,"Аvenue des Lusadans, 23",Сан-Паулу,Спасибо!,05432-043,Бразилия,(11) 555-7647,
VICTE,Экипировка для выживания,Мэри Сэйвли,Продавец,"ул. Коммерческая, 2",Лион,,69004,Франция,78.32.54.86,78.32.54.87
PRINI,Принцеса Изабелла Виньяс,Исаэл де Кастро,Продавец,Эстрада да Садэ № 58,Лиссабон,,1756,Португалия,(1) 356-5634,
PERIC,Перикл классические блюда,Гильермо Фернандес,Продавец,"улица доктора Хорхе Каша, 321","Мексико, Д.Ф.",,05033,Мексика,(5) 552-3745,(5) 545-3745
THECR,Крекеровая коробка,Лю Уон,Маркетинговый помощник,55 Гризли Пик Роуд,Бут,МТ,59801,США,(406) 555-5834,(406) 555-8083
CENTC,Коммерческий центр Моэнка,Франсиско Чанг,Менеджер по маркетингу,Сьеррас-де-Гранада 9993,"Мексико, Д.Ф.",,05022,Мексика,(5) 555-3392,(5) 555-7293
BERGS,бергаундс быстрый кап,Кристина Берглунд,Администратор заказов,"Бергувсвенг, 8",Лулу,,С-958 22,Швеция,0921-12 34 65,0921-12 34 67
HANAR,Ханари Карнес,Марио Понти,Менеджер бухгалтерского учета,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
ERNSH,Эрнст Хендель,Роланд Мендель,Менеджер по продажам,"Кирхгассе, 6",Грас,,8010,Австрия,7675-3425,7675-3426
