customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
VICTE,Ужин готов,Мэри Сэвелли,Продавец,"улица Коммерции, 2",Лион,,69004,Франция,78.32.54.86,78.32.54.87
LAUGB,Винная погреба Лаучинг Бакхус,Йоси Танамура,Помощник по маркетингу,Улица Оук 1900,Ванкувер,БЦ,В3Ф 2К1,Канада,(604) 555-3392,(604) 555-7293
FOLIG,Фоли-гуранды,Мартин Рэнк,Помощник по продажам,"184, شارع توерн",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
WOLZA,Волский Запояд,Збысек Пиестрженицкий,Владелец,"улица Фильтровая, 68",Варшава,,01-012,Польша,(26) 642-7012,(26) 642-7012
LETSS,Позвольте остановиться на Н Шопе,Имя Jaime Yorres,Владелец,"87 Полк-стрит, офис 5",Сан-Франциско,Калифорния,94117,США,(415) 555-5938,
WARTH,Вартиан Херку,Пиркко Коскитало,Бухгалтерский менеджер,"Торикату, 38",Улу,,90110,Финляндия,981-443655,981-443655
OLDWO,Старинный мир деликатесов,Рене Филиппс,Продажи Представитель,Улица Беринга 2743,Анкоридж,ОК,99508,США,(907) 555-7584,(907) 555-2880
SANTG,Сант-Горми,Йонас Бергульфсен,Владелец,улица Эрлинга Скаке 78,Ставер,,4110,Норвегия,07-98 92 35,07-98 92 47
COMMI,Комércio Минейро,Педру Афонсу,Продавец-консультант,"Аvenue des Lusades, 23",Сан-Паулу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",05432-043,Бразилия,(11) 555-7647,
RICSU,Ричтер Супермаркет,Майкл Холц,Менеджер продаж,Гренца́хервег 237,Женева,,1203,Швейцария,0897-034214,
KOENE,Книно Эссен,Филип Крамер,Продавец-консультант,"улица Маубель, 90",Бранденбург,,14776,Германия,0555-09876,
FURIB,Фурия Баклажан и Морепродукты,Лино Родригес,Менеджер продаж,"Сад роз, д. 32",Лиссабон,,1675,Португалия,(1) 354-2534,(1) 354-2535
QUICK,Быстрый-остановка,Хорст Клоц,Бухгалтерский менеджер,"Тауэрштрассе, 10",Куневальде,,01307,Германия,0372-035188,
DRACD,Дракеблют деликатесы,Свен Оттлебен,Администратор заказа,"Уолсервейг, 21",Аахен,,52066,Германия,0241-039123,0241-059428
PERIC,Периклы Класики,Уильям Фернандес,Продажи Представитель,Калье Др. Хорхе Касх 321,Мексика ДФ,,05033,Мексика,(5) 552-3745,(5) 545-3745
CACTU,Кактус: Еда на вынос,Патрисио Симпсон,Продавец,Керрито-333,Буду-Айрес,,1010,Аргентина,(1) 135-55-55,(1) 135-4892
HILAA,Хиларион-Абастос,Карлоса Эрнандеса,Продажи Представитель,Каррера 22 кон Авенида Карлос Соублете #8-35,Сан-Кристобаль,Чира,5022,Венесуэла,(5) 555-1340,(5) 555-1948
LONEP,ресторан «Одинокий Пин»,Фран Уилсон,Менеджер продаж,89 Чиароскуро Род.,Портленд,О,97219,США,(503) 555-9573,(503) 555-9646
SUPRD,Сверхделыси,Паскаль Картрен,Бухгалтерский менеджер,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия,(071) 23-67-22-20,(071) 23-67-22-21
LEHMS,Лехманнское торговое место,Рене Месснер,Продажи Представитель,Магазинweg 7,Франкфурт-на-Майне,,60528,Германия,069-0245984,069-0245874
VINET,Вина и алкогольные напитки Шевалье,Поль Анриот,Бухгалтерский менеджер,59 улица Аббатства,Реймс,,51100,Франция,26.47.15.10,26.47.15.11
GALED,Галера деликатесов,Эдуардо Сайдар,Маркетинговый менеджер,"Рамбла де Каталония, 23",Барселона,,08022,Испания,(93) 203-4560,(93) 203-4561
MORGK,Морганштайн Здоровье,Александр Файер,Помощник по маркетингу,Heerstraße 22,Лейпциг,,04179,Германия,0342-023176,
WHITC,Белый Кловер Маркетс,Карл Яблонский,Владелец,"305 - 14-я авеню ЮС, номер 3Б",Сиэтл,ВA,98128,США,(206) 555-4112,(206) 555-4115
LAZYK,Халк-Кантри Стор,Джон Стейл,Маркетинговый менеджер,12 Оркестровая аллея,Вала-Вала,ВA,99362,США,(509) 555-7969,(509) 555-6221
LACOR,Корна изобилия,Даниэль Тонини,Продажи Представитель,"67, проспект Европы",Версаль,,78000,Франция,30.59.84.10,30.59.85.11
CHOPS,Чоп-Сьюй,Ян Ванг,Владелец,"Главная улица, 29",Берн,,3012,Швейцария,0452-076545,
TOMSP,Тому нравятся свои хобби,Карин Джозефс,Маркетинговый менеджер,"Луисенштрассе, 48",Мёнстер,,44087,Германия,0251-031259,0251-035695
VAFFE,Вафельджернет,Пале Иден,Менеджер продаж,Смагслогет 45,Рух,,8200,Дания,86 21 32 43,86 22 33 44
QUEEN,Королева Кухня,Лция Карвалью,Помощник по маркетингу,"Аледе десь Канарио, 891",Сан-Паулу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",05487-020,Бразилия,(11) 555-1189,
BSBEV,Б'с Бэвережсы,Виктория Ашворт,Продажи Представитель,Фонтленройцирку,Лондон,,5 НОЯБРЯ,Великобритания,(171) 555-1212,
FOLKO,Фолк и фб,Мэри Ларссон,Владелец,Керган 24,Брке,,С-844/67,Швеция,0695-34 67 21,
RICAR,Рикардо Адокикадос,Джанет Лаймейра,Помощник по продажам,"Авеню Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия,(21) 555-3412,
TRADH,Radio Hipермеркиды,Анабела Донгаш,Продажи Представитель,"Аvenue Инс де Кастро, 414",Сан-Паулу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",05634-030,Бразилия,(11) 555-2167,(11) 555-2168
BERGS,Берглундс быстрая кп,Кристина Берглунд,Администратор заказа,Бергувсвен 8,Луле,,С-958-22,Швеция,0921-12 34 65,0921-12 34 67
FRANR,Ресторация Франции,Карине Шмитт,Маркетинговый менеджер,"54, Руе Роял",Нант,,44000,Франция,40.32.21.21,40.32.21.20
SPLIR,"Пивоварня ""Разбитая колючка""",Арнольд Брауншвейгер,Менеджер продаж,П.О. Бокс 555,Ландер,В,82520,США,(307) 555-4680,(307) 555-6525
GREAL,Рынок продуктов Great Lakes,Ховард Снайдер,Маркетинговый менеджер,Буллерв 2732,Евгений,О,97403,США,(503) 555-7555,
EASTC,Восточное соединение,Анна Девон,Продавец,35 короля Георга,Лондон,,ВХ3 6ФВ,Великобритания,(171) 555-0297,(171) 555-3373
TORTU,Тортуга Ресторан,Мигель Анхель Паолино,Владелец,Авда. Азтекас 123,Мексика ДФ,,05033,Мексика,(5) 555-2933,
MEREP,Мре Паиларде,Жан Фрезньер,Помощник по маркетингу,43 улица Сент-Лоран,Монреаль,Квебек,H1J 1C3 /размышлять,Канада,(514) 555-8054,(514) 555-8055
FRANS,Франчи С.п.а.,Паоло Аккорти,Продажи Представитель,Вия Монте Бянько 34,Турин,,10100,Италия,011-4988260,011-4988261
BOTTM,Рынки на дне доллара,Элизабет Линкольн,Бухгалтерский менеджер,Бульвар Тсавассен 23,Цавассен,БЦ,Т2Ф 8М4,Канада,(604) 555-4729,(604) 555-3745
ERNSH,Эрнст Хандель,Роланд Мендель,Менеджер продаж,Киршгассе 6,Граз,,8010,Австрия,7675-3425,7675-3426
ANTON,Антонио Морено Такахера,Антонио Морено,Владелец,Мате́рьясы,Мексика ДФ,,05023,Мексика,(5) 555-3932,
FRANK,Франкенверсанд,Питер Франкен,Маркетинговый менеджер,"Берлинер Плац, дом 43",Мюнхен,,80805,Германия,089-0877310,089-0877451
TRAIH,Заготовки от шеф-повара Трейл-Хед,Гельветиус Ньягьи,Продавец-консультант,722 Да Винчи Бульвар,Киркленд,ВA,98034,США,(206) 555-8257,(206) 555-2174
ROMEY,ромеро и тимьян,Алейхандра Камильо,Бухгалтерский менеджер,"Гран-Ва, 1",Мадрид,,28001,Испания,(91) 7-456-2000,(91) 7-456-210
WELLI,Уэллингтон Импортадора,Паула Паренте,Менеджер продаж,"Руа да Маркио, 12",Резенде,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",08737-363,Бразилия,(14) 555-8122,
SEVES,Семь морей Импорты,Хари Кумар,Менеджер продаж,90 Уадхерст-роуд.,Лондон,,OX15 4NB,Великобритания,(171) 555-1717,(171) 555-5646
BLAUS,Блауэр Зее Деликатесен,Ханна Муси,Продажи Представитель,"Форстерштрассе, 57",Мюнхен,,68306,Германия,0621-08460,0621-08924
DUMON,Из всего мира,Джинейн Лабрун,Владелец,"Улица Пятидесяти пленников, 67",Нант,,44000,Франция,40.67.88.88,40.67.89.89
SPECD,Специалист мира,Доминик Перу,Маркетинговый менеджер,"ул. Лауристона, 25",Париж,,75016,Франция,(1) 47.55.60.10,(1) 47.55.60.20
HANAR,Ханари Карнес,Марио Понче,Бухгалтерский менеджер,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
FISSA,ФИССА Фабрика Интер. Салчичас С.А.,Диего Рохель,Бухгалтерский менеджер,"К/ Моральсарца, 86",Мадрид,,28034,Испания,(91) 555-94-44,(91) 555-55-93
MAGAA,Риуниты снабженные склады,Джованни Ровелли,Маркетинговый менеджер,Вия Лудовико Ил Мора 22,Бергамо,,24100,Италия,035-640230,035-640231
THEBI,Большой сыр,Лиз Никсон,Маркетинговый менеджер,"89 Jefferson Way, квартира 2",Портленд,О,97201,США,(503) 555-3612,
THECR,Крэкер-бокс,Лу Вонг,Помощник по маркетингу,55 Гризли Пик Род,Бут,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести, и укажите язык, на который нужно его перевести.",59801,США,(406) 555-5834,(406) 555-8083
GODOS,Годос кочина типика,Жозе Педру Фрейре,Менеджер продаж,"ул. Ромеро, 33",Севилья,,41101,Испания,(95) 555-82-82,
RANCH,Ранчо-Гранде,Серхио Гутьеррес,Продажи Представитель,"Проспект Свободы, 900",Буду-Айрес,,1010,Аргентина,(1) 123-55-55,(1) 123-5556
MAISD,Майсон Дьюи,Кетрин Дьюи,Продавец,"Путь Джозефа Бэнса, 532",Брюссель,,Б-1180,Бельгия,(02) 201-24-67,(02) 201-24-68
GOURL,Гурман-ланчонет,Андроник Фонсека,Продавец-консультант,"Аvenue Бразилии, 442",Кампинас,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",04876-786,Бразилия,(11) 555-9482,
CONSH,Консолидированные холдинги,Элизабет Браун,Продажи Представитель,Беркли-Гарденс 12 Брейри,Лондон,,WX1 6ЛТ,Великобритания,(171) 555-2282,(171) 555-9199
NORTS,Север/Юг,Симон Кроуфорд,Продавец-консультант,"Южный дом, 300 Квинсбридж",Лондон,,SW7 1RZ,Великобритания,(171) 555-7733,(171) 555-2530
LINOD,Лино-Деликатесы,Фелипе Изсидро,Владелец,День пятого мая в Порамаре,Маргарита,Новая Esparta,4980,Венесуэла,(8) 34-56-12,(8) 34-93-93
BLONP,блондесдл пре эт фийл,Фредрик Сите,Маркетинговый менеджер,24-е место Клебера,Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
CENTC,Монтеркса Центр,Франсиско Чанг,Маркетинговый менеджер,Сьерра-де-Гранада 9993,Мексика ДФ,,05022,Мексика,(5) 555-3392,(5) 555-7293
ISLAT,Островные товары,Хелен Беннетт,Маркетинговый менеджер,"Домик в саду, Кроудер-вей",Коуес,Остров Вайт,ПО-31-7PJ,Великобритания,(198) 555-8888,
AROUT,По круговой,Томас Харди,Продажи Представитель,120 Ханвор кв.,Лондон,,ВА1 ВАВ,Великобритания,(171) 555-7788,(171) 555-6750
WILMK,Уильям Калла,Мати Карттунен,Владелец/ассистент по маркетингу,Кескускату 45,Гельсинки,,21240,Финляндия,90-224 8858,90-224 8858
LILAS,Лила-Супермаркет,Карлос Гонсалес,Бухгалтерский менеджер,Carrera 52 с Ave. Болвар #65-98 в Llano Largo,Баркисимето,Лара,3508,Венесуэла,(9) 331-6954,(9) 331-7256
QUEDE,Кэ Дэльция,Бернардо Батиста,Бухгалтерский менеджер,"Улица Пекариу, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия,(21) 555-4252,(21) 555-4545
BOLID,Блондовые блюда приготовленные,Мартин Соммер,Владелец,"Аракиль, 67",Мадрид,,28023,Испания,(91) 555-22-82,(91) 555-91-99
OTTIK,Оффилис Кселаден,Генриетта Пфальцхайм,Владелец,"Меерхаймерштрассе, 369",Клин,,50739,Германия,0221-0644327,0221-0765721
OCEAN,Компания Океан Атлантик Лтд.,Ивонника Монкада,Продавец,"Инж. Густаво Монкада 8585, 20-й этаж",Буду-Айрес,,1010,Аргентина,(1) 135-5333,(1) 135-55-35
SIMOB,Бистро Симонс,Джите Петерсен,Владелец,Винблэт 34,Копенгаген,,1734,Дания,31 12 34 56,31 13 35 57
ANATR,Анна Трухильо Эмпаредадос й Хельадос,Ана Трухильо,Владелец,Авода де ла Конституцион 2222,Мексика ДФ,,05021,Мексика,(5) 555-4729,(5) 555-3745
REGGC,Реггианни Кейсифичи,Маврицио Морони,Продавец-консультант,Provincial Road 124,Реггио-Эмилия,,42100,Италия,0522-556721,0522-556722
PICCO,Пикколо и другие,Георг Пиппс,Менеджер продаж,Геислевег 14,Цюрих,,5020,Австрия,6562-9722,6562-9723
HUNGC,Голодный койот Импорт магазин,Йоси Латимер,Продажи Представитель,Центр города Плаза 516 Main St.,Элгин,О,97827,США,(503) 555-6874,(503) 555-2376
HUNGO,Голодный сова круглосуточные магазины,Патриция Маккенна,Продавец-консультант,8 дорогу в Джонстуне,Кёрк,Корк,,Ирландия,2967 542,2967 3333
PRINI,Принцесса Изабелла Винхос,Изаэль де Кастро,Продажи Представитель,Эстрада да Саде № 58,Лиссабон,,1756,Португалия,(1) 356-5634,
PARIS,Париж специалисты,Мари Бертран,Владелец,"Бульвар Шаронн, 265",Париж,,75012,Франция,[1] 42.34.22.66,42.34.22.77
ALFKI,Альфревс Фюттеркисте,Маша Андресян,Продажи Представитель,Обер Стр. 57,Берлин,,12209,Германия,030-0074321,030-0076545
WANDK,Бродячая корова,Рита Мллер,Продажи Представитель,"Аденауера-алея, 900",Стутгарт,,70563,Германия,0711-020361,0711-035428
LAMAI,Дом Азии,Аннетт Рулет,Менеджер продаж,"1, улица Эльзас-Лотарингия",Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
SAVEA,"Рынки ""Сэкономить много""",Жозе Паваротти,Продажи Представитель,187 Саффолк-лен.,Боуи,ИД,83720,США,(208) 555-8097,
FAMIA,Семья Аркибальдо,Ария Круз,Помощник по маркетингу,"Руа Орс, 92",Сан-Паулу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",05442-030,Бразилия,(11) 555-9857,
BONAP,"Хорошо, аппетит",Лауренс Лебиган,Владелец,"Улица Бутеров, 12",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
GROSR,Гроселла-Ресторан,Мануэл Перейра,Владелец,"5-я авеню, Лос-Палос-Грандес",Каркасас,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваш вопрос или просьбу, и я постараюсь помочь вам.",1081,Венесуэла,(2) 283-2951,(2) 283-3397
