member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
45,СТЕЙН,БЬЮРУН,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,6,,0.0,0.0,
62,ДЖОНЫ,ДЖУВЕОПЦКН,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,9,,0.0,0.0,
146,ПЛАНИРОВАНИЕ,ЛМЕВИКЦ ГПТЦРНК,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,2,,0.0,0.0,
174,РЬЯН,ХЗНКЬХУТРД,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,7,337.0,0.0,0.0,
204,VANN,ВНУТРЕННИЕ ВЕЩЕСТВА,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,6,,0.0,0.0,
386,VANN,FTLLQOBYSEIS,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,9,,0.0,0.0,
448,ФЛОРИНИ,QVJRJWWGTRD,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,4,,0.0,0.0,
634,ДЖОНЫ,БВЬЕРЛФЕКСЦЫРП,, , ,,,,,,1999-10-13T10:41:40,2000-10-12T10:41:40,2,,0.0,0.0,
665,ПОЛИТИЧЕСКИЙ,ПЕЙКФУМСТЛАНК,, , ,,,,,,1999-10-13T10:41:40,2000-10-12T10:41:40,6,,0.0,0.0,
932,VANN,ULPMYVCBSDO,, , ,,,,,,1999-10-13T10:41:44,2000-10-12T10:41:44,3,,0.0,0.0,
970,HAHN,НИНВФЛКУССУРЕТ,, , ,,,,,,1999-10-13T10:41:44,2000-10-12T10:41:44,7,,0.0,0.0,
1075,ИНФАНТЕ,XHOGXCTI,, , ,,,,,,1999-10-13T10:41:46,2000-10-12T10:41:46,4,448.0,0.0,0.0,
1101,ИНФАНТЕ,GGYQEWU,, , ,,,,,,1999-10-13T10:41:46,2000-10-12T10:41:46,3,,0.0,0.0,
1287,МАКАИ,UZFV,, , ,,,,,,1999-10-13T10:41:48,2000-10-12T10:41:48,9,254.0,0.0,0.0,
1446,ПЛАНИРОВАНИЕ,IKGVBCYHPQJPIP,, , ,,,,,,1999-10-13T10:41:50,2000-10-12T10:41:50,9,,0.0,0.0,
1482,ЖУККЕР,LMMMRLICTOXYQZ,, , ,,,,,,1999-10-13T10:41:51,2000-10-12T10:41:51,7,,0.0,0.0,
1539,ЭФЛИН,RHCRXFTPTNOQIQ,, , ,,,,,,1999-10-13T10:41:52,2000-10-12T10:41:52,3,,0.0,0.0,
1668,Дорр,KKXEEPGEXNEX,, , ,,,,,,1999-10-13T10:41:53,2000-10-12T10:41:53,9,369.0,0.0,0.0,
1719,ЧЭН,NMRQXQSIVTENFFF,, , ,,,,,,1999-10-13T10:41:54,2000-10-12T10:41:54,7,,0.0,0.0,
1733,КВИНТ,КОНКРЕТОПОМКИЮ,, , ,,,,,,1999-10-13T10:41:54,2000-10-12T10:41:54,7,,0.0,0.0,
1777,ИНФАНТЕ,SGWJNLJW,, , ,,,,,,1999-10-13T10:41:55,2000-10-12T10:41:55,2,,0.0,0.0,
1908,ДЖОНЫ,OlyNLAREVGIBLJ,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,8,,0.0,0.0,
1914,ПЛАНИРОВАНИЕ,VGLUVIIOGP,, , ,,,,,,1999-10-13T10:41:56,2000-10-12T10:41:56,5,,0.0,0.0,
1935,КАХМАНН,FQRGYCMGSLYBDM,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,3,,0.0,0.0,
1999,ВОЛФФУЛ,RRMQLBKPly,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,6,,0.0,0.0,
2038,ДЖОНЫ,VZKCMFM,, , ,,,,,,1999-10-13T10:41:58,2000-10-12T10:41:58,2,,0.0,0.0,
2087,Уходи.,LQKUTWISRZK,, , ,,,,,,1999-10-13T10:41:59,2000-10-12T10:41:59,5,,0.0,0.0,
2216,ФЛОРИНИ,КПИРГНЬЮШВСКИЙ,, , ,,,,,,1999-10-13T10:42:00,2000-10-12T10:42:00,3,,0.0,0.0,
2264,БАРР,ОТЕЛЛЬВУРВА,, , ,,,,,,1999-10-13T10:42:01,2000-10-12T10:42:01,6,,0.0,0.0,
2323,ИНФАНТЕ,УРРТЮЛЕФПИНДА,, , ,,,,,,1999-10-13T10:42:02,2000-10-12T10:42:02,5,,0.0,0.0,
2338,ХАВЬЕР,АНТУПСКСЛХХЕКСФ,, , ,,,,,,1999-10-13T10:42:02,2000-10-12T10:42:02,8,,0.0,0.0,
2346,ФЛОРИНИ,DLYSKCBKWKGJ,, , ,,,,,,1999-10-13T10:42:02,2000-10-12T10:42:02,5,,0.0,0.0,
2632,ФЛОРИНИ,QFSV,, , ,,,,,,1999-10-13T10:42:05,2000-10-12T10:42:05,4,,0.0,0.0,
