customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
LEHMS,Lehmanns Marktstand,Ренат Месснер,Представитель по продажам,Магазинвег 7,Франкфурт.,,60528,Германия,069-0245984,069-0245874
VICTE,Виктуайлы в запасе,Мэри Сэйвли,Агент по продаже,"2, rue du Commerce",Лион,,69004,Франция,78.32.54.86,78.32.54.87
BLONP,Blondeddsl pre et fils,Frdrique Citeaux,Управляющий маркетингом,"24, место Клбер",Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
ROMEY,Ромеро и Томильо,Алехандра Камино,Бухгалтер,"Бабушка Va, 1",Мадрид,,28001,Испания,(91) 745 6200,(91) 745 6210
HILAA,ГИЛАРИОН-Абастос,Карлос Эрндес,Представитель по продажам,Каррера 22 ав. Карлос Сублетт #8-35,Сан-Кристбал,Чира,5022,Венесуэла,5) 555-1340,5) 555-1948
ALFKI,Альфредс Футтеркисте,Мария Андерс,Представитель по продажам,Стр. 57,Берлин,,12209,Германия,030-0074321,030-0076545
PARIS,Парижские спциалиты,Мария Бертран,Владелец,"265, бульвар Шаронн",Париж,,75012,Франция,1) 42.34.22.66,1) 42.34.22.77
CONSH,Консолидированные запасы,Элизабет Браун,Представитель по продажам,Беркли Гарденс 12 пивоварня,Лондон,,WX1 6LT,Соединенное Королевство,(171) 555-2282,(171) 555-9199
SPLIR,Разделить железнодорожное пиво & Ale,Искусство Брауншвейгер,Менеджер по продажам,P.O. Вставка 555,Посадка,WY,82520,США,(307) 555-4680,(307) 555-6525
FAMIA,Фамилия Аркибалдо,Ария Круз,Помощник по маркетингу,"Руа Орс, 92",Сан-Паулу,СП,05442-030,Бразилия,11) 555-9857,
FRANR,Реставрация во Франции,Кэрин Шмитт,Управляющий маркетингом,"54, Rue Royale",Нант,,44000,Франция,40.32.21.21,40.32.21.20
CHOPS,Чоп-дуэй китайцы,Ян Ван,Владелец,Hauptstr. 29,Берн,,3012,Швейцария,0452-076545,
LAMAI,Мейсон д'Аси,Аннет Руле,Менеджер по продажам,1 ру-эль-эс-Лоррейн,Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
HUNGC,Магазин импорта голодного койота,Йоши Латимер,Представитель по продажам,Городской центр Плаза 516 Main St.,Элгин,ИЛИ,97827,США,(503) 555-6874,(503) 555-2376
QUEDE,Que Delcia,Бернардо Батиста,Бухгалтер,"&lt; &lt; Руа да панификадора &gt; &gt; , 12",Рио-де-Жанейро,RJ,02389-673,Бразилия,(21) 555 - 4252,(21) 555-4545
TRADH,Tradio Hipermercados,Анабела Домингс,Представитель по продажам,"Av. Ins de Casto, 414",Сан-Паулу,СП,05634-030,Бразилия,11) 555-2167,11) 555-2168
GREAL,Продовольственный рынок Великих озер,Говард Снайдер,Управляющий маркетингом,2732 Бейкер Блвд.,Юджин,ИЛИ,97403,США,(503) 555-7555,
OLDWO,Старый мир Деликатссен,Рене Филлипс,Представитель по продажам,2743 Bering St.,Крепление,АК,99508,США,(907) 555-7584,(907) 555-2880
DUMON,Дю Монд энтье,Джанин Лабрун,Владелец,"67, rue des Cinquante Otages",Нант,,44000,Франция,40.67.88.88,40.67.89.89
MEREP,Мр Пайард,Жан Фресниер,Помощник по маркетингу,43 руэ Сент-Лоран,Монреаль,Qubec,H1J 1C3,Канада,(514) 555-8054,(514) 555-8055
KOENE,Ноглич Эссен,Филипп Крамер,Ассоциированный сотрудник по продажам,Маубельстр. 90,Бранденбург,,14776,Германия,0555-09876,
MAISD,Мэйсон Дьюи,Кэтрин Дьюи,Агент по продаже,Ру Джозеф-Бенс 532,Брюсель,,B-1180,Бельгия,(02) 201 24 67,(02) 201 24 68
FOLIG,Фоли гурманды,Мартина Ранч,Помощник агента по продаже,"184, chausse de Tournai",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
SAVEA,Рынки &quot; сберегать &quot;,Хосе Паваротти,Представитель по продажам,187 Suffolk Ln.,Бойз,Идентификационный номер,83720,США,(208) 555-8097,
THEBI,Большой сыр,Лиз Никсон,Управляющий маркетингом,89 Jefferson Way Suite 2,Портленд,ИЛИ,97201,США,(503) 555-3612,
FRANS,Фрэнки С.П.А.,Паоло Аккорти,Представитель по продажам,Виа Монте Бьянко 34,Торино,,10100,Италия,011-4988260,011-4988261
GROSR,ГРОСЕЛЛА-РЕСТУРЕНТ,Мануэль Перейра,Владелец,Лос-Палос Грандес,Каракас,DF,1081,Венесуэла,2) 283-2951,(2) 283-3397
SIMOB,Саймонс Бистро,Житта Петерсен,Владелец,Винблит 34,Кобенхавн,,1734,Дания,31 12 34 56,31 13 35 57
ANTON,Антонио Морено Такера,Антонио Морено,Владелец,Матадерос 2312,Mxico D.F.,,05023,Мексика,5) 555-3932,
NORTS,Север/Юг,Саймон Кроутер,Ассоциированный сотрудник по продажам,Южный дом 300 Квинсбридж,Лондон,,SW7 1RZ,Соединенное Королевство,(171) 555-7733,(171) 555-2530
ANATR,Ана Трухильо Эмпаредадос y helados,Ана Трухильо,Владелец,Avda. de la Constitucin 2222,Mxico D.F.,,05021,Мексика,5) 555-4729,5) 555-3745
LONEP,Одинокий сосновый ресторан,Фрэн Уилсон,Менеджер по продажам,89 Chiaroscuro Rd.,Портленд,ИЛИ,97219,США,(503) 555-9573,(503) 555-9646
CENTC,Центральная комикция &quot; Моктезума &quot;,Франциско Чанг,Управляющий маркетингом,Сьерра-де-Гранада 9993,Mxico D.F.,,05022,Мексика,5) 555-3392,5) 555-7293
