franchid,franchname,active,naassoc
COL,Colorado Rockies,Y,
CLI,Cleveland Infants,N,
LOU,Louisville Colonels,N,
TRT,Troy Trojans,N,
BNA,Boston Red Stockings,NA,ATL
BRG,Brooklyn Gladiators,N,
WIL,Wilmington Quicksteps,N,
PBS,Pittsburgh Rebels,N,
CBK,Columbus Buckeyes,N,
RIC,Richmond Virginians,N,
CIN,Cincinnati Reds,Y,
KCU,Kansas City Cowboys,N,
KCC,Kansas City Cowboys,N,
CEN,Philadelphia Centennials,NA,
NYP,New York Metropolitans,N,
SYR,Syracuse Stars,N,
WNT,Washington Nationals,NA,
ECK,Brooklyn Eckfords,NA,
CHP,Chicago Pirates,N,
CLV,Cleveland Spiders,N,
ATH,Philadelphia Athletics,N,PNA
PHA,Philadelphia Athletics,N,
TRO,Troy Haymakers,NA,
ATL,Atlanta Braves,Y,BNA
BTT,Brooklyn Tip-Tops,N,
PHK,Philadelphia Keystones,N,
OAK,Oakland Athletics,Y,
ROC,Rochester Broncos,N,
PWS,Philadelphia White Stockings,NA,
BRA,Brooklyn Atlantics,NA,
STL,St. Louis Cardinals,Y,
ALT,Altoona Mountain City,N,
SLI,St. Louis Terriers,N,
CLE,Cleveland Indians,Y,
WNA,Washington Nationals,N,
DET,Detroit Tigers,Y,
TOR,Toronto Blue Jays,Y,
PHQ,Philadelphia Athletics,N,
BFB,Buffalo Bisons,N,
BFL,Buffalo Bisons,N,
CHC,Chicago Cubs,Y,CNA
NYU,New York Mutuals,N,NNA
WSN,Washington Nationals,Y,
KCP,Kansas City Packers,N,
WST,Washington Statesmen,N,
KCN,Kansas City Cowboys,N,
TOL,Toledo Blue Stockings,N,
BAL,Baltimore Orioles,Y,
DTN,Detroit Wolverines,N,
CNA,Chicago White Stockings,NA,CHC
NNA,New York Mutuals,NA,NYU
SLR,St. Louis Red Stockings,NA,
NAT,Washington Nationals,NA,
PRO,Providence Grays,N,
HNA,Hartford Dark Blues,NA,HAR
HAR,Hartford Dark Blues,N,HNA
NHV,New Haven Elm Citys,NA,
CNR,Cincinnati Reds,N,
CLS,Columbus Solons,N,
BOS,Boston Red Sox,Y,
SNA,St. Louis Brown Stockings,NA,SBS
IHO,Indianapolis Hoosiers,N,
BWW,Brooklyn Ward's Wonders,N,
MLA,Milwaukee Brewers,N,
PHI,Philadelphia Phillies,Y,
BRD,Boston Reds,N,
BLC,Baltimore Canaries,NA,
CFC,Cleveland Forest Citys,NA,
WES,Keokuk Westerns,NA,
CPI,Chicago/Pittsburgh (Union League),N,
WAS,Washington Senators,N,
LAD,Los Angeles Dodgers,Y,
COR,Cincinnati Outlaw Reds,N,
OLY,Washington Olympics,NA,
NEW,Newark Pepper,N,
TLM,Toledo Maumees,N,
WBL,Washington Blue Legs,NA,
BUF,Buffalo Bisons,N,
SLM,St. Louis Maroons,N,
CBL,Cleveland Blues,N,
LGR,Louisville Grays,N,
ANA,Los Angeles Angels of Anaheim,Y,
SDP,San Diego Padres,Y,
IND,Indianapolis Hoosiers,N,
WNL,Washington Nationals,N,
SYS,Syracuse Stars,N,
SEA,Seattle Mariners,Y,
MIL,Milwaukee Brewers,Y,
ARI,Arizona Diamondbacks,Y,
MLG,Milwaukee Grays,N,
NYM,New York Mets,Y,
ROK,Rockford Forest Citys,NA,
BLO,Baltimore Orioles,N,
MAN,Middletown Mansfields,NA,
BLT,Baltimore Terrapins,N,
MIN,Minnesota Twins,Y,
CKK,Cincinnati Kelly's Killers,N,
HOU,Houston Astros,Y,
BRS,Boston Reds,N,
BLU,Baltimore Monumentals,N,
PIT,Pittsburgh Pirates,Y,
NYI,New York Giants,N,
NYY,New York Yankees,Y,
KEK,Fort Wayne Kekiongas,NA,
MLU,Milwaukee Brewers,N,
CHH,Chicago Whales,N,
STP,St. Paul Apostles,N,
WOR,Worcester Ruby Legs,N,
SBS,St. Louis Brown Stockings,N,SNA
PNA,Philadelphia Athletics,NA,ATH
FLA,Florida Marlins,Y,
SFG,San Francisco Giants,Y,
MAR,Baltimore Marylands,NA,
RES,Elizabeth Resolutes,NA,
TEX,Texas Rangers,Y,
KCR,Kansas City Royals,Y,
IBL,Indianapolis Blues,N,
CHW,Chicago White Sox,Y,
TBD,Tampa Bay Rays,Y,
PBB,Pittsburgh Burghers,N,
